source_id,source_name,top_count,freq_dist
https://openalex.org/S8124760,Journal of Management & Organization,1,[{Y=1}]
https://openalex.org/S23343376,International Business Review,1,[{Y=1}]
https://openalex.org/S45992627,The Economic Journal,1,[{C=1}]
https://openalex.org/S67638930,Structural Change and Economic Dynamics,1,[{T=1}]
https://openalex.org/S19358283,International Journal of Advertising,1,[{Z=1}]
https://openalex.org/S115237062,Journal of Economics & Management Strategy,1,[{Z=1}]
https://openalex.org/S197396629,The British Accounting Review,1,[{X=1}]
https://openalex.org/S61992289,Journal of Advertising Research,1,[{Z=1}]
https://openalex.org/S176795851,Journal of Macroeconomics,1,[{Z=1}]
https://openalex.org/S4210224898,Journal of Service Theory and Practice,1,[{Z=1}]
https://openalex.org/S153485742,Socio-Economic Planning Sciences,1,[{T=1}]
https://openalex.org/S100149336,Negotiation and Conflict Management Research,1,[{Z=1}]
https://openalex.org/S4210202650,Academy of Management Discoveries,1,[{Z=1}]
https://openalex.org/S205793605,Business Strategy and the Environment,1,[{T=1}]
https://openalex.org/S8557221,Journal of Labor Economics,1,[{C=1}]
https://openalex.org/S106098198,Oxford Review of Economic Policy,1,[{C=1}]
https://openalex.org/S26073974,Oxford Economic Papers,1,[{C=1}]
https://openalex.org/S105567970,European Management Journal,1,[{T=1}]
https://openalex.org/S6772833,Review of Network Economics,1,[{Z=1}]
https://openalex.org/S44585919,Journal of Economic Dynamics and Control,1,[{C=1}]
https://openalex.org/S152304618,The Leadership Quarterly,1,[{Z=1}]
https://openalex.org/S33741590,Academy of Management Perspectives,1,[{Y=1}]
https://openalex.org/S2058785,Journal of money credit and banking,1,[{Z=1}]
https://openalex.org/S998097505,The Journal of Law and Economics,1,[{X=1}]
https://openalex.org/S107036887,Asia Pacific Journal of Management,1,[{Y=1}]
https://openalex.org/S178258306,Empirical Economics,1,[{Z=1}]
https://openalex.org/S4210170931,Annual Review of Financial Economics,1,[{C=1}]
https://openalex.org/S152897404,Research-Technology Management,1,[{Y=1}]
https://openalex.org/S49857371,European Finance Review,1,[{Z=1}]
https://openalex.org/S4210220385,Economics,1,[{Z=1}]
https://openalex.org/S121409115,International Review of Law and Economics,1,[{Y=1}]
https://openalex.org/S69872077,International Journal of Project Management,1,[{Y=1}]
https://openalex.org/S119587767,Journal of Business and Industrial Marketing,1,[{Z=1}]
https://openalex.org/S35298862,Journal of Macromarketing,1,[{X=1}]
https://openalex.org/S95496512,Review of Development Economics,1,[{Y=1}]
https://openalex.org/S4210171597,Accounting and Finance,1,[{Y=1}]
https://openalex.org/S76844451,Annual Review of Resource Economics,1,[{Y=1}]
https://openalex.org/S165973286,The Journal of Computational Finance,1,[{Y=1}]
https://openalex.org/S136745531,Macroeconomic Dynamics,1,[{Y=1}]
https://openalex.org/S96919139,American Economic Journal Microeconomics,1,[{C=1}]
https://openalex.org/S45372229,World Economy,1,[{Y=1}]
https://openalex.org/S166621295,Journal of Health Economics,1,[{C=1}]
https://openalex.org/S143995394,Journal of World Business,1,[{Z=1}]
https://openalex.org/S62905163,Operations Management Research,1,[{T=1}]
https://openalex.org/S2735550652,Journal of the Association of Environmental and Resource Economists,1,[{Z=1}]
https://openalex.org/S81022070,Journal of Policy Modeling,1,[{Y=1}]
https://openalex.org/S4210168091,The Journal of Law Economics and Organization,1,[{C=1}]
https://openalex.org/S2735890421,The World Bank Economic Review,1,[{X=1}]
https://openalex.org/S146099957,International Journal of Finance & Economics,1,[{Y=1}]
https://openalex.org/S21260181,IMF Economic Review,1,[{X=1}]
https://openalex.org/S121634618,Journal of Financial Stability,1,[{X=1}]
https://openalex.org/S948502762,Revista Hacienda Pública Española,1,[{Z=1}]
https://openalex.org/S4210189271,Leadership & Organization Development Journal,1,[{Z=1}]
https://openalex.org/S169221615,Information Economics and Policy,1,[{Z=1}]
https://openalex.org/S183232449,International Journal of Industrial Organization,1,[{C=1}]
https://openalex.org/S41930762,Japanese Economic Review,1,[{C=1}]
