source_idx,source_name,volume,issue,n_works,yr_min,yr_max,yr_spread,vol_typical_yr,yr_excess,years_and_counts,example_titles
156260212,Research in Economics,70,1,15,2003,2016,13,2016,13,"{2003: 1, 2015: 13, 2016: 1}",A note on income taxation and occupational choice
145200904,Health Economics,9,3,13,2000,2013,13,2000,13,"{2000: 12, 2013: 1}",Social pedagogy: a scoping project for Derbyshire County Council; summary report
145200904,Health Economics,10,7,11,2001,2014,13,2001,13,"{2001: 10, 2014: 1}",Identifying Risk Factors of Hospital Admission during the Postpartum Period: A Cross Sectional Study of the 2010 Nationwide Inpatient Sample
7345157,Eastern Economic Journal,29,2,4,2003,2016,13,2003,13,"{2003: 3, 2016: 1}",SOVEREIGNTY THROUGH WELFARE REFORM? A CASE STUDY OF THE KLAMATH TRIBES OF OREGON
129650269,Open Economies Review,20,1,7,2007,2020,13,2008,12,"{2007: 4, 2008: 2, 2020: 1}",The Economic Effects of COVID-19 Containment Measures
163534328,Marketing Science,41,4,13,2010,2022,12,2022,12,"{2010: 2, 2021: 1, 2022: 10}",The Value of Verified Employment Data for Consumer Lending: Evidence from Equifax
163534328,Marketing Science,41,1,13,2010,2022,12,2022,12,"{2010: 2, 2021: 10, 2022: 1}",Focus on Authors
7345157,Eastern Economic Journal,30,4,10,2004,2016,12,2004,12,"{2004: 8, 2016: 2}",DOES THE NATIONAL HEALTH SERVICE CORPS IMPROVE PHYSICIAN SUPPLY IN UNDERSERVED LOCATIONS | TOWARDS A THEORY OF WORK INTENSITY
111767569,History of economic ideas,12,3,14,2004,2016,12,2004,12,"{2004: 13, 2016: 1}",IBN KHALDUN AND THE NEOLIBERAL MODEL
163534328,Marketing Science,41,2,16,2010,2022,12,2022,12,"{2010: 4, 2021: 6, 2022: 6}",Public relations and ethics | Customer satisfaction surveys: Methodological recommendations for financial service providers
163534328,Marketing Science,32,2,15,2001,2013,12,2013,12,"{2001: 2, 2012: 4, 2013: 9}",Measuring market and sales potential | Microsystems marketing control
163534328,Marketing Science,37,1,13,2006,2018,12,2018,12,"{2006: 3, 2017: 4, 2018: 6}",Stereotypes and advertising | Marketing in life insurance
163534328,Marketing Science,38,3,10,2007,2019,12,2019,12,"{2007: 1, 2019: 9}",Eco-marketing and eco-design of products
163534328,Marketing Science,41,3,16,2010,2022,12,2022,12,"{2010: 3, 2021: 4, 2022: 9}","Qualitative research of motives, barriers and stereotypes in fruit consumption in Serbia | Researching consumers' attitudes: Some difficulties, problems and dilemmas"
163534328,Marketing Science,34,3,11,2003,2015,12,2015,12,"{2003: 1, 2015: 10}",New era of marketing
163534328,Marketing Science,35,3,13,2004,2016,12,2016,12,"{2004: 2, 2015: 1, 2016: 10}",Scalable Rejection Sampling for Bayesian Hierarchical Models
163534328,Marketing Science,38,4,11,2007,2019,12,2019,12,"{2007: 2, 2019: 9}",Marketing mix and competitiveness | Interactivity of marketing and procurement
163534328,Marketing Science,31,2,14,2000,2012,12,2012,12,"{2000: 3, 2012: 11}",Internationalization of European retailing business | CRM: A new approach to consumer relationship management
163534328,Marketing Science,37,3,10,2006,2018,12,2018,12,"{2006: 1, 2018: 9}",Integral or integrated marketing
163534328,Marketing Science,35,1,13,2004,2016,12,2016,12,"{2004: 1, 2015: 7, 2016: 5}","Inić Branimir P.: Menadžment 2 - lideri - kako postati milioner, 'Ekonomski fakultet', Beograd, 2003"
163534328,Marketing Science,40,1,12,2009,2021,12,2021,12,"{2009: 1, 2020: 8, 2021: 3}",Serbia on the international fruit market
163534328,Marketing Science,40,3,11,2009,2021,12,2021,12,"{2009: 1, 2021: 10}",Ethics and professionalism in public relations
163534328,Marketing Science,37,4,11,2006,2018,12,2018,12,"{2006: 1, 2018: 10}",Branding as specific deployment process
163534328,Marketing Science,31,1,17,2000,2012,12,2012,12,"{2000: 2, 2011: 6, 2012: 9}",Sport and TV marketing dimension | Brand name and marketing strategy
163534328,Marketing Science,34,1,12,2003,2015,12,2015,12,"{2003: 1, 2014: 8, 2015: 3}",Global market and consumers
163534328,Marketing Science,36,1,12,2005,2017,12,2017,12,"{2005: 2, 2016: 9, 2017: 1}",Focus On Authors
134988049,Econometric Reviews,63,4,8,2000,2012,12,2012,12,"{2000: 1, 2012: 7}",How Should Monetary Policymakers Respond to the New Challenges of Global Economic Integration
163534328,Marketing Science,39,3,13,2008,2020,12,2020,12,"{2008: 2, 2018: 1, 2019: 5, 2020: 5}",Advertising in Health Insurance Markets
163534328,Marketing Science,39,4,11,2008,2020,12,2020,12,"{2008: 1, 2020: 10}",Customer relationship management: Modern aspects of information technology application
163534328,Marketing Science,36,4,9,2005,2017,12,2017,12,"{2005: 1, 2017: 8}",Impact of environment on marketing strategy
163534328,Marketing Science,36,3,11,2005,2017,12,2017,12,"{2005: 1, 2017: 10}","Prof. Dr Božo Mihailović 'Marketing u turizmu – principi za menadžment', Obod, Cetinje, 2005"
7345157,Eastern Economic Journal,30,2,8,2004,2016,12,2004,12,"{2004: 4, 2016: 4}",Waiting to Execute: An Optimal Stopping Model of Capital Punishment Stays | Estimating the Union Wage Effect for Public School Teachers When All Teachers Are Unionized
43019230,PharmacoEconomics,40,10,7,2010,2022,12,2022,12,"{2010: 1, 2022: 6}","Ship in foggy, stormy weather SFX"
163534328,Marketing Science,35,4,11,2004,2016,12,2016,12,"{2004: 1, 2015: 2, 2016: 8}",The export marketing-financing based on forfeiting model
163534328,Marketing Science,40,4,13,2009,2021,12,2021,12,"{2009: 3, 2021: 10}",Multiculturalism in function of improvement of competitiveness of organizations with global orientation | Marketing indicators of market attractiveness and of target company competitiveness
41416626,Harvard business review,89,11,3,2000,2016,16,2011,11,"{2000: 1, 2011: 1, 2016: 1}",La disciplina de los equipos
7345157,Eastern Economic Journal,31,1,8,2002,2016,14,2005,11,"{2002: 1, 2005: 6, 2016: 1}",IS THE HUMAN DEVELOPMENT INDEX REDUNDANT
7345157,Eastern Economic Journal,31,2,9,2003,2016,13,2005,11,"{2003: 1, 2004: 1, 2005: 5, 2007: 1, 2016: 1}",FINANCIAL CRISES: NINE LESSONS FROM EAST ASIA
7345157,Eastern Economic Journal,31,3,11,2004,2016,12,2005,11,"{2004: 1, 2005: 9, 2016: 1}","""A THEORY OF PRODUCTION"" 1 THE ESTIMATION OF THE COBB-DOUGLAS FUNCTION: A RETROSPECTIVE VIEW"
151404345,Journal of Post Keynesian Economics,26,2,9,2003,2014,11,2014,11,"{2003: 5, 2014: 4}","Loanable funds, liquidity preference, and endogenous money: do credit cards make a difference? | Credit cards and interest rates: theory and institutional factors"
151404345,Journal of Post Keynesian Economics,25,4,7,2003,2014,11,2014,11,"{2003: 3, 2014: 4}",The endogenous money hypothesis: empirical evidence from Malaysia (1985-2000) | On Capital Shortages and European Unemployment: A Panel Data Investigation
111767569,History of economic ideas,13,3,16,2005,2016,11,2005,11,"{2005: 15, 2016: 1}",WHY DID ECONOMIC SCIENCE TAKE THE SAMUELSONIAN PATH AND WHAT IS THE ALTERNATIVE
151404345,Journal of Post Keynesian Economics,25,3,7,2003,2014,11,2014,11,"{2003: 1, 2014: 6}",Public employment and environmental sustainability
7345157,Eastern Economic Journal,31,4,10,2005,2016,11,2005,11,"{2005: 9, 2016: 1}",THE LABOR SUPPLY OF NURSES AND NURSING ASSISTANTS IN THE UNITED STATES
87328381,Journal of Occupational and Organizational Psychology,93,1,10,2009,2020,11,2020,11,"{2009: 1, 2019: 8, 2020: 1}",Ergon Energy : Jobs & Careers: Traineeships : Technical and Administration
127742747,Journal of Econometrics,188,2,18,2004,2015,11,2015,11,"{2004: 1, 2015: 17}",Subjective Mortality Risk and Bequests
145200904,Health Economics,24,11,11,2003,2014,11,2014,11,"{2003: 1, 2014: 10}",Lusten & lasten delen: hoe het alternatief voor de rondjes om de kerk tot stand kwam
12132826,The International Food and Agribusiness Management Review,18,1,3,2004,2015,11,2015,11,"{2004: 1, 2015: 2}","If You Can't Trust the Farmer, Who Can You Trust? The Effect of Certification Types on Purchases of Organic Produce"
12132826,The International Food and Agribusiness Management Review,13,3,3,2010,2021,11,2010,11,"{2010: 2, 2021: 1}",Defining and Meeting the Demand For Agricultural Machinery in China: A Case Study of John Deere
26598852,Economia Politica,2,2,8,2000,2014,14,2010,10,"{2000: 1, 2001: 1, 2006: 1, 2007: 1, 2009: 1, 2010: 2, 2014: 1}",Cambiamento abitudinario delle preferenze: il ruolo svolto dalle ipotesi sulla razionalità individuale
151404345,Journal of Post Keynesian Economics,27,1,10,2004,2015,11,2005,10,"{2004: 2, 2015: 8}","A pure credit money economy: a simple steady-state model | Expectations, stability, and exchange rate dynamics under the Post Keynesian hypothesis"
145200904,Health Economics,25,6,11,2005,2016,11,2015,10,"{2005: 1, 2015: 8, 2016: 2}",Defining a system of indicators for evaluation the effectiveness of e-learning
41416626,Harvard business review,81,12,17,2003,2013,10,2003,10,"{2003: 16, 2013: 1}",Transforming Paramythi in diasporic literature : five Greek Australian writers
151404345,Journal of Post Keynesian Economics,26,3,5,2004,2014,10,2014,10,"{2004: 2, 2014: 3}",The long and short of it: global liberalization and the incomes of the poor | Agroforestry adoption in Mexico: using Keynes to better understand farmer decision-making
2764896919,Environmental Economics and Policy Studies,4,2,6,2001,2011,10,2001,10,"{2001: 4, 2011: 2}","Book review: Yasuko Kameyama, Global environmental policy: a new edition | 復興と改革を推進する「環境金融債」市場の創設を (環境論壇 東日本大震災以降の環境・エネルギー政策)"
10615428,Journal of Real Estate Literature,9,2,16,2001,2011,10,2001,10,"{2001: 10, 2011: 6}","Freefall: America, Free Markets, and the Sinking of the World Economy | Review Articles: An Overview of Equity Real Estate Investment Trusts (Reits): 1993-2009"
2764896919,Environmental Economics and Policy Studies,3,2,12,2000,2010,10,2000,10,"{2000: 11, 2010: 1}","Does governance affect government, and how?: a case study of Water Catchment Forest Council in Kanagawa Prefecture"
6450948,Issues in Accounting Education,29,3,7,2004,2014,10,2014,10,"{2004: 1, 2013: 1, 2014: 5}",Doing Accounting History: Contributions to the Development of Accounting Thought (Book)
2765057965,Gadjah Mada International Journal of Business,5,1,7,2003,2013,10,2003,10,"{2003: 6, 2013: 1}",PROMOTING INTRA-FIRM TRANSFER OF KNOWLEDGE THROUGH COMPETITION AND SHARING A Field Study
6711363,Journal of Monetary Economics,59,7,7,2002,2012,10,2012,10,"{2002: 1, 2012: 6}",Short-Run Money Demand
2765057965,Gadjah Mada International Journal of Business,5,3,8,2003,2013,10,2003,10,"{2003: 7, 2013: 1}",BENEFITSEGMENTATION: Case of a National Bank's Customers in Indonesia
2764896919,Environmental Economics and Policy Studies,4,1,5,2001,2011,10,2001,10,"{2001: 4, 2011: 1}","書評 Massimiliano Mazzanti and Anna Montini(eds.), Waste and Environmental Policy"
165057322,Production Planning & Control,13,5,9,2002,2012,10,2002,10,"{2002: 8, 2012: 1}",Applying the lessons of advanced manufacturing technology adoption and implementation to the public sector
2764879640,Global Journal of Flexible Systems Management,21,3,6,2010,2020,10,2020,10,"{2010: 1, 2020: 5}","""La stanza delle Emozioni"".Un percorso per lo sviluppo emotivo e affettivo nella prima infanzia"
4210193709,Asia Pacific Journal of Innovation and Entrepreneurship,18,1,6,2014,2023,9,2024,10,"{2014: 1, 2023: 5}","Urban knowledge and innovation spaces : concepts, conditions, and contexts"
151404345,Journal of Post Keynesian Economics,27,2,7,2004,2014,10,2005,9,"{2004: 2, 2014: 5}","What is next for the Washington consensus? The fifteenth anniversary, 1989-2004 | The second Washington consensus and Latin America's quasi-stagnation"
4210173643,International Journal of Health Economics and Management,22,3,6,2012,2022,10,2021,9,"{2012: 1, 2021: 2, 2022: 3}",Phonological Facilitation of Object Naming in Agrammatic and Logopenic Primary Progressive Aphasia (PPA): Evidence for a Phonological Processing Deficit
23254222,American Economic Review,86,2,14,2007,2016,9,2016,9,"{2007: 1, 2008: 1, 2016: 12}",Contemplations on the Economic Approach to Religious Behavior
23254222,American Economic Review,66,3,5,2007,2016,9,2016,9,"{2007: 1, 2016: 4}",A State-Preference Approach to the Precautionary Demand for Money
2764980737,The Philippine Review of Economics,38,1,4,2001,2010,9,2001,9,"{2001: 2, 2010: 2}",The Social Sciences in the Philippines: Reflections on Trends and Developments | A Rice Village Saga: Three Decades of Green Revolution in the Philippines by Yujiro and Masao Kikuchi
23254222,American Economic Review,69,2,17,2007,2016,9,2016,9,"{2007: 1, 2016: 16}",Backward and Forward Solutions for Economies with Rational Expectations
83145862,History of Political Economy,44,3,17,2003,2012,9,2012,9,"{2003: 1, 2012: 16}",The Moral Conditions of Economic Efficiency (Book)
122073985,The Journal of Economic History,73,4,29,2004,2013,9,2013,9,"{2004: 1, 2013: 28}",The Divergent Dynamics of Economic Growth
93630570,Journal of Product Innovation Management,38,6,9,2012,2021,9,2021,9,"{2012: 1, 2014: 1, 2021: 7}",<i>Retracted:</i> The Performance Implications of Dynamic Capabilities: The Case of Product Innovation
5984737,Journal of Financial Intermediation,10,2,6,2001,2010,9,2001,9,"{2001: 5, 2010: 1}",Macroprudential Regulation Under Repo Funding
2765057965,Gadjah Mada International Journal of Business,6,1,8,2004,2013,9,2004,9,"{2004: 4, 2012: 2, 2013: 2}",THE RECENCY EFFECT OF ACCOUNTING INFORMATION | THE EFFECT OF POLITICAL POWER ON BUDGET MONITORING: A Study of Fertilizer Industry in Indonesia
23254222,American Economic Review,71,2,14,2007,2016,9,2016,9,"{2007: 1, 2016: 13}",On Local Finance and the Tiebout Model
23254222,American Economic Review,76,4,7,2007,2016,9,2016,9,"{2007: 1, 2016: 6}",A Test for Subadditivity of the Cost Function with an Application to the Bell System
23254222,American Economic Review,68,2,11,2007,2016,9,2016,9,"{2007: 1, 2016: 10}","Markets, States, and the Extent of Morals"
23254222,American Economic Review,87,2,8,2007,2016,9,2016,9,"{2007: 1, 2016: 7}","Federal Housing Assistance, Residential Relocation, and Educational Opportunities: Evidence from Baltimore"
2735890421,The World Bank Economic Review,32,1,8,2008,2017,9,2017,9,"{2008: 1, 2016: 1, 2017: 6}",Migrant Labor Markets And The Welfare Of Rural Households In The Developing World: Evidence From China
23254222,American Economic Review,81,4,3,2007,2016,9,2016,9,"{2007: 1, 2016: 2}",Is the Price Level Tied to the M2 Monetary Aggregate in the Long Run
4210237103,Indonesian Management and Accounting Research,6,1,5,2007,2016,9,2007,9,"{2007: 2, 2016: 3}",Some Thoughts About Accounting Conceptual Framework and Standards For Awqaf Institutions | ON USE OF FACTOR ANALYSIS IN ANALIZING SERVICE QUALITY PERFORMANCE
145200904,Health Economics,31,4,7,2013,2022,9,2022,9,"{2013: 1, 2021: 1, 2022: 5}",THE IMPACT OF GREEN DESIGN ON THE EMOTIONAL HEALTH OF PATIENTS IN CHILDREN'S HEALTHCARE FACILITIES
23254222,American Economic Review,85,2,7,2007,2016,9,2016,9,"{2007: 2, 2016: 5}",The Effects of Attendance on Student Learning in Principles of Economics | Time-Series Minimum-Wage Studies: A Meta-analysis
23254222,American Economic Review,68,3,9,2007,2016,9,2016,9,"{2007: 1, 2016: 8}",The Effects of a Firm's Investment and Financing Decisions on the Welfare of its Security Holders
23254222,American Economic Review,80,2,9,2007,2016,9,2016,9,"{2007: 1, 2016: 8}",Strikes and Bargaining: A Survey of the Recent Empirical Literature
23254222,American Economic Review,71,1,3,2007,2016,9,2016,9,"{2007: 1, 2016: 2}","Output, the Stock Market, and Interest Rates"
2765057965,Gadjah Mada International Journal of Business,6,2,7,2004,2013,9,2004,9,"{2004: 6, 2013: 1}",DOES EARNINGS QUALITY MODERATE THE PREDICTIVE CONTENT OF NONOPERATING INCOME?
171812798,Metroeconomica,63,3,8,2011,2020,9,2011,9,"{2011: 3, 2012: 4, 2020: 1}",Stolper-Samuelson revisited: trade and distribution with oligopolistic profits
23254222,American Economic Review,73,4,7,2007,2016,9,2016,9,"{2007: 1, 2016: 6}",On Layoffs and Unemployment Insurance
2764896919,Environmental Economics and Policy Studies,13,1,5,2011,2020,9,2011,9,"{2011: 4, 2020: 1}",How Can We Stop Marine Plastic Pollution?:The Applicability of the Social License to Operate (SLO)
194514787,Applied Health Economics and Health Policy,17,1,12,2010,2018,8,2019,9,"{2010: 1, 2018: 11}","Diurnal rhythm of the savannah elephant (Loxodonta africana africana) in Maasai Mara National Reserve, Kenya"
192266589,Group & Organization Management,43,2,6,2009,2017,8,2018,9,"{2009: 1, 2016: 4, 2017: 1}",Abusive supervision and employee emotional exhaustion
145200904,Health Economics,16,1,8,2003,2014,11,2006,8,"{2003: 1, 2006: 6, 2014: 1}",Investigating the Quitting Decision of Nurses: Panel Data Evidence from the British National Health Service
151404345,Journal of Post Keynesian Economics,28,1,5,2005,2014,9,2006,8,"{2005: 3, 2014: 2}","Countervailing, conditioned, and contingent--the power theory of John Kenneth Galbraith | John Kenneth Galbraith and original institutional economics"
2764896919,Environmental Economics and Policy Studies,7,2,4,2005,2014,9,2006,8,"{2005: 3, 2014: 1}","植田和弘著『緑のエネルギー原論』:（岩波書店，2013年12月刊，173頁＋注＋初出一覧，本体1,700円＋税）"
23254222,American Economic Review,71,4,6,2008,2016,8,2016,8,"{2008: 1, 2016: 5}",Exact Consumer's Surplus and Deadweight Loss
2764933780,ASIA MARKETING JOURNAL,22,1,5,2012,2020,8,2020,8,"{2012: 1, 2020: 4}",해석 전략과 소비자 목표가 융합제품에 대한 소비자 반응에 미치는 영향
2738848155,Contemporary Economics,15,1,7,2013,2021,8,2021,8,"{2013: 1, 2021: 6}",COVID-19: Putting Stock Markets Back on Recovery among the Crude Oil Producing Economies
88020226,The Business History Review,85,3,34,2003,2011,8,2011,8,"{2003: 1, 2011: 33}","Between Human and Machine: Feedback, Control, and Computing before Cybernetics (Book)"
2764896919,Environmental Economics and Policy Studies,8,2,7,2007,2015,8,2007,8,"{2007: 3, 2015: 4}",Welfare effects of international income transfers under transboundary pollution | Stock market reactions to information disclosure: new evidence from Japan’s pollutant release and transfer register
205793605,Business Strategy and the Environment,29,6,51,2012,2020,8,2020,8,"{2012: 1, 2020: 50}",Key lecture: Choosing and combining units
23254222,American Economic Review,88,2,9,2008,2016,8,2016,8,"{2008: 1, 2016: 8}",Social security and Retirement: An International Comparison
2737221291,Zagreb international review of economics and business/Zagreb international review of economics & business,8,2,6,2005,2013,8,2005,8,"{2005: 5, 2013: 1}",Privatisation of banks in Croatia and the monetary sovereignty
114193083,Chinese Economy,39,1,5,2006,2014,8,2006,8,"{2006: 4, 2014: 1}","Analytical Method Research on China's Transitional Economic Practice: With an Explanation of the Reasonable Logic of the ""Beijing Consensus"""
194514787,Applied Health Economics and Health Policy,19,3,14,2013,2021,8,2021,8,"{2013: 1, 2020: 8, 2021: 5}",REUSE POTENTIAL OF ABLUTION WATER FROM IIUM MASJID
41416626,Harvard business review,80,9,10,2002,2010,8,2002,8,"{2002: 9, 2010: 1}","Price Setting, Inflation Dynamics, and Monetary Policy"
23254222,American Economic Review,74,3,7,2008,2016,8,2016,8,"{2008: 1, 2016: 6}",Welfare Costs per Dollar of Additional Tax Revenue in the United States
50631486,Journal of Knowledge Management,15,4,9,2011,2019,8,2011,8,"{2011: 8, 2019: 1}",知識管理の実行によるビジネスパフォーマンスの達成:製造と非製造会社の比較研究【JST・京大機械翻訳】
170287006,Scandinavian Economic History Review,62,1,12,2006,2014,8,2014,8,"{2006: 1, 2013: 1, 2014: 10}","Harald Rinde, The history of Norwegian Telecommunication 1855-1920"
111767569,History of economic ideas,16,3,17,2008,2016,8,2008,8,"{2008: 16, 2016: 1}",A 'SCIENTIFIC BASIS' FOR FASCISM: THE NEO-ORGANIC IS M OF CORRADO GINI
2764896919,Environmental Economics and Policy Studies,10,1,5,2009,2017,8,2009,8,"{2009: 3, 2017: 2}",Renewable Energy and the Future Direction of Economic Development | 愛甲哲也・庄子康・栗山浩一編『自然保護と利用のアンケート調査―公園管理・野生動物・観光のための社会調査ハンドブック―』
50631486,Journal of Knowledge Management,7,1,10,2003,2011,8,2003,8,"{2003: 9, 2011: 1}",A Knowledge Management Tool for the Interconnection of Communities of Practice
2765057965,Gadjah Mada International Journal of Business,7,2,5,2005,2013,8,2005,8,"{2005: 4, 2013: 1}",Balance Sheet Vulnerability and Macroeconomic Management in Indonesia
4210231290,Financial markets and portfolio management,35,4,6,2013,2021,8,2021,8,"{2013: 1, 2021: 5}","Gaspar Noés ""Enter the void"""
134988049,Econometric Reviews,40,2,5,2013,2020,7,2021,8,"{2013: 1, 2020: 4}",Match-Rigging in Professional Sumo-Elucidation of Incentive Structures and Empirical Analysis-
2764642258,Indian journal of industrial relations,44,2,11,2008,2016,8,2009,7,"{2008: 9, 2016: 2}","Is Affirmative Action Policy for Private Sector Necessary | Religion, Socio-economic Backwardness & Discrimination: The Case of Indian Muslims"
111767569,History of economic ideas,17,3,22,2009,2016,7,2009,7,"{2009: 21, 2016: 1}",IN THE SHADOW OF THE INVISIBLE HAND
2764933780,ASIA MARKETING JOURNAL,2,1,8,2000,2007,7,2000,7,"{2000: 7, 2007: 1}",The Roles of Self-Expression and Identification on thePersonal Community Commitment
180061323,The Review of Economics and Statistics,98,5,13,2009,2016,7,2016,7,"{2009: 1, 2016: 12}",War and Relatedness
2738413198,Equilibrium Quarterly Journal of Economics and Economic Policy,1,1-2,13,2008,2015,7,2008,7,"{2008: 12, 2015: 1}",The development of innovative banking services ? treasury transactions as a way to risk and financial management corporation by use of electronic distribution channels
163774179,Labour Economics,7,1,6,2000,2007,7,2000,7,"{2000: 5, 2007: 1}",Labor's Liquidity Service and Firing Costs
57667410,Annals of Operations Research,317,2,18,2015,2022,7,2015,7,"{2015: 6, 2016: 4, 2017: 4, 2018: 1, 2019: 1, 2021: 1, 2022: 1}",The “Sensitive” Markovian queueing system and its application for a call center problem
166753014,Health Services Management Research,14,2,18,2001,2008,7,2001,7,"{2001: 17, 2008: 1}",Glucocorticoid receptor gene polymorphisms in patients with Cushing's disease and adrenal Cushing's syndrome
57667410,Annals of Operations Research,317,1,16,2015,2022,7,2015,7,"{2015: 5, 2016: 5, 2017: 2, 2019: 1, 2021: 2, 2022: 1}",A revisit to the markup practice of irreversible dynamic pricing
