source_idx,source_name,volume,issue,n_works,yr_min,yr_max,yr_spread,years_and_counts,example_titles
4210169265,VISIÓN GERENCIAL,1,1,26,2002,2023,21,"{2002: 3, 2003: 5, 2022: 6, 2023: 12}",Impacto financiero de los créditos otorgados por el fondo para el financiamiento de la pequeña y mediana industria merideña en la pequeña y mediana industria del estado Mérida diagnóstico 1991 -1998 | Propuesta de autodiseño organizacional para el sector de la salud pública en Venezuela
206124708,Organization Science,36,4,15,2003,2024,21,"{2003: 2, 2024: 13}",市場の時代の人的資源管理 (特集 組織と戦略のダイナミック・インタラクション:考える経営者) | 組織能力と製品アーキテクチャ--下から見上げる戦略論 (特集 組織と戦略のダイナミック・インタラクション:考える経営者)
169712084,International Journal of Information Technology and Management,1,1,37,2002,2023,21,"{2002: 8, 2016: 1, 2017: 3, 2018: 1, 2021: 1, 2022: 10, 2023: 13}","Factors Affecting Diffusion and Adoption of Information and Communication Technology Among Rural Users in Khyber Pakhtunkhwa Province, Pakistan"
4210169265,VISIÓN GERENCIAL,1,2,16,2003,2023,20,"{2003: 3, 2023: 13}",Perfil motivacional del personal directivo y empleado en organizaciones de Santa Bárbara de Zulia | Formas de medir el riesgo para los Fondos Mutuales de Renta Variable venezolanos
2764555313,International Journal of Business,6,1,14,2001,2021,20,"{2001: 5, 2009: 1, 2018: 4, 2021: 4}","Transparent Governance, Efficient Management Practices, and the Role of Information and Communication Technology in Nigeria"
2764555313,International Journal of Business,5,2,23,2000,2020,20,"{2000: 4, 2016: 1, 2017: 4, 2020: 14}",An Economist in the Real World: The Art of Policymaking in India: Kaushik Basu
93195727,International Journal of Management and Enterprise Development,1,1,12,2003,2023,20,"{2003: 5, 2021: 3, 2023: 4}",Case study of small and very small businesses in Germany during Covid-19 in 2021 | INNOVATIVE SMALL START-UPS IN ITALY: A SUCCESSFUL BUSINESS MODEL
2764555313,International Journal of Business,5,1,18,2000,2020,20,"{2000: 3, 2006: 1, 2008: 1, 2011: 4, 2013: 1, 2017: 3, 2020: 5}",Cross-Cultural Differences: A Framework For Evaluating Diversity Training
95636294,International Journal of Entrepreneurship and Innovation Management,1,1,26,2001,2021,20,"{2001: 8, 2016: 3, 2017: 8, 2018: 2, 2019: 1, 2020: 2, 2021: 2}",Solving the heterogeneity puzzle: a comparative look at SMEs growth determinants in open and closed innovation patterns
4210221200,J for International Business and Entrepreneurship Development,1,1,33,2003,2023,20,"{2003: 12, 2017: 6, 2020: 4, 2022: 8, 2023: 3}","The relationship between firm financial distress, firm life cycle and firm cash holdings of non-financial listed Vietnamese companies | Technology, human capital, and economic growth: evidence from high-income OECD countries"
168717511,The Journal of Applied Behavioral Science,58,4,10,2002,2022,20,"{2002: 1, 2022: 9}","""The Best Place to Be"": Managing Control and Employee Loyalty in a Knowledge-Intensive Company/""Лучшее место для жизни"": управленческий контроль и лояльность служащего в ""знаниевой"" компании"
73818033,International Journal of Management Practice,1,1,48,2004,2023,19,"{2004: 6, 2021: 14, 2022: 26, 2023: 2}",Examining Crisis Leadership Behaviours through the Principles of Buddhism: An Interview based Study | The Mediating Role of Job Security on Organizational Justice and Turnover Intention
146248155,International Journal of Six Sigma and Competitive Advantage,1,1,51,2004,2023,19,"{2004: 8, 2020: 19, 2021: 21, 2022: 2, 2023: 1}",Impact of Lean Six Sigma on companies performance during the COVID-19 pandemic
171484276,International Journal of Learning and Intellectual Capital,1,1,106,2004,2023,19,"{2004: 7, 2017: 8, 2018: 26, 2019: 4, 2020: 16, 2021: 27, 2022: 13, 2023: 5}",Evaluation of the Impact of Information Technology Capital and Intellectual Capital on Future Returns of Companies in the Capital Market | Addressing protean and boundary-crossing working orientations: Turning point in talent phenomena management
194514787,Applied Health Economics and Health Policy,19,5,14,2002,2021,19,"{2002: 1, 2021: 13}",What it Takes to be Great in the Role of Enterprise Architect
34937439,International Journal of Globalisation and Small Business,1,1,20,2004,2023,19,"{2004: 6, 2020: 3, 2021: 1, 2022: 9, 2023: 1}",Critical success factors for small and medium-sized enterprises in resource-rich country context
207627288,International Journal of Integrated Supply Management,1,1,36,2004,2023,19,"{2004: 6, 2020: 6, 2021: 19, 2022: 4, 2023: 1}",Disruptions due to COVID-19 - the ultimate stress test for supply chain managers
2764678689,Accounting and Finance Research,12,1,4,2004,2023,19,"{2004: 1, 2022: 2, 2023: 1}",ECONOMIC VALUE ADDED (EVA) AS A PROXY FOR MARKET VALUE ADDED (MVA) AND ACCOUNTING EARNINGS: EMPIRICAL EVIDENCE FROM THE BUSINESS CYCLE
52125040,International Journal of Logistics Systems and Management,1,1,364,2004,2023,19,"{2004: 7, 2019: 54, 2020: 110, 2021: 106, 2022: 62, 2023: 25}",Service quality analysis: case study of a 3PL company | Incumbent perceptions of the logistics profession
44088940,International Journal of Management Concepts and Philosophy,1,1,122,2004,2023,19,"{2004: 5, 2018: 14, 2019: 13, 2020: 12, 2021: 32, 2022: 32, 2023: 14}",Meaning and being: existentialist concepts in leadership | Linking theory and practice in management research: scientific research programmes and alethic pluralism
134953813,Economics bulletin,13,1,4,2004,2023,19,"{2004: 1, 2005: 1, 2007: 1, 2023: 1}","Advance booking, cancellations, and partial refunds"
62246846,International Journal of Accounting Auditing and Performance Evaluation,1,1,17,2004,2023,19,"{2004: 6, 2020: 2, 2021: 2, 2022: 5, 2023: 2}","Earnings management, corporate social responsibility and governance structure: further evidence from Egypt | International financial reporting system in India and China: past, present and IFRS"
65047066,International Journal of Services and Standards,1,1,11,2004,2022,18,"{2004: 8, 2022: 3}",Protective Shields: The Drivers of Adopting Information Security Standards and Complementarity with Different Security Standards | The Effects of the Legal Environment on Cybersecurity
178202027,International Journal of Services and Operations Management,1,1,336,2005,2023,18,"{2005: 7, 2018: 4, 2019: 52, 2020: 101, 2021: 88, 2022: 59, 2023: 25}",A New Efficient Learning Approach E-PDLA in assessing the Knowledge of Breast Cancer Dataset | E-Banking Service Quality and Customer Satisfaction: An Exploratory Study on India
134953813,Economics bulletin,3,1,16,2002,2020,18,"{2002: 1, 2004: 1, 2005: 5, 2006: 6, 2007: 2, 2020: 1}",Fully restricted linear regression: A pedagogical note
3297139,International Journal of Financial Services Management,1,1,42,2005,2023,18,"{2005: 8, 2019: 1, 2020: 17, 2021: 9, 2022: 6, 2023: 1}",Corporate governance practices of banks in developed countries after the financial crisis of 2008
126582591,World Review of Entrepreneurship Management and Sustainable Development,1,1,63,2005,2023,18,"{2005: 6, 2016: 1, 2017: 4, 2018: 1, 2019: 1, 2020: 5, 2021: 18, 2022: 19, 2023: 8}",Towards an eventual three-dimensional equilibrium regarding Corporate Social Responsibility in Lebanese small and medium enterprises
21322974,International Journal of Learning and Change,1,1,151,2005,2023,18,"{2005: 9, 2017: 9, 2018: 28, 2019: 2, 2020: 35, 2021: 44, 2022: 15, 2023: 9}",Pereira Problem Solving | The Portuguese model of determinants that make up the management consultancy sector
177205937,International Journal of Process Management and Benchmarking,1,1,186,2005,2023,18,"{2005: 6, 2018: 4, 2019: 11, 2020: 45, 2021: 46, 2022: 52, 2023: 22}",THE USE OF BENCHMARKING TOOL TO IMRPOVE EFFICIENCY OF COMPANY'S INNOVATION ACTIVITIES IN THE CONDITIONS OF DIGITAL ECONOMY | Analyzing organizational competitiveness through sustainable manufacturing using a hierarchical approach
134953813,Economics bulletin,33,4,46,2004,2021,17,"{2004: 1, 2010: 1, 2011: 1, 2012: 2, 2013: 40, 2021: 1}",Minimum LM Unit Root Test with One Structural Break
134988049,Econometric Reviews,68,1,8,2000,2017,17,"{2000: 1, 2017: 7}",Innovation and Learning in an Industrial Distric in Japan--A Case Study on SMEs in Suwa-Okaya
2764881094,International journal of business and economics,1,1,9,2001,2018,17,"{2001: 1, 2002: 7, 2018: 1}",Consumer and Trade Prices in General Equilibrium with Imperfect Competition
134988049,Econometric Reviews,70,3,7,2002,2019,17,"{2002: 1, 2019: 6}","Which would Marx ""betrachten"" : ""disturbances in the process of reproduction"" or ""Chap. VII of Book III""?"
2764892055,Seoul Journal of Economics,33,1,4,2003,2020,17,"{2003: 1, 2020: 3}",Management Ownership and Firm Value: An Empirical Analysis using Panel Data
43391031,International Journal of Business Environment,1,1,42,2006,2023,17,"{2006: 7, 2021: 8, 2022: 20, 2023: 7}",Corporate intranet failures: interpreting a case study through the lens of formative context | Environmental perceptions and risk: the importance of the outer environment
9731383,Research Policy,49,8,19,2003,2020,17,"{2003: 1, 2020: 18}",LANGUAGE AS A MIRROR OF THE WORLD:Reconciling picture theory and language games
2764945587,International journal of entrepreneurship,4,2,3,2000,2017,17,"{2000: 1, 2017: 2}","Entrepreneurial Identity, Intentions and the Effect of the Push-Factor"
59289252,Intereconomics,56,2,14,2004,2021,17,"{2004: 1, 2021: 13}",A Determinant Representation of Degrees 3 and 6 Invariants of a 3-ary Form of Degree 4.
102611516,International Journal of Electronic Finance,1,1,43,2006,2023,17,"{2006: 7, 2021: 1, 2022: 14, 2023: 21}",The Adoption of Digital Financial Inclusion in Developing Countries: A Systematic Literature Review
2765057965,Gadjah Mada International Journal of Business,9,1,7,2007,2024,17,"{2007: 6, 2024: 1}","Monetary Policy, Debt and the Cyclical Behavior of Inventories"
134988049,Econometric Reviews,68,2,4,2000,2017,17,"{2000: 1, 2017: 3}",Could Be the Failure of the WTO Ministerial Meeting in Seattle a Historic Watershed?--A Thought on the North-South Conflicts over Linkages between Trade & Enviornment and Trade & Labour Standards
110231434,International Journal of Business Process Integration and Management,1,1,13,2005,2022,17,"{2005: 5, 2018: 2, 2019: 1, 2020: 3, 2021: 1, 2022: 1}",Critical analysis of factors impacting trust and opportunism in agri-food supply chains: the case of tomatoes in the Northern Tanzania
2764555313,International Journal of Business,8,1,8,2003,2020,17,"{2003: 3, 2014: 1, 2017: 3, 2020: 1}",Non-Performing Assets of Indian Commercial Banks: A Critical Evaluation
134988049,Econometric Reviews,71,4,4,2004,2021,17,"{2004: 1, 2021: 3}",The Establishment of Yoshino-Kumano National Park
7345157,Eastern Economic Journal,26,4,7,2000,2016,16,"{2000: 3, 2016: 4}",Teaching Note: Let's Stop Professing That the Legal Incidence of the Social Security Tax Is Irrelevant | Other Things Equal: How to Be a Good Graduate Student
41416626,Harvard business review,89,11,3,2000,2016,16,"{2000: 1, 2011: 1, 2016: 1}",La disciplina de los equipos
2764555313,International Journal of Business,6,2,8,2001,2017,16,"{2001: 5, 2017: 3}",Analysis of HR Practices in the IT Sector (With Special Reference to Bangalore City) | The Impact of Investment in Information Technology on the productivity of Power Generation Companies
2764555313,International Journal of Business,7,1,10,2002,2018,16,"{2002: 5, 2012: 1, 2013: 1, 2017: 2, 2018: 1}",Social Marketing Strategies of successful NGOs - a strategic perspective with reference to selected NGOs in the states of Karnataka and Tamil Nadu
2764945587,International journal of entrepreneurship,4,1,6,2000,2016,16,"{2000: 1, 2016: 5}",Model of Corporate Entrepreneurship: Intrapreneurship and Exopreneurship
4210185932,J for Global Business Advancement,1,1,24,2007,2023,16,"{2007: 10, 2018: 2, 2021: 1, 2022: 7, 2023: 4}",Factors affecting turnover intention of logisticians: empirical evidence from Pakistan
151404345,Journal of Post Keynesian Economics,27,4,5,2005,2021,16,"{2005: 1, 2014: 3, 2021: 1}",Will the classical-type approach survive Sraffian theory?
134015283,International Journal of Revenue Management,1,1,8,2006,2022,16,"{2006: 6, 2022: 2}",Price Optimization of Perishable Goods Using a Genetic Algorithm | Benefits Realization Management: from Problem Solving to Value Delivery
98077829,International Journal of Monetary Economics and Finance,1,1,102,2007,2023,16,"{2007: 6, 2020: 16, 2021: 29, 2022: 31, 2023: 20}",An empirical analysis of the relationships between exchange rate exposure and company's retail pricing policies | Equilibrium real exchange rate in Macedonia
138197279,International Journal of Trade and Global Markets,1,1,121,2007,2023,16,"{2007: 6, 2020: 12, 2021: 47, 2022: 23, 2023: 33}",The transmission effects of iron ore price shocks on China's economy and industries: a CGE approach | Foreign Direct Investment and spillovers: evidence from Indian manufacturing
7345157,Eastern Economic Journal,27,4,7,2000,2016,16,"{2000: 1, 2001: 4, 2016: 2}",The Theil Index in Sequences of Nested and Hierarchic Grouping Structures: Implications for the Measurement of Inequality through Time with Data Aggregated at Different Levels of Industrial Classification
2764555313,International Journal of Business,10,1,6,2002,2018,16,"{2002: 1, 2004: 1, 2005: 1, 2011: 1, 2016: 1, 2018: 1}",What makes superannuation decisions difficult
134988049,Econometric Reviews,67,3,5,2000,2016,16,"{2000: 1, 2016: 4}",Waste Recycling and Interregional Economy
2764873792,African Journal of Business and Economic Research,1,1,12,2006,2022,16,"{2006: 5, 2022: 7}","Trade and traders : a dynamic factor in the small- and micro-enterprise sector in Kenya and other countries in Eastern and Southern Africa | Cointegration and causality analysis of Ghanaian exports, foreign, domestic and human capital"
42911722,International Journal of Economic Policy in Emerging Economies,1,1,227,2007,2023,16,"{2007: 5, 2020: 64, 2021: 101, 2022: 54, 2023: 3}",Walking a tightrope: understanding COVID-19 vaccine allocation in India | What factors affect scientists innovation activity: evidence from Russia
146099957,International Journal of Finance & Economics,5,1,16,2000,2016,16,"{2000: 13, 2016: 3}",Impact of Investment on Stock Market Development in Nigeria | The Effect of Stock Market Performance on Economic Growth in Ghana
2764881094,International journal of business and economics,3,1,35,2004,2020,16,"{2004: 8, 2018: 2, 2020: 25}",Macroeconomic Determinants Of Fdi Inflows In Macedonia: A Breakpoint Analysis | Turo-Turo and Online Market: Essential Problems Established of Purchaser and Retailer
2764555313,International Journal of Business,9,2,5,2001,2017,16,"{2001: 2, 2004: 2, 2017: 1}",Impact of Economic Reforms on Stock Market Behaviour: A Short-Term Perspective
146099957,International Journal of Finance & Economics,5,2,10,2000,2016,16,"{2000: 9, 2016: 1}",The Bank Credit Transmission Channel of Monetary Policy in Australia
7345157,Eastern Economic Journal,26,1,7,2000,2016,16,"{2000: 5, 2016: 2}",OTHER THINGS EQUAL Alan Greenspan Doesn't Influence Interest Rates | A REVIEW OF THE RULES VERSUS DISCRETION DEBATE IN MONETARY POLICY
12497220,International Journal of Business and Systems Research,1,1,76,2007,2023,16,"{2007: 7, 2020: 15, 2021: 39, 2022: 9, 2023: 6}","THE IMPACT OF ORGANISATIONAL CITIZENSHIP BEHAVIOUR, TRANSFORMATIONAL LEADERSHIP, AND ORGANISATIONAL COMMITMENT ON ORGANISATION PERFORMANCE: A CASE STUDY AT UNIVERSITIES IN HO CHI MINH CITY | IDENTIFYING MEASURABLE VALUE DIMENSIONS OF INFORMATION TECHNOLOGY OCCUPATIONAL CULTURE AND ITS EFFECT ON JOB SATISFACTION: A MIXED-METHOD GROUNDED THEORY"
196118188,International Journal of Services Economics and Management,1,1,79,2007,2023,16,"{2007: 6, 2020: 15, 2021: 19, 2022: 22, 2023: 17}",Integration of DEA with input-output table for national economy efficiency analysis | Is Vincent Ostrom's Democratic Administration and New Public Management at odds in East Africa's Public Administration?
52048951,International Journal of Business and Globalisation,1,1,167,2007,2023,16,"{2007: 8, 2018: 1, 2019: 14, 2020: 71, 2021: 41, 2022: 12, 2023: 20}",Canvassing Competitive Advantage Through Key Dimensions of Business Model
4306522742,Politica economica,3,3,9,2000,2016,16,"{2000: 1, 2002: 2, 2004: 1, 2008: 1, 2009: 2, 2011: 1, 2016: 1}",La regolamentazione tariffaria dei servizi di fornitura dell'energia elettrica in Italia: un difficile trade-off tra equità ed efficienza
8124760,Journal of Management & Organization,8,2,10,2002,2018,16,"{2002: 8, 2018: 2}",Evaluasi Implementasi Balanced Scorecard Pada Departemen Manajemen IPB Sebagai Program Studi Berbasis Kinerja | Pengaruh Kohesivitas dan Kepuasan Kerja terhadap Organizational Citizenship Behavior di PT Agricon
2764555313,International Journal of Business,8,2,9,2003,2019,16,"{2003: 5, 2017: 1, 2019: 3}",Fire Safety Management in Construction
33323087,Management Science,8,1,55,2003,2018,15,"{2003: 1, 2004: 19, 2013: 1, 2014: 19, 2015: 6, 2016: 2, 2018: 7}",Successful Competitive Strategies of Large Croatian and Slovenian Enterprises (Research Report)
7345157,Eastern Economic Journal,27,3,8,2001,2016,15,"{2001: 7, 2016: 1}",EAST GERMAN INTERNATIONAL TRADE DURING TRANSITION AS A REFLECTION OF THE DYNAMICS OF COMPETITIVENESS
7345157,Eastern Economic Journal,27,1,6,2001,2016,15,"{2001: 5, 2016: 1}",Three Books of Oomph
59777368,International Journal of Managerial and Financial Accounting,1,1,42,2008,2023,15,"{2008: 8, 2022: 24, 2023: 10}","The consequences of information asymmetry, task and environmental uncertainty on budget participation: evidence from Malaysian managers | Relevance of intangible in the evaluation of firms: case of the French market"
2764555313,International Journal of Business,11,1,16,2003,2018,15,"{2003: 3, 2006: 7, 2016: 1, 2017: 4, 2018: 1}",Women leadership a study of select women leaders in the it sector in bangalore city
31040931,International Journal of Electronic Customer Relationship Management,1,1,9,2007,2022,15,"{2007: 7, 2022: 2}",ENHANCEMENT OF TOUCHPOINT INTERACTIONS ON CUSTOMER EXPERIENCE MANAGEMENT IN BANKING SECTOR | A Path to Empower Consumers Lookout: Analyzing the Role of Digital Strategies on Consumers Intention to Buy from the Perspective of TBP
131077017,International Journal of Behavioural Accounting and Finance,1,1,11,2008,2023,15,"{2008: 5, 2020: 1, 2022: 2, 2023: 3}",Culture and earnings quality in cross-border acquisitions
194514787,Applied Health Economics and Health Policy,19,6,15,2006,2021,15,"{2006: 1, 2021: 14}",Two forgotten newspapers
33323087,Management Science,5,2,40,2001,2016,15,"{2001: 22, 2010: 5, 2014: 2, 2015: 10, 2016: 1}",INTERACTION BETWEEN CIVIL SOCIETY AND STATE IN THE CONTEXT OF INFORMATION SECURITY UKRAINE
7345157,Eastern Economic Journal,27,2,12,2001,2016,15,"{2001: 10, 2016: 2}","A COMMENT ON DANIEL KLEIN'S ""A PLEA TO ECONOMISTS WHO FAVOR LIBERTY"" | RESPONSE FROM AN ECONOMIST WHO ALSO FAVORS LIBERTY"
164875865,International Journal of Banking Accounting and Finance,1,1,22,2008,2023,15,"{2008: 5, 2019: 2, 2020: 1, 2021: 4, 2022: 7, 2023: 3}",An empirical examination of the efficiency of commodity markets in India
33323087,Management Science,10,1,36,2005,2020,15,"{2005: 1, 2006: 19, 2014: 8, 2015: 4, 2016: 1, 2020: 3}",Process Change Using ARIS: the Case Study of a Croatian Insurance Company
69065261,International Journal of Inventory Research,1,1,12,2008,2023,15,"{2008: 5, 2020: 2, 2022: 4, 2023: 1}",Learning under the inventory problem of economic order quantity: a behavioural study
167383514,Ekonomista,1,1,8,2004,2019,15,"{2004: 1, 2011: 1, 2012: 1, 2013: 1, 2014: 1, 2016: 1, 2019: 2}","Globalizacja - iluzje, nadzieje, obawy i szanse"
4210237991,International Journal of Electronic Banking,1,1,21,2008,2023,15,"{2008: 6, 2021: 3, 2022: 10, 2023: 2}",Review of saltwater desalination techniques: UAE study case | Ease of use and standardisation on potential usage of ATMs in Bahrain
4210187274,Afro-Asian J of Finance and Accounting,1,1,67,2008,2023,15,"{2008: 7, 2017: 3, 2018: 5, 2019: 5, 2020: 7, 2021: 18, 2022: 19, 2023: 3}",A comparative study of the value relevance of accounting information between financial and non-financial companies listed on the Ghana Stock Exchange | Examining bank-specific determinants of the dividend payout ratio of sub-Sharan Africa banks: the panel GMM approach
33323087,Management Science,9,1,43,2004,2019,15,"{2004: 1, 2005: 13, 2014: 11, 2015: 10, 2016: 4, 2019: 4}",Concepts and Determinants of Contemporary Management in Opinions of Managers-Practitioners
187052734,International Journal of Sustainable Strategic Management,1,1,10,2008,2023,15,"{2008: 7, 2021: 1, 2022: 1, 2023: 1}",Economic growth strategy: an empirical analysis of the determinants of the private saving rate in Lebanon
33323087,Management Science,10,2,50,2006,2020,14,"{2006: 19, 2014: 14, 2015: 10, 2016: 4, 2020: 3}","Investigating the Impact of Strategic Alignment on Performance Considering the Role of Sustainable Strategy | Challenges of Entrepreneurs Live with Disabilities to Establish and Expand Their Own Business in Case of Guraghe Zone, Ethiopia"
2764881094,International journal of business and economics,4,1,6,2005,2019,14,"{2005: 5, 2019: 1}",Information Transmission in the Return and Volatility between the Bitcoins and Fiat Currency Exchange Rates
112489639,International Journal of Computational Economics and Econometrics,1,1,33,2009,2023,14,"{2009: 7, 2020: 1, 2021: 10, 2022: 12, 2023: 3}",INFRASTRUCTURE DEVELOPMENT AND INCOME INEQUALITY IN INDIA: AN EMPIRICAL INVESTIGATION
95323914,Journal of Political Economy,131,12,9,2009,2023,14,"{2009: 1, 2023: 8}",Reserve Prices in Internet Advertising Auctions: A Field Experiment
2764555313,International Journal of Business,13,1,6,2005,2019,14,"{2005: 2, 2008: 2, 2019: 2}","International Competitiveness and Sugar Strategy Options in Australia, Brazil and the European Union | International convergence of accounting standards : an investigation of the use of IAS ''options'' not acceptable under US GAAP"
187151359,International Journal of Economics and Business Research,1,1,219,2009,2023,14,"{2009: 10, 2020: 31, 2021: 120, 2022: 48, 2023: 10}",A new approach for pricing commodity futures contracts | What prospects for European fiscal policy?
2764846857,Economics and Business Review/The Poznań University of Economics Review,9,1,10,2009,2023,14,"{2009: 4, 2023: 6}",Performance measurement methods in the public sector | The New Keynesianism - proclamation of a consensus?
33323087,Management Science,8,2,48,2004,2018,14,"{2004: 26, 2013: 2, 2014: 3, 2015: 5, 2016: 4, 2018: 8}",Financial Decentralization in Bulgaria: An Outlook | Perceptions on ‘Effective’ Head Teacher’s Leadership within the Slovenian Context
2764555313,International Journal of Business,9,1,9,2001,2015,14,"{2001: 1, 2004: 2, 2014: 1, 2015: 5}","The Effects of Deregulation, Reregulation, and Diversification in the Banking Industry: Evidence from the USA and Australia"
2764846857,Economics and Business Review/The Poznań University of Economics Review,4,1,16,2004,2018,14,"{2004: 8, 2018: 8}",Business planning processes in tourism family enterprises | Poland's tourism image - results of a survey conducted among Austrian students
33323087,Management Science,7,2,41,2003,2017,14,"{2003: 24, 2012: 3, 2014: 1, 2015: 3, 2017: 10}",STRUCTURAL AND FUNCTIONAL CONTENT OF SOCIAL CAPITAL IN THE CURRENT SYSTEM OF GOVERNMENT
33323087,Management Science,11,1,32,2007,2021,14,"{2007: 19, 2014: 5, 2015: 2, 2016: 5, 2021: 1}",The Impact of Total Quality Management on Achieving Competitive Advantage in the Vocational Education Sector in Lebanon- The Case of Bir Hassan Technical Institute
2764846857,Economics and Business Review/The Poznań University of Economics Review,7,2,11,2007,2021,14,"{2007: 4, 2021: 7}",The Agreement on Technical Barriers to Trade : is it working for business? | Poland : the EMU entry strategy vs. the monetary issues
2764846857,Economics and Business Review/The Poznań University of Economics Review,2,1,4,2002,2016,14,"{2002: 3, 2016: 1}",Success and failure in M&amp;amp;As : Is there a place for a paradigm change? Evidence from the Israeli hi-tech industry
83383069,International Journal of Quality and Innovation,1,1,22,2009,2023,14,"{2009: 6, 2020: 6, 2021: 8, 2022: 1, 2023: 1}",Customer loyalty for retailers' growth in Bangladesh: do retailer qualities (attributes and awareness) influence satisfaction and loyalty
2764846857,Economics and Business Review/The Poznań University of Economics Review,10,2,25,2010,2024,14,"{2010: 18, 2024: 7}",Taxation of public pensions in European Union countries | Proposal for a comprehensive retirement insurance solution (CRIS) to mitigate retirement risk based on theory of change
2764846857,Economics and Business Review/The Poznań University of Economics Review,8,2,12,2008,2022,14,"{2008: 4, 2022: 8}",Local stability of the competitive economy with relative prices and discrete time | Poland's evolving Net Outward Investment Position : a cross-industry analysis
2764846857,Economics and Business Review/The Poznań University of Economics Review,3,1,4,2003,2017,14,"{2003: 3, 2017: 1}",Editorial Introduction
2764846857,Economics and Business Review/The Poznań University of Economics Review,5,2,10,2005,2019,14,"{2005: 4, 2019: 6}",Co-operation strategies of Polish companies as a response to foreign investors' expansion into the Polish market | Non-stationary Leontief-Walras economy
33323087,Management Science,6,1,37,2002,2016,14,"{2002: 18, 2011: 3, 2014: 3, 2015: 3, 2016: 10}","Supplementary pension schemes, long-term sustaniability of public finances and financial stability in Slovenia | Students’ and Teachers’ Attitudes toward E-study and Teaching Methods in Higher Education"
164321952,International Journal of Operations & Production Management,23,4,6,2003,2017,14,"{2003: 5, 2017: 1}",Cooperation in Conflict of Three Participants under Uncertainty
26598852,Economia Politica,2,2,8,2000,2014,14,"{2000: 1, 2001: 1, 2006: 1, 2007: 1, 2009: 1, 2010: 2, 2014: 1}",Cambiamento abitudinario delle preferenze: il ruolo svolto dalle ipotesi sulla razionalità individuale
2764846857,Economics and Business Review/The Poznań University of Economics Review,7,1,11,2007,2021,14,"{2007: 4, 2021: 7}",Customers' loyalty profiles | Financing of local governments' cultural activities : chances and threats in Polish legal system after the year 1991
73660788,International Journal of Strategic Business Alliances,1,1,8,2009,2023,14,"{2009: 6, 2021: 1, 2023: 1}",Accelerating start-ups internationalisation through networks: a comparative study
2798341630,Corporate Ownership and Control,1,1,12,2003,2017,14,"{2003: 11, 2017: 1}",The civil economy
162583106,Health Marketing Quarterly,39,2,8,2008,2022,14,"{2008: 1, 2021: 6, 2022: 1}",Assessing the mixing performance of extruders: indices and scale-up
2764846857,Economics and Business Review/The Poznań University of Economics Review,5,1,14,2005,2019,14,"{2005: 8, 2019: 6}",A disequilibrium mechanism: When managerial decisions cause macroeconomic instability | The influence of Europeanization policies on immigrants’ participation in Scandinavian higher education
7345157,Eastern Economic Journal,31,1,8,2002,2016,14,"{2002: 1, 2005: 6, 2016: 1}",IS THE HUMAN DEVELOPMENT INDEX REDUNDANT
