,inCites_organisation,substring,oa_id,oa_name,oa_country,score,matching_type,chosen,organization_established,organization_id,organization_links,organization_types
2,London School Economics & Political Science,London School Economics & Political Science,https://openalex.org/I2799858192,London School of Business and Management,GB,0.52,COMMON TERMS,False,,https://ror.org/01j1n1798,"[{'type': 'website', 'value': 'http://www.lsbm.ac.uk/'}, {'type': 'wikipedia', 'value': 'https://en.wikipedia.org/wiki/London_School_of_Business_and_Management'}]",['education']
0,Massachusetts Institute of Technology (MIT),Massachusetts Institute of Technology MIT,https://openalex.org/I63966007,Massachusetts Institute of Technology,US,0.95,COMMON TERMS,True,1861.0,https://ror.org/042nb2s44,"[{'type': 'website', 'value': 'https://web.mit.edu'}, {'type': 'wikipedia', 'value': 'http://en.wikipedia.org/wiki/Massachusetts_Institute_of_Technology'}]","['education', 'funder']"
1,Massachusetts Institute of Technology (MIT),Massachusetts Institute of Technology MIT,https://openalex.org/I4210153756,Massachusetts Technology Collaborative,US,0.71,COMMON TERMS,False,1982.0,https://ror.org/05mydvn22,"[{'type': 'website', 'value': 'http://www.masstech.org/'}]",['other']
2,Massachusetts Institute of Technology (MIT),Massachusetts Institute of Technology MIT,https://openalex.org/I4390039253,Koch Institute for Integrative Cancer Research At MIT,US,0.54,COMMON TERMS,False,,https://ror.org/01xd6q208,"[{'type': 'website', 'value': 'https://ki.mit.edu'}, {'type': 'wikipedia', 'value': 'https://en.wikipedia.org/wiki/Koch_Institute_for_Integrative_Cancer_Research'}]",['healthcare']
0,National University of Singapore,National University of Singapore,https://openalex.org/I165932596,National University of Singapore,SG,1.0,EXACT,True,1905.0,https://ror.org/01tgyzw49,"[{'type': 'website', 'value': 'http://www.nus.edu.sg/'}, {'type': 'wikipedia', 'value': 'http://en.wikipedia.org/wiki/National_University_of_Singapore'}]","['education', 'funder']"
0,National Bureau of Economic Research,National Bureau of Economic Research,https://openalex.org/I1321305853,National Bureau of Economic Research,US,1.0,EXACT,True,1920.0,https://ror.org/04grmx538,"[{'type': 'website', 'value': 'http://www.nber.org/'}, {'type': 'wikipedia', 'value': 'https://en.wikipedia.org/wiki/National_Bureau_of_Economic_Research'}]","['funder', 'nonprofit']"
0,Northwestern University,Northwestern University,https://openalex.org/I111979921,Northwestern University,US,1.0,EXACT,True,1851.0,https://ror.org/000e0be47,"[{'type': 'website', 'value': 'http://www.northwestern.edu/'}, {'type': 'wikipedia', 'value': 'http://en.wikipedia.org/wiki/Northwestern_University'}]","['education', 'funder']"
0,New York University,New York University,https://openalex.org/I57206974,New York University,US,1.0,EXACT,True,1831.0,https://ror.org/0190ak572,"[{'type': 'website', 'value': 'https://www.nyu.edu'}, {'type': 'wikipedia', 'value': 'http://en.wikipedia.org/wiki/New_York_University'}]","['education', 'funder']"
0,Princeton University,Princeton University,https://openalex.org/I20089843,Princeton University,US,1.0,EXACT,True,1746.0,https://ror.org/00hx57361,"[{'type': 'website', 'value': 'https://www.princeton.edu'}, {'type': 'wikipedia', 'value': 'http://en.wikipedia.org/wiki/Princeton_University'}]","['education', 'funder']"
0,Stanford University,Stanford University,https://openalex.org/I97018004,Stanford University,US,1.0,EXACT,True,1891.0,https://ror.org/00f54p054,"[{'type': 'website', 'value': 'https://www.stanford.edu'}, {'type': 'wikipedia', 'value': 'http://en.wikipedia.org/wiki/Stanford_University'}]","['education', 'funder']"
0,Texas A&M University College Station,Texas A&M University College Station,https://openalex.org/I91045830,Texas A&M University,US,1.0,COMMON TERMS,True,1876.0,https://ror.org/01f5ytq51,"[{'type': 'website', 'value': 'https://www.tamu.edu/'}, {'type': 'wikipedia', 'value': 'http://en.wikipedia.org/wiki/Texas_A%26M_University'}]","['education', 'funder']"
0,University of California Berkeley,University of California Berkeley,https://openalex.org/I95457486,"University of California, Berkeley",US,1.0,EXACT,True,1868.0,https://ror.org/01an7q238,"[{'type': 'website', 'value': 'https://www.berkeley.edu'}, {'type': 'wikipedia', 'value': 'http://en.wikipedia.org/wiki/University_of_California,_Berkeley'}]","['education', 'funder']"
0,University of California Los Angeles,University of California Los Angeles,https://openalex.org/I161318765,"University of California, Los Angeles",US,1.0,EXACT,True,1919.0,https://ror.org/046rm7j60,"[{'type': 'website', 'value': 'https://www.ucla.edu'}, {'type': 'wikipedia', 'value': 'http://en.wikipedia.org/wiki/University_of_California,_Los_Angeles'}]","['education', 'funder']"
0,University of California San Diego,University of California San Diego,https://openalex.org/I36258959,University of California San Diego,US,1.0,EXACT,True,1960.0,https://ror.org/0168r3w48,"[{'type': 'website', 'value': 'https://ucsd.edu'}, {'type': 'wikipedia', 'value': 'http://en.wikipedia.org/wiki/University_of_California,_San_Diego'}]","['education', 'funder']"
0,University of Cambridge,University of Cambridge,https://openalex.org/I241749,University of Cambridge,GB,1.0,EXACT,True,1209.0,https://ror.org/013meh722,"[{'type': 'website', 'value': 'https://www.cam.ac.uk'}, {'type': 'wikipedia', 'value': 'http://en.wikipedia.org/wiki/University_of_Cambridge'}]","['education', 'funder']"
0,University of Chicago,University of Chicago,https://openalex.org/I40347166,University of Chicago,US,1.0,EXACT,True,1890.0,https://ror.org/024mw5h28,"[{'type': 'website', 'value': 'https://www.uchicago.edu'}, {'type': 'wikipedia', 'value': 'http://en.wikipedia.org/wiki/University_of_Chicago'}]","['education', 'funder']"
0,University of Michigan,University of Michigan,https://openalex.org/I27837315,University of Michigan,US,1.0,EXACT,True,1817.0,https://ror.org/00jmfr291,"[{'type': 'website', 'value': 'https://www.umich.edu'}, {'type': 'wikipedia', 'value': 'http://en.wikipedia.org/wiki/University_of_Michigan'}]","['education', 'funder']"
0,University of Pennsylvania,University of Pennsylvania,https://openalex.org/I79576946,University of Pennsylvania,US,1.0,EXACT,True,1740.0,https://ror.org/00b30xv10,"[{'type': 'website', 'value': 'https://www.upenn.edu'}, {'type': 'wikipedia', 'value': 'http://en.wikipedia.org/wiki/University_of_Pennsylvania'}]","['education', 'funder']"
0,Washington University (WUSTL),University of Washington,https://openalex.org/I201448701,University of Washington,US,1.0,HEURISTICS,True,1861.0,https://ror.org/00cvxb145,"[{'type': 'website', 'value': 'https://www.washington.edu'}, {'type': 'wikipedia', 'value': 'http://en.wikipedia.org/wiki/University_of_Washington'}]","['education', 'funder']"
0,Yale University,Yale University,https://openalex.org/I32971472,Yale University,US,1.0,EXACT,True,1701.0,https://ror.org/03v76x132,"[{'type': 'website', 'value': 'https://www.yale.edu'}, {'type': 'wikipedia', 'value': 'http://en.wikipedia.org/wiki/Yale_University'}]","['education', 'funder']"
0,Bocconi University,Bocconi University,https://openalex.org/I71209653,Bocconi University,IT,1.0,EXACT,True,1902.0,https://ror.org/05crjpb27,"[{'type': 'website', 'value': 'https://www.unibocconi.it'}, {'type': 'wikipedia', 'value': 'http://en.wikipedia.org/wiki/Bocconi_University'}]","['education', 'funder']"
0,Boston University,Boston University,https://openalex.org/I111088046,Boston University,US,1.0,EXACT,True,1839.0,https://ror.org/05qwgg493,"[{'type': 'website', 'value': 'https://www.bu.edu'}, {'type': 'wikipedia', 'value': 'http://en.wikipedia.org/wiki/Boston_University'}]","['education', 'funder']"
0,Cornell University,Cornell University,https://openalex.org/I205783295,Cornell University,US,1.0,EXACT,True,1865.0,https://ror.org/05bnh6r87,"[{'type': 'website', 'value': 'https://www.cornell.edu'}, {'type': 'wikipedia', 'value': 'http://en.wikipedia.org/wiki/Cornell_University'}]","['education', 'funder']"
0,Duke University,Duke University,https://openalex.org/I170897317,Duke University,US,1.0,EXACT,True,1838.0,https://ror.org/00py81415,"[{'type': 'website', 'value': 'https://duke.edu'}, {'type': 'wikipedia', 'value': 'http://en.wikipedia.org/wiki/Duke_University'}]","['education', 'funder']"
0,Imperial College London,Imperial College London,https://openalex.org/I47508984,Imperial College London,GB,1.0,EXACT,True,1907.0,https://ror.org/041kmwe10,"[{'type': 'website', 'value': 'https://www.imperial.ac.uk'}, {'type': 'wikipedia', 'value': 'http://en.wikipedia.org/wiki/Imperial_College_London'}]","['education', 'funder']"
0,Beijing Jiaotong University,Beijing Jiaotong University,https://openalex.org/I21193070,Beijing Jiaotong University,CN,1.0,EXACT,True,1896.0,https://ror.org/01yj56c84,"[{'type': 'website', 'value': 'http://en.njtu.edu.cn/'}, {'type': 'wikipedia', 'value': 'http://en.wikipedia.org/wiki/Beijing_Jiaotong_University'}]","['education', 'funder']"
0,London Business School,London Business School,https://openalex.org/I61544103,London Business School,GB,1.0,EXACT,True,1964.0,https://ror.org/001c2sn75,"[{'type': 'website', 'value': 'https://www.london.edu/'}, {'type': 'wikipedia', 'value': 'http://en.wikipedia.org/wiki/London_Business_School'}]","['education', 'funder']"
0,Maastricht University,Maastricht University,https://openalex.org/I34352273,Maastricht University,NL,1.0,EXACT,True,1976.0,https://ror.org/02jz4aj89,"[{'type': 'website', 'value': 'https://www.maastrichtuniversity.nl'}, {'type': 'wikipedia', 'value': 'http://en.wikipedia.org/wiki/Maastricht_University'}]","['education', 'funder']"
0,Michigan State University,Michigan State University,https://openalex.org/I87216513,Michigan State University,US,1.0,EXACT,True,1855.0,https://ror.org/05hs6h993,"[{'type': 'website', 'value': 'https://msu.edu/'}, {'type': 'wikipedia', 'value': 'http://en.wikipedia.org/wiki/Michigan_State_University'}]","['education', 'funder']"
0,Monash University,Monash University,https://openalex.org/I56590836,Monash University,AU,1.0,EXACT,True,1958.0,https://ror.org/02bfwt286,"[{'type': 'website', 'value': 'https://www.monash.edu'}, {'type': 'wikipedia', 'value': 'http://en.wikipedia.org/wiki/Monash_University'}]","['education', 'funder']"
0,Montpellier Business School,Montpellier Business School,https://openalex.org/I4210131537,Montpellier Business School,FR,1.0,EXACT,True,1897.0,https://ror.org/037tw3m02,"[{'type': 'website', 'value': 'http://www.montpellier-bs.com/'}, {'type': 'wikipedia', 'value': 'https://en.wikipedia.org/wiki/Groupe_Sup_de_Co_Montpellier_Business_School'}]",['education']
0,University of Alberta,University of Alberta,https://openalex.org/I154425047,University of Alberta,CA,1.0,EXACT,True,1908.0,https://ror.org/0160cpw27,"[{'type': 'website', 'value': 'https://www.ualberta.ca'}, {'type': 'wikipedia', 'value': 'http://en.wikipedia.org/wiki/University_of_Alberta'}]","['education', 'funder']"
0,University of Bonn,University of Bonn,https://openalex.org/I135140700,University of Bonn,DE,1.0,EXACT,True,1818.0,https://ror.org/041nas322,"[{'type': 'website', 'value': 'https://www.uni-bonn.de'}, {'type': 'wikipedia', 'value': 'http://en.wikipedia.org/wiki/University_of_Bonn'}]","['education', 'funder']"
0,University of Groningen,University of Groningen,https://openalex.org/I169381384,University of Groningen,NL,1.0,EXACT,True,1614.0,https://ror.org/012p63287,"[{'type': 'website', 'value': 'https://www.rug.nl'}, {'type': 'wikipedia', 'value': 'http://en.wikipedia.org/wiki/University_of_Groningen'}]","['education', 'funder']"
0,University of Hong Kong,University of Hong Kong,https://openalex.org/I889458895,University of Hong Kong,HK,1.0,EXACT,True,1911.0,https://ror.org/02zhqgq86,"[{'type': 'website', 'value': 'https://www.hku.hk'}, {'type': 'wikipedia', 'value': 'http://en.wikipedia.org/wiki/University_of_Hong_Kong'}]","['education', 'funder']"
0,University of Maryland College Park,University of Maryland College Park,https://openalex.org/I66946132,"University of Maryland, College Park",US,0.97,PHRASE,True,1856.0,https://ror.org/047s2c258,"[{'type': 'website', 'value': 'https://umd.edu'}, {'type': 'wikipedia', 'value': 'http://en.wikipedia.org/wiki/University_of_Maryland,_College_Park'}]","['education', 'funder']"
1,University of Maryland College Park,University of Maryland,https://openalex.org/I1317227900,University System of Maryland,US,0.86,HEURISTICS,False,1988.0,https://ror.org/01r0c1p88,"[{'type': 'website', 'value': 'https://www.usmd.edu'}, {'type': 'wikipedia', 'value': 'http://en.wikipedia.org/wiki/University_System_of_Maryland'}]","['education', 'funder']"
2,University of Maryland College Park,Maryland University,https://openalex.org/I165556055,Loyola University Maryland,US,0.84,HEURISTICS,False,1852.0,https://ror.org/01by1wp65,"[{'type': 'website', 'value': 'https://www.loyola.edu'}, {'type': 'wikipedia', 'value': 'http://en.wikipedia.org/wiki/Loyola_University_Maryland'}]",['education']
0,University of Minnesota Twin Cities,University of Minnesota Twin Cities,https://openalex.org/I130238516,University of Minnesota,US,1.0,EXACT,True,1851.0,https://ror.org/017zqws13,"[{'type': 'website', 'value': 'https://twin-cities.umn.edu'}, {'type': 'wikipedia', 'value': 'http://en.wikipedia.org/wiki/University_of_Minnesota'}]","['education', 'funder']"
0,University of Oxford,University of Oxford,https://openalex.org/I40120149,University of Oxford,GB,1.0,EXACT,True,1096.0,https://ror.org/052gg0110,"[{'type': 'website', 'value': 'https://www.ox.ac.uk'}, {'type': 'wikipedia', 'value': 'http://en.wikipedia.org/wiki/University_of_Oxford'}]","['education', 'funder']"
0,University of South Carolina Columbia,University of South Carolina Columbia,https://openalex.org/I153297377,Medical University of South Carolina,US,0.88,COMMON TERMS,False,1824.0,https://ror.org/012jban78,"[{'type': 'website', 'value': 'https://musc.edu'}, {'type': 'wikipedia', 'value': 'https://en.wikipedia.org/wiki/Medical_University_of_South_Carolina'}]","['education', 'funder']"
1,University of South Carolina Columbia,University of South Carolina Columbia,https://openalex.org/I155781252,University of South Carolina,US,0.86,FUZZY,False,1801.0,https://ror.org/02b6qw903,"[{'type': 'website', 'value': 'http://www.sc.edu/'}, {'type': 'wikipedia', 'value': 'http://en.wikipedia.org/wiki/University_of_South_Carolina'}]","['education', 'funder']"
2,University of South Carolina Columbia,University of South Carolina Columbia,https://openalex.org/I9146737,University of South Carolina Lancaster,US,0.83,COMMON TERMS,False,1959.0,https://ror.org/0289me815,"[{'type': 'website', 'value': 'http://usclancaster.sc.edu/'}, {'type': 'wikipedia', 'value': 'https://en.wikipedia.org/wiki/University_of_South_Carolina_Lancaster'}]",['education']
0,University of Southern California,University of Southern California,https://openalex.org/I1174212,University of Southern California,US,1.0,EXACT,True,1880.0,https://ror.org/03taz7m60,"[{'type': 'website', 'value': 'https://usc.edu'}, {'type': 'wikipedia', 'value': 'http://en.wikipedia.org/wiki/University_of_Southern_California'}]","['education', 'funder']"
0,University of Toronto,University of Toronto,https://openalex.org/I185261750,University of Toronto,CA,1.0,EXACT,True,1827.0,https://ror.org/03dbr7087,"[{'type': 'website', 'value': 'https://www.utoronto.ca'}, {'type': 'wikipedia', 'value': 'https://en.wikipedia.org/wiki/University_of_Toronto'}]","['education', 'funder']"
0,Universite Toulouse 1 Capitole,Universite Toulouse 1 Capitole,https://openalex.org/I4405259414,Université Toulouse Capitole,FR,0.97,COMMON TERMS,False,2022.0,https://ror.org/027ankh97,"[{'type': 'website', 'value': 'https://www.ut-capitole.fr'}, {'type': 'wikipedia', 'value': 'https://fr.wikipedia.org/wiki/Universit%C3%A9_Toulouse-Capitole'}]",['education']
1,Universite Toulouse 1 Capitole,Universite Toulouse 1 Capitole,https://openalex.org/I4405258862,Université de Toulouse,FR,0.81,COMMON TERMS,False,2024.0,https://ror.org/01ahyrz84,"[{'type': 'website', 'value': 'https://www.univ-tlse3.fr'}, {'type': 'wikipedia', 'value': 'https://en.wikipedia.org/wiki/University_of_Toulouse'}]","['education', 'funder']"
2,Universite Toulouse 1 Capitole,Universite Toulouse 1 Capitole,https://openalex.org/I134560555,Université Toulouse III - Paul Sabatier,FR,0.79,COMMON TERMS,False,1229.0,https://ror.org/02v6kpv12,"[{'type': 'website', 'value': 'http://www.univ-tlse3.fr/'}, {'type': 'wikipedia', 'value': 'http://en.wikipedia.org/wiki/Paul_Sabatier_University'}]","['education', 'funder']"
0,University of Zurich,University of Zurich,https://openalex.org/I202697423,University of Zurich,CH,1.0,EXACT,True,1833.0,https://ror.org/02crff812,"[{'type': 'website', 'value': 'https://uzh.ch/de.html'}, {'type': 'wikipedia', 'value': 'http://en.wikipedia.org/wiki/University_of_Zurich'}]","['education', 'funder']"
0,Western University (University of Western Ontario),Western University,https://openalex.org/I125749732,Western University,CA,1.0,HEURISTICS,True,1878.0,https://ror.org/02grkyz14,"[{'type': 'website', 'value': 'https://uwo.ca'}, {'type': 'wikipedia', 'value': 'http://en.wikipedia.org/wiki/University_of_Western_Ontario'}]","['education', 'funder']"
0,York University - Canada,York University,https://openalex.org/I192455969,York University,CA,1.0,HEURISTICS,True,1959.0,https://ror.org/05fq50484,"[{'type': 'website', 'value': 'https://www.yorku.ca'}, {'type': 'wikipedia', 'value': 'http://en.wikipedia.org/wiki/York_University'}]","['education', 'funder']"
0,Aarhus University,Aarhus University,https://openalex.org/I204337017,Aarhus University,DK,1.0,EXACT,True,1928.0,https://ror.org/01aj84f44,"[{'type': 'website', 'value': 'https://www.au.dk'}, {'type': 'wikipedia', 'value': 'http://en.wikipedia.org/wiki/Aarhus_University'}]","['education', 'funder']"
0,University of Erlangen Nuremberg,University of Erlangen Nuremberg,https://openalex.org/I181369854,Friedrich-Alexander-Universität Erlangen-Nürnberg,DE,1.0,EXACT,True,1742.0,https://ror.org/00f7hpc57,"[{'type': 'website', 'value': 'https://www.fau.de/'}, {'type': 'wikipedia', 'value': 'http://en.wikipedia.org/wiki/University_of_Erlangen-Nuremberg'}]","['education', 'funder']"
0,Boston College,Boston College,https://openalex.org/I103531236,Boston College,US,1.0,EXACT,True,1863.0,https://ror.org/02n2fzt79,"[{'type': 'website', 'value': 'https://www.bc.edu'}, {'type': 'wikipedia', 'value': 'http://en.wikipedia.org/wiki/Boston_College'}]","['education', 'funder']"
0,Carnegie Mellon University,Carnegie Mellon University,https://openalex.org/I74973139,Carnegie Mellon University,US,1.0,EXACT,True,1900.0,https://ror.org/05x2bcf33,"[{'type': 'website', 'value': 'https://www.cmu.edu'}, {'type': 'wikipedia', 'value': 'http://en.wikipedia.org/wiki/Carnegie_Mellon_University'}]","['education', 'funder']"
0,Centre for Economic Policy Research - UK,Centre for Economic Policy Research UK,https://openalex.org/I4210140326,Centre for Economic Policy Research,GB,0.96,COMMON TERMS,True,1983.0,https://ror.org/04jzmdh37,"[{'type': 'website', 'value': 'http://www.cepr.org/'}, {'type': 'wikipedia', 'value': 'http://en.wikipedia.org/wiki/Centre_for_Economic_Policy_Research'}]","['funder', 'nonprofit']"
1,Centre for Economic Policy Research - UK,Centre for Economic Policy Research UK,https://openalex.org/I4392738207,Centre for Climate Change Economics and Policy,,0.62,COMMON TERMS,False,2008.0,https://ror.org/03tsg3y65,"[{'type': 'website', 'value': 'https://www.cccep.ac.uk'}, {'type': 'wikipedia', 'value': 'https://en.wikipedia.org/wiki/Centre_for_Climate_Change_Economics_and_Policy'}]","['facility', 'funder']"
0,Chinese University of Hong Kong,Chinese University of Hong Kong,https://openalex.org/I177725633,Chinese University of Hong Kong,HK,1.0,EXACT,True,1963.0,https://ror.org/00t33hh48,"[{'type': 'website', 'value': 'http://www.cuhk.edu.hk/english/index.html'}, {'type': 'wikipedia', 'value': 'http://en.wikipedia.org/wiki/Chinese_University_of_Hong_Kong'}]","['education', 'funder']"
0,Deakin University,Deakin University,https://openalex.org/I149704539,Deakin University,AU,1.0,EXACT,True,1974.0,https://ror.org/02czsnj07,"[{'type': 'website', 'value': 'https://www.deakin.edu.au'}, {'type': 'wikipedia', 'value': 'http://en.wikipedia.org/wiki/Deakin_University'}]","['education', 'funder']"
0,George Mason University,George Mason University,https://openalex.org/I162714631,George Mason University,US,1.0,EXACT,True,1957.0,https://ror.org/02jqj7156,"[{'type': 'website', 'value': 'https://www.gmu.edu/'}, {'type': 'wikipedia', 'value': 'http://en.wikipedia.org/wiki/George_Mason_University'}]","['education', 'funder']"
0,George Washington University,George Washington University,https://openalex.org/I193531525,George Washington University,US,1.0,EXACT,True,1821.0,https://ror.org/00y4zzh67,"[{'type': 'website', 'value': 'http://www.gwu.edu/'}, {'type': 'wikipedia', 'value': 'http://en.wikipedia.org/wiki/George_Washington_University'}]","['education', 'funder']"
0,Georgia State University,Georgia State University,https://openalex.org/I181565077,Georgia State University,US,1.0,EXACT,True,1913.0,https://ror.org/03qt6ba18,"[{'type': 'website', 'value': 'https://www.gsu.edu'}, {'type': 'wikipedia', 'value': 'http://en.wikipedia.org/wiki/Georgia_State_University'}]","['education', 'funder']"
0,University of Hamburg,University of Hamburg,https://openalex.org/I159176309,Universität Hamburg,DE,1.0,EXACT,True,1919.0,https://ror.org/00g30e956,"[{'type': 'website', 'value': 'http://www.uni-hamburg.de'}, {'type': 'wikipedia', 'value': 'http://en.wikipedia.org/wiki/University_of_Hamburg'}]","['education', 'funder']"
0,Kobe University,Kobe University,https://openalex.org/I65837984,Kobe University,JP,1.0,EXACT,True,1949.0,https://ror.org/03tgsfw79,"[{'type': 'website', 'value': 'http://www.kobe-u.ac.jp/en/alumni/index.html'}, {'type': 'wikipedia', 'value': 'http://en.wikipedia.org/wiki/Kobe_University'}]","['education', 'funder']"
0,Hong Kong Polytechnic University,Hong Kong Polytechnic University,https://openalex.org/I14243506,Hong Kong Polytechnic University,HK,1.0,EXACT,True,1937.0,https://ror.org/0030zas98,"[{'type': 'website', 'value': 'http://www.polyu.edu.hk/web/en/home/index.html'}, {'type': 'wikipedia', 'value': 'http://en.wikipedia.org/wiki/Hong_Kong_Polytechnic_University'}]","['education', 'funder']"
0,Hong Kong University of Science & Technology,Hong Kong University of Science & Technology,https://openalex.org/I200769079,Hong Kong University of Science and Technology,HK,1.0,PHRASE,True,1991.0,https://ror.org/00q4vv597,"[{'type': 'website', 'value': 'https://hkust.edu.hk'}, {'type': 'wikipedia', 'value': 'http://en.wikipedia.org/wiki/Hong_Kong_University_of_Science_and_Technology'}]","['education', 'funder']"
0,IZA Institute Labor Economics,IZA Institute Labor Economics,https://openalex.org/I197518295,IZA - Institute of Labor Economics,DE,0.95,COMMON TERMS,True,1998.0,https://ror.org/029s44460,"[{'type': 'website', 'value': 'https://www.iza.org/'}, {'type': 'wikipedia', 'value': 'https://en.wikipedia.org/wiki/IZA_Institute_of_Labor_Economics'}]","['funder', 'nonprofit']"
1,IZA Institute Labor Economics,IZA Institute Labor Economics,https://openalex.org/I4210149697,Institute of Economics,LV,0.82,FUZZY,False,1946.0,https://ror.org/04r837x41,"[{'type': 'website', 'value': 'http://www.ei.lza.lv/'}]",['nonprofit']
2,IZA Institute Labor Economics,IZA Institute Labor Economics,https://openalex.org/I52700163,Levy Economics Institute of Bard College,US,0.79,COMMON TERMS,False,1986.0,https://ror.org/04w441351,"[{'type': 'website', 'value': 'http://www.levyinstitute.org/'}, {'type': 'wikipedia', 'value': 'https://en.wikipedia.org/wiki/Levy_Economics_Institute'}]",['nonprofit']
0,Northeastern University,Northeastern University,https://openalex.org/I87182695,Universidad del Noreste,MX,1.0,EXACT,True,1970.0,https://ror.org/02ahky613,"[{'type': 'website', 'value': 'http://www.une.edu.mx/'}, {'type': 'wikipedia', 'value': 'http://en.wikipedia.org/wiki/Universidad_del_Noreste'}]",['education']
0,Ohio State University,Ohio State University,https://openalex.org/I52357470,The Ohio State University,US,1.0,EXACT,True,1870.0,https://ror.org/00rs6vg23,"[{'type': 'website', 'value': 'http://www.osu.edu/'}, {'type': 'wikipedia', 'value': 'http://en.wikipedia.org/wiki/Ohio_State_University'}]","['education', 'funder']"
0,Purdue University,Purdue University,https://openalex.org/I219193219,Purdue University West Lafayette,US,0.86,PHRASE,False,1869.0,https://ror.org/02dqehb95,"[{'type': 'website', 'value': 'http://www.purdue.edu/'}, {'type': 'wikipedia', 'value': 'http://en.wikipedia.org/wiki/Purdue_University'}]","['education', 'funder']"
1,Purdue University,Purdue University,https://openalex.org/I2801333002,Purdue University System,US,0.83,PHRASE,False,1869.0,https://ror.org/05p8z3f47,"[{'type': 'website', 'value': 'http://www.purdue.edu/'}, {'type': 'wikipedia', 'value': 'http://en.wikipedia.org/wiki/Purdue_University_system'}]","['education', 'funder']"
2,Purdue University,Purdue University,https://openalex.org/I117015748,Purdue University Northwest,US,0.81,PHRASE,False,2016.0,https://ror.org/04keq6987,"[{'type': 'website', 'value': 'https://www.pnw.edu/'}, {'type': 'wikipedia', 'value': 'https://en.wikipedia.org/wiki/Purdue_University_Northwest'}]",['education']
