journal,source_id,journal_name,ISSN,verified
ENTREPRENEURSHIP THEORY AND PRACTICE,https://openalex.org/S187626162,Entrepreneurship Theory and Practice,1042-2587,True
ORGANIZATIONAL RESEARCH METHODS,https://openalex.org/S133599136,Organizational Research Methods,1094-4281,True
JOURNAL OF THE EUROPEAN ECONOMIC ASSOCIATION,https://openalex.org/S165087003,Journal of the European Economic Association,1542-4766,True
JOURNAL OF PUBLIC ECONOMICS,https://openalex.org/S199447588,Journal of Public Economics,0047-2727,True
JOURNAL OF INTERNATIONAL BUSINESS STUDIES,https://openalex.org/S3034372847,Agricultural and Food Economics,2193-7532,True
JOURNAL OF MONETARY ECONOMICS,https://openalex.org/S6711363,Journal of Monetary Economics,0304-3932,True
JOURNAL OF PRODUCT INNOVATION MANAGEMENT,https://openalex.org/S93630570,Journal of Product Innovation Management,0737-6782,True
ORGANIZATION STUDIES,https://openalex.org/S4210235149,Frontiers in Sustainable Cities,2624-9634,True
JOURNAL OF FINANCIAL INTERMEDIATION,https://openalex.org/S5984737,Journal of Financial Intermediation,1042-9573,True
REVIEW OF FINANCE,https://openalex.org/S4210174142,Urban Science,2413-8851,True
INTERNATIONAL JOURNAL OF MANAGEMENT REVIEWS,https://openalex.org/S87745625,International Journal of Management Reviews,1460-8545,True
JOURNAL OF SERVICE RESEARCH,https://openalex.org/S125608309,Journal of Service Research,1094-6705,True
GLOBAL STRATEGY JOURNAL,https://openalex.org/S2765008422,Global Strategy Journal,2042-5791,True
IMF ECONOMIC REVIEW,https://openalex.org/S4210235745,Istanbul Business Research,2630-5488,True
MANAGEMENT SCIENCE,https://openalex.org/S33323087,Management Science,0025-1909,True
QUANTITATIVE ECONOMICS,https://openalex.org/S156003414,Quantitative Economics,1759-7323,True
THEORETICAL ECONOMICS,https://openalex.org/S10997704,Theoretical Economics,1933-6837,True
JOURNAL OF WORLD BUSINESS,https://openalex.org/S4210234749,JMIR Formative Research,2561-326X,True
JOURNAL OF MARKETING RESEARCH,https://openalex.org/S119950638,Journal of Marketing Research,0022-2437,True
REVIEW OF ACCOUNTING STUDIES,https://openalex.org/S11853582,Review of Accounting Studies,1380-6653,True
MARKETING SCIENCE,https://openalex.org/S2765002792,International Journal of Health Policy and Management,2322-5939,True
STRATEGIC ORGANIZATION,https://openalex.org/S4210220774,People and Nature,2575-8314,True
ACCOUNTING REVIEW,https://openalex.org/S4210214101,Healthcare,2227-9032,True
CALIFORNIA MANAGEMENT REVIEW,https://openalex.org/S172782825,California Management Review,0008-1256,True
JOURNAL OF INTERACTIVE MARKETING,https://openalex.org/S4210195270,Implementation Science Communications,2662-2211,True
JOURNAL OF HUMAN RESOURCES,https://openalex.org/S4210195270,Implementation Science Communications,2662-2211,True
LONG RANGE PLANNING,https://openalex.org/S4210198760,Revista Latinoamericana de Población,2393-6401,True
ANNUAL REVIEW OF FINANCIAL ECONOMICS,https://openalex.org/S4210170931,Annual Review of Financial Economics,1941-1367,True
JOURNAL OF INTERNATIONAL ECONOMICS,https://openalex.org/S2765002792,International Journal of Health Policy and Management,2322-5939,True
JOURNAL OF RETAILING,https://openalex.org/S4210235152,Frontiers in Human Dynamics,2673-2726,True
PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,,,,False
INTERNATIONAL BUSINESS REVIEW,https://openalex.org/S23343376,International Business Review,0969-5931,True
ACADEMY OF MANAGEMENT LEARNING & EDUCATION,https://openalex.org/S4210231449,Plants People Planet,2572-2611,True
RAND JOURNAL OF ECONOMICS,https://openalex.org/S34139249,The RAND Journal of Economics,0741-6261,True
JOURNAL OF CONSUMER RESEARCH,https://openalex.org/S59607649,Latin American Research Review,1542-4278,True
AMERICAN ECONOMIC JOURNAL-MICROECONOMICS,https://openalex.org/S4210178999,Ecologies,2673-4133,True
JOURNAL OF FINANCIAL AND QUANTITATIVE ANALYSIS,https://openalex.org/S25370267,Journal of Policy Analysis and Management,1520-6688,True
JOURNAL OF ECONOMIC GROWTH,https://openalex.org/S181171746,Journal of Economic Growth,1381-4338,True
JOURNAL OF SUPPLY CHAIN MANAGEMENT,https://openalex.org/S4387290458,Health Affairs Scholar,2976-5390,True
JOURNAL OF URBAN ECONOMICS,https://openalex.org/S4210214101,Healthcare,2227-9032,True
INTERNATIONAL JOURNAL OF RESEARCH IN MARKETING,https://openalex.org/S11810700,International Journal of Research in Marketing,0167-8116,True
BUSINESS & SOCIETY,https://openalex.org/S4210170686,Frontiers in Digital Health,2673-253X,True
ECONOMIC JOURNAL,https://openalex.org/S3035070908,Genus,2035-5556,True
FAMILY BUSINESS REVIEW,https://openalex.org/S3035751226,Journal of Patient-Reported Outcomes,2509-8020,True
JOURNAL OF OPERATIONS MANAGEMENT,https://openalex.org/S142306484,Journal of Operations Management,0272-6963,True
JOURNAL OF INTERNATIONAL MANAGEMENT,https://openalex.org/S960608072,Journal of International Management,1075-4253,True
BRITISH JOURNAL OF MANAGEMENT,https://openalex.org/S2764962273,Risk Management and Healthcare Policy,1179-1594,True
INTERNATIONAL ECONOMIC REVIEW,https://openalex.org/S179979277,International Economic Review,0020-6598,True
JOURNAL OF LAW & ECONOMICS,https://openalex.org/S4220651773,Advances in Bamboo Science,2773-1391,True
REVIEW OF ECONOMIC DYNAMICS,https://openalex.org/S4210179146,Business Strategy & Development,2572-3170,True
ENTREPRENEURSHIP AND REGIONAL DEVELOPMENT,https://openalex.org/S4210178346,Frontiers in Forests and Global Change,2624-893X,True
HUMAN RELATIONS,https://openalex.org/S4210209003,The Journal of Race Ethnicity and Politics,2056-6085,True
HUMAN RESOURCE MANAGEMENT REVIEW,https://openalex.org/S185253248,Human Resource Management Review,1053-4822,True
EXPLORATIONS IN ECONOMIC HISTORY,https://openalex.org/S4210219734,National Accounting Review,2689-3010,True
HUMAN RESOURCE MANAGEMENT,https://openalex.org/S2738395297,Journal of ETA Maritime Science,2148-9386,True
JOURNAL OF ECONOMIC THEORY,https://openalex.org/S4210225048,The Lancet Regional Health - Western Pacific,2666-6065,True
ORGANIZATIONAL BEHAVIOR AND HUMAN DECISION PROCESSES,https://openalex.org/S64744539,Organizational Behavior and Human Decision Processes,0749-5978,True
JOURNAL OF DEVELOPMENT ECONOMICS,https://openalex.org/S4210174142,Urban Science,2413-8851,True
JOURNAL OF CORPORATE FINANCE,https://openalex.org/S77368557,Health and Quality of Life Outcomes,1477-7525,True
JOURNAL OF INTERNATIONAL MARKETING,https://openalex.org/S4210223291,npj Urban Sustainability,2661-8001,True
BUSINESS ETHICS QUARTERLY,https://openalex.org/S9702615,Business Ethics Quarterly,1052-150X,True
CONTEMPORARY ACCOUNTING RESEARCH,https://openalex.org/S3034372847,Agricultural and Food Economics,2193-7532,True
EXPERIMENTAL ECONOMICS,https://openalex.org/S181493553,Experimental Economics,1386-4157,True
JOURNAL OF PUBLIC POLICY & MARKETING,https://openalex.org/S37376905,Journal of Public Policy & Marketing,0743-9156,True
JOURNAL OF ECONOMIC HISTORY,https://openalex.org/S4210212205,Frontiers in Sustainability,2673-4524,True
INTERNATIONAL SMALL BUSINESS JOURNAL-RESEARCHING ENTREPRENEURSHIP,https://openalex.org/S175935889,Mammal Review,1365-2907,True
JOURNAL OF FAMILY BUSINESS STRATEGY,https://openalex.org/S4210212205,Frontiers in Sustainability,2673-4524,True
LEADERSHIP QUARTERLY,https://openalex.org/S75242794,Human Resources for Health,1478-4491,True
CORPORATE GOVERNANCE-AN INTERNATIONAL REVIEW,https://openalex.org/S3035070908,Genus,2035-5556,True
JOURNAL OF THE ASSOCIATION OF ENVIRONMENTAL AND RESOURCE ECONOMISTS,https://openalex.org/S4210181393,Oxford Open Energy,2752-5082,True
BUSINESS HORIZONS,https://openalex.org/S113237667,Business Horizons,0007-6813,True
RESEARCH IN ORGANIZATIONAL BEHAVIOR,https://openalex.org/S55099511,Research in Organizational Behavior,0191-3085,True
ACCOUNTING ORGANIZATIONS AND SOCIETY,https://openalex.org/S77368557,Health and Quality of Life Outcomes,1477-7525,True
JOURNAL OF MANAGEMENT INQUIRY,https://openalex.org/S17986141,Journal of Management Inquiry,1056-4926,True
MANAGEMENT INTERNATIONAL REVIEW,https://openalex.org/S4210205517,MDM Policy & Practice,2381-4683,True
INTERNATIONAL JOURNAL OF OPERATIONS & PRODUCTION MANAGEMENT,https://openalex.org/S4210234749,JMIR Formative Research,2561-326X,True
JOURNAL OF RESEARCH IN INTERACTIVE MARKETING,https://openalex.org/S4210235149,Frontiers in Sustainable Cities,2624-9634,True
ASIA PACIFIC JOURNAL OF MANAGEMENT,https://openalex.org/S4210235149,Frontiers in Sustainable Cities,2624-9634,True
JOURNAL OF SERVICE MANAGEMENT,https://openalex.org/S107183665,Journal of service management,1757-5818,True
GROUP & ORGANIZATION MANAGEMENT,https://openalex.org/S192266589,Group & Organization Management,1059-6011,True
MARKETING LETTERS,https://openalex.org/S175935889,Mammal Review,1365-2907,True
JOURNAL OF ADVERTISING,https://openalex.org/S103311983,Journal of Advertising,0091-3367,True
JOURNAL OF BUSINESS ETHICS,https://openalex.org/S71324801,Forests,1999-4907,True
JOURNAL OF BUSINESS RESEARCH,https://openalex.org/S4210214101,Healthcare,2227-9032,True
JOURNAL OF MONEY CREDIT AND BANKING,https://openalex.org/S2058785,Journal of money credit and banking,0022-2879,True
HARVARD BUSINESS REVIEW,https://openalex.org/S25370267,Journal of Policy Analysis and Management,1520-6688,True
M&SOM-MANUFACTURING & SERVICE OPERATIONS MANAGEMENT,https://openalex.org/S2765002792,International Journal of Health Policy and Management,2322-5939,True
ORGANIZATION,https://openalex.org/S72915307,Organization,1350-5084,True
SMALL BUSINESS ECONOMICS,https://openalex.org/S3035070908,Genus,2035-5556,True
INFORMATION AND ORGANIZATION,https://openalex.org/S35363033,Information and Organization,1471-7727,True
FINANCIAL MANAGEMENT,https://openalex.org/S4306505840,Central and Eastern European Migration Review,2300-1682,True
INTERNATIONAL JOURNAL OF CENTRAL BANKING,https://openalex.org/S175935889,Mammal Review,1365-2907,True
JOURNAL OF LAW ECONOMICS & ORGANIZATION,https://openalex.org/S4210168091,The Journal of Law Economics and Organization,8756-6222,True
JOURNAL OF SMALL BUSINESS MANAGEMENT,https://openalex.org/S2764962273,Risk Management and Healthcare Policy,1179-1594,True
OXFORD REVIEW OF ECONOMIC POLICY,https://openalex.org/S4210231449,Plants People Planet,2572-2611,True
INDUSTRIAL MARKETING MANAGEMENT,https://openalex.org/S4210178346,Frontiers in Forests and Global Change,2624-893X,True
WORLD BANK ECONOMIC REVIEW,https://openalex.org/S2764665705,Asia Pacific Journal of Health Management,2204-3136,True
ECONOMETRICS JOURNAL,https://openalex.org/S4210197217,Arctic Science,2368-7460,True
JOURNAL OF HEALTH ECONOMICS,https://openalex.org/S25370267,Journal of Policy Analysis and Management,1520-6688,True
LABOUR ECONOMICS,https://openalex.org/S3035751226,Journal of Patient-Reported Outcomes,2509-8020,True
REVIEW OF ENVIRONMENTAL ECONOMICS AND POLICY,https://openalex.org/S4210214252,Risks,2227-9091,True
FINANCIAL ANALYSTS JOURNAL,https://openalex.org/S162525099,Financial Analysts Journal,0015-198X,True
HUMAN RESOURCE MANAGEMENT JOURNAL,https://openalex.org/S4210214101,Healthcare,2227-9032,True
JOURNAL OF ECONOMETRICS,https://openalex.org/S2738397068,Land,2073-445X,True
JOURNAL OF SERVICE THEORY AND PRACTICE,https://openalex.org/S4210224898,Journal of Service Theory and Practice,2055-6225,True
MANAGEMENT ACCOUNTING RESEARCH,https://openalex.org/S2738395297,Journal of ETA Maritime Science,2148-9386,True
AMERICAN JOURNAL OF HEALTH ECONOMICS,https://openalex.org/S4210173595,American Journal of Health Economics,2332-3493,True
BUSINESS STRATEGY AND THE ENVIRONMENT,https://openalex.org/S205793605,Business Strategy and the Environment,0964-4733,True
ECONOMIC POLICY,https://openalex.org/S4387286577,JMIR AI,2817-1705,True
JOURNAL OF BUSINESS & ECONOMIC STATISTICS,https://openalex.org/S18095783,Journal of Business and Economic Statistics,0735-0015,True
JOURNAL OF INNOVATION & KNOWLEDGE,https://openalex.org/S4210213052,Frontiers in Climate,2624-9553,True
MULTINATIONAL BUSINESS REVIEW,https://openalex.org/S2764892107,Multinational Business Review,1525-383X,True
QME-QUANTITATIVE MARKETING AND ECONOMICS,https://openalex.org/S4210206015,Quantitative Marketing and Economics,1570-7156,True
EUROPEAN ECONOMIC REVIEW,https://openalex.org/S4210201025,Trees Forests and People,2666-7193,True
FISCAL STUDIES,https://openalex.org/S4210205517,MDM Policy & Practice,2381-4683,True
EUROPEAN MANAGEMENT JOURNAL,https://openalex.org/S105567970,European Management Journal,0263-2373,True
INTERNATIONAL MARKETING REVIEW,https://openalex.org/S4210221150,PLOS Digital Health,2767-3170,True
INTERNATIONAL REVIEW OF FINANCIAL ANALYSIS,https://openalex.org/S145572626,International Review of Financial Analysis,1057-5219,True
ANNUAL REVIEW OF RESOURCE ECONOMICS,https://openalex.org/S76844451,Annual Review of Resource Economics,1941-1340,True
INTERNATIONAL JOURNAL OF ENTREPRENEURIAL BEHAVIOR & RESEARCH,https://openalex.org/S4210214252,Risks,2227-9091,True
JOURNAL OF ECONOMIC SURVEYS,https://openalex.org/S124549413,Journal of Economic Surveys,0950-0804,True
JOURNAL OF RETAILING AND CONSUMER SERVICES,https://openalex.org/S25235501,Journal of Retailing and Consumer Services,0969-6989,True
VENTURE CAPITAL,https://openalex.org/S34941771,Venture Capital,1369-1066,True
GAMES AND ECONOMIC BEHAVIOR,https://openalex.org/S94044085,Games and Economic Behavior,0899-8256,True
MARKETING THEORY,https://openalex.org/S4210236858,Health Policy OPEN,2590-2296,True
NATIONAL TAX JOURNAL,https://openalex.org/S116184629,National Tax Journal,0028-0283,True
R & D MANAGEMENT,https://openalex.org/S43637407,R and D Management,0033-6807,True
JOURNAL OF ECONOMICS & MANAGEMENT STRATEGY,https://openalex.org/S4210180463,Environmental Research Infrastructure and Sustainability,2634-4505,True
NEW TECHNOLOGY WORK AND EMPLOYMENT,https://openalex.org/S175747132,New Technology Work and Employment,0268-1072,True
JOURNAL OF ECONOMIC DYNAMICS & CONTROL,https://openalex.org/S44585919,Journal of Economic Dynamics and Control,0165-1889,True
BRITISH ACCOUNTING REVIEW,https://openalex.org/S4210235152,Frontiers in Human Dynamics,2673-2726,True
SCANDINAVIAN JOURNAL OF MANAGEMENT,https://openalex.org/S4210181393,Oxford Open Energy,2752-5082,True
SUPPLY CHAIN MANAGEMENT-AN INTERNATIONAL JOURNAL,https://openalex.org/S59007373,Supply Chain Management An International Journal,1359-8546,True
JOURNAL OF COMPARATIVE ECONOMICS,https://openalex.org/S138645024,Journal of Comparative Economics,0147-5967,True
JOURNAL OF ENVIRONMENTAL ECONOMICS AND MANAGEMENT,https://openalex.org/S200872515,Journal of Environmental Economics and Management,0095-0696,True
JOURNAL OF MARKETING MANAGEMENT,https://openalex.org/S14291815,Journal of Marketing Management,0267-257X,True
JOURNAL OF APPLIED ECONOMETRICS,https://openalex.org/S2765061010,Global Ecology and Conservation,2351-9894,True
JOURNAL OF BANKING & FINANCE,https://openalex.org/S185874209,BMC Medical Research Methodology,1471-2288,True
JOURNAL OF BUSINESS LOGISTICS,https://openalex.org/S2764665705,Asia Pacific Journal of Health Management,2204-3136,True
EUROPEAN JOURNAL OF MARKETING,https://openalex.org/S89389284,European Journal of Marketing,0309-0566,True
INTERNATIONAL ENTREPRENEURSHIP AND MANAGEMENT JOURNAL,https://openalex.org/S4210207172,FORMATH,2188-5729,True
JOURNAL OF FINANCIAL ECONOMETRICS,https://openalex.org/S207154782,Journal of Financial Econometrics,1479-8409,True
JOURNAL OF FINANCIAL MARKETS,https://openalex.org/S2765002792,International Journal of Health Policy and Management,2322-5939,True
JOURNAL OF PURCHASING AND SUPPLY MANAGEMENT,https://openalex.org/S2898431940,The Journal of Finance and Data Science,2405-9188,True
SERVICE INDUSTRIES JOURNAL,https://openalex.org/S4210237468,JAMIA Open,2574-2531,True
CRITICAL PERSPECTIVES ON ACCOUNTING,https://openalex.org/S4210209003,The Journal of Race Ethnicity and Politics,2056-6085,True
EUROPEAN REVIEW OF ECONOMIC HISTORY,https://openalex.org/S176820844,European Review of Economic History,1361-4916,True
INDUSTRIAL AND CORPORATE CHANGE,https://openalex.org/S2764631794,Journal of Cancer Policy,2213-5383,True
JOURNAL OF SERVICES MARKETING,https://openalex.org/S180851279,Journal of Services Marketing,0887-6045,True
AUDITING-A JOURNAL OF PRACTICE & THEORY,https://openalex.org/S75845752,Auditing A Journal of Practice & Theory,0278-0380,True
INTERNATIONAL JOURNAL OF ADVERTISING,https://openalex.org/S77368557,Health and Quality of Life Outcomes,1477-7525,True
JOURNAL OF ELECTRONIC COMMERCE RESEARCH,https://openalex.org/S2738355984,Administrative Sciences,2076-3387,True
JOURNAL OF RISK AND UNCERTAINTY,https://openalex.org/S4210225048,The Lancet Regional Health - Western Pacific,2666-6065,True
REVIEW OF MANAGERIAL SCIENCE,https://openalex.org/S203071086,Review of Managerial Science,1863-6683,True
INTERNATIONAL JOURNAL OF CONSUMER STUDIES,https://openalex.org/S2596093566,Frontiers in Communication,2297-900X,True
JOURNAL OF DEMOGRAPHIC ECONOMICS,https://openalex.org/S2765002792,International Journal of Health Policy and Management,2322-5939,True
JOURNAL OF POPULATION ECONOMICS,https://openalex.org/S18284184,Journal of Population Economics,0933-1433,True
MANAGEMENT AND ORGANIZATION REVIEW,https://openalex.org/S4210226095,Telemedicine Reports,2692-4366,True
OPERATIONS MANAGEMENT RESEARCH,https://openalex.org/S62905163,Operations Management Research,1936-9735,True
CAMBRIDGE JOURNAL OF REGIONS ECONOMY AND SOCIETY,https://openalex.org/S2596093566,Frontiers in Communication,2297-900X,True
INTERNATIONAL JOURNAL OF PHYSICAL DISTRIBUTION & LOGISTICS MANAGEMENT,https://openalex.org/S41302103,International Journal of Physical Distribution & Logistics Management,0960-0035,True
JOURNAL OF BUSINESS FINANCE & ACCOUNTING,https://openalex.org/S2765002792,International Journal of Health Policy and Management,2322-5939,True
CORPORATE SOCIAL RESPONSIBILITY AND ENVIRONMENTAL MANAGEMENT,https://openalex.org/S12818680,Corporate Social Responsibility and Environmental Management,1535-3958,True
DECISION SCIENCES,https://openalex.org/S3035751226,Journal of Patient-Reported Outcomes,2509-8020,True
EUROPEAN ACCOUNTING REVIEW,https://openalex.org/S171424506,European Accounting Review,0963-8180,True
INTERNATIONAL JOURNAL OF ELECTRONIC COMMERCE,https://openalex.org/S2764395403,Ecological Processes,2192-1709,True
INTERNATIONAL JOURNAL OF HUMAN RESOURCE MANAGEMENT,https://openalex.org/S184846731,The International Journal of Human Resource Management,0958-5192,True
JOURNAL OF ADVERTISING RESEARCH,https://openalex.org/S61992289,Journal of Advertising Research,0021-8499,True
JOURNAL OF FINANCIAL STABILITY,https://openalex.org/S121634618,Journal of Financial Stability,1572-3089,True
JOURNAL OF PRODUCT AND BRAND MANAGEMENT,https://openalex.org/S58171247,Journal of Product & Brand Management,1061-0421,True
JOURNAL OF BEHAVIORAL AND EXPERIMENTAL FINANCE,https://openalex.org/S4210234749,JMIR Formative Research,2561-326X,True
JOURNAL OF BRAND MANAGEMENT,https://openalex.org/S27632631,Journal of Brand Management,1350-231X,True
JOURNAL OF HOSPITALITY MARKETING & MANAGEMENT,https://openalex.org/S118298121,Journal of Hospitality Marketing & Management,1936-8623,True
MANAGEMENT LEARNING,https://openalex.org/S4387290458,Health Affairs Scholar,2976-5390,True
REVIEW OF ECONOMIC DESIGN,https://openalex.org/S72258428,Review of Economic Design,1434-4742,True
CREATIVITY AND INNOVATION MANAGEMENT,https://openalex.org/S4210186733,Ecosystems and People,2639-5916,True
EUROPEAN FINANCIAL MANAGEMENT,https://openalex.org/S2737254583,Journal of Pharmaceutical Policy and Practice,2052-3211,True
FINANCE RESEARCH LETTERS,https://openalex.org/S75242794,Human Resources for Health,1478-4491,True
ECONOMICS AND PHILOSOPHY,https://openalex.org/S128223704,Economics and Philosophy,0266-2671,False
MIT SLOAN MANAGEMENT REVIEW,https://openalex.org/S4210240812,ISME Communications,2730-6151,True
ELECTRONIC MARKETS,https://openalex.org/S137519996,Electronic Markets,1019-6781,True
ACCOUNTING HORIZONS,https://openalex.org/S181356434,Accounting Horizons,0888-7993,True
HUMAN RESOURCE DEVELOPMENT REVIEW,https://openalex.org/S4210197217,Arctic Science,2368-7460,True
INTERNATIONAL JOURNAL OF INDUSTRIAL ORGANIZATION,https://openalex.org/S183232449,International Journal of Industrial Organization,0167-7187,True
INTERNATIONAL JOURNAL OF LOGISTICS MANAGEMENT,https://openalex.org/S97048498,The International Journal of Logistics Management,0957-4093,True
MIS QUARTERLY EXECUTIVE,https://openalex.org/S48312676,MIS Quarterly Executive,1540-1960,False
RESEARCH IN INTERNATIONAL BUSINESS AND FINANCE,https://openalex.org/S8133038,Research in International Business and Finance,0275-5319,True
REVIEW OF ECONOMICS OF THE HOUSEHOLD,https://openalex.org/S120253869,Review of Economics of the Household,1569-5239,False
CESIFO ECONOMIC STUDIES,https://openalex.org/S30207186,CESifo Economic Studies,1610-241X,True
ECONOMETRIC REVIEWS,https://openalex.org/S134988049,Econometric Reviews,0747-4938,True
ECONOMIC INQUIRY,https://openalex.org/S4210205517,MDM Policy & Practice,2381-4683,True
INTERNATIONAL JOURNAL OF RETAIL & DISTRIBUTION MANAGEMENT,https://openalex.org/S4210232579,Internet Interventions,2214-7829,True
JOURNAL OF FINANCIAL SERVICES RESEARCH,https://openalex.org/S4210207172,FORMATH,2188-5729,True
JOURNAL OF MULTINATIONAL FINANCIAL MANAGEMENT,https://openalex.org/S92422469,Journal of Multinational Financial Management,1042-444X,True
JOURNAL OF TECHNOLOGY TRANSFER,https://openalex.org/S185905316,The Journal of Technology Transfer,0892-9912,True
ACCOUNTING AUDITING & ACCOUNTABILITY JOURNAL,https://openalex.org/S2738228134,Comparative Migration Studies,2214-594X,True
ECONOMICA,https://openalex.org/S2738355984,Administrative Sciences,2076-3387,True
JOURNAL OF CONSUMER BEHAVIOUR,https://openalex.org/S41958068,Journal of Consumer Behaviour,1472-0817,True
JOURNAL OF ECONOMIC BEHAVIOR & ORGANIZATION,https://openalex.org/S62201805,Journal of Economic Behavior & Organization,0167-2681,True
SERVICE BUSINESS,https://openalex.org/S3409213,Service Business,1862-8516,True
BUSINESS ETHICS-A EUROPEAN REVIEW,https://openalex.org/S79007945,Business Ethics A European Review,0962-8770,False
CANADIAN JOURNAL OF ECONOMICS-REVUE CANADIENNE D ECONOMIQUE,https://openalex.org/S4210194329,Ecological Solutions and Evidence,2688-8319,True
ENERGY ECONOMICS,https://openalex.org/S75242794,Human Resources for Health,1478-4491,True
JOURNAL OF EMPIRICAL FINANCE,https://openalex.org/S4210237468,JAMIA Open,2574-2531,True
JOURNAL OF INTERNATIONAL MONEY AND FINANCE,https://openalex.org/S10747938,Journal of International Money and Finance,0261-5606,True
SCANDINAVIAN JOURNAL OF ECONOMICS,https://openalex.org/S165253824,Scandinavian Journal of Economics,0347-0520,True
AMERICAN JOURNAL OF AGRICULTURAL ECONOMICS,https://openalex.org/S91754907,American Journal of Agricultural Economics,0002-9092,True
ASIAN ECONOMIC POLICY REVIEW,https://openalex.org/S23010633,Asian Economic Policy Review,1832-8105,True
EUROPEAN JOURNAL OF INNOVATION MANAGEMENT,https://openalex.org/S4210198237,Data & Policy,2632-3249,True
INDUSTRY AND INNOVATION,https://openalex.org/S36209479,Industry and Innovation,1366-2716,True
INTERNATIONAL JOURNAL OF PROJECT MANAGEMENT,https://openalex.org/S2764962273,Risk Management and Healthcare Policy,1179-1594,True
JOURNAL OF BENEFIT-COST ANALYSIS,https://openalex.org/S87209429,Journal of Benefit-Cost Analysis,2194-5888,True
MANAGEMENT DECISION,https://openalex.org/S154010748,Management Decision,0025-1747,True
