journal,ISSN,eISSN,categories
JOURNAL OF FINANCIAL MARKETS,1386-4181,1878-576X,"['BUSINESS, FINANCE']"
Accounting Forum,0155-9982,1467-6303,"['BUSINESS, FINANCE']"
FINANCE AND STOCHASTICS,0949-2984,1432-1122,"['BUSINESS, FINANCE']"
Journal of Derivatives,1074-1240,2168-8524,"['BUSINESS, FINANCE']"
Journal of Central Banking Theory and Practice,1800-9581,2336-9205,"['BUSINESS, FINANCE']"
Journal of Financial Market Infrastructures,2049-5404,2049-5412,"['BUSINESS, FINANCE']"
Revista Evidenciacao Contabil & Financas,2318-1001,2318-1001,"['BUSINESS, FINANCE']"
ACADEMY OF MANAGEMENT REVIEW,0363-7425,1930-3807,"[BUSINESS, MANAGEMENT]"
MIS QUARTERLY,0276-7783,N/A,[MANAGEMENT]
ORGANIZATION STUDIES,0170-8406,1741-3044,[MANAGEMENT]
European Management Journal,0263-2373,1873-5681,"[BUSINESS, MANAGEMENT]"
Benchmarking-An International Journal,1463-5771,1758-4094,[MANAGEMENT]
European Journal of Work and Organizational Psychology,1359-432X,1464-0643,[MANAGEMENT]
Review of Managerial Science,1863-6683,1863-6691,[MANAGEMENT]
Journal of Leadership & Organizational Studies,1548-0518,1939-7089,[MANAGEMENT]
Strategic Management,1821-3448,2334-6191,[MANAGEMENT]
HUMAN RESOURCE DEVELOPMENT INTERNATIONAL,1367-8868,1469-8374,[MANAGEMENT]
RESEARCH-TECHNOLOGY MANAGEMENT,0895-6308,1930-0166,"[BUSINESS, MANAGEMENT]"
School Leadership & Management,1363-2434,1364-2626,[MANAGEMENT]
International Journal of Accounting and Information Management,1834-7649,1758-9037,[MANAGEMENT]
International Journal of Cross Cultural Management,1470-5958,1741-2838,[MANAGEMENT]
Eurasian Business Review,1309-4297,2147-4281,"[BUSINESS, ECONOMICS, MANAGEMENT]"
Journal of Global Sport Management,2470-4067,2470-4075,[MANAGEMENT]
Journal of Chinese Human Resources Management,2040-8005,2040-8013,[MANAGEMENT]
South East Asian Journal of Management,1978-1989,2355-6641,[MANAGEMENT]
Upravlenets-The Manager,2218-5003,2218-5003,[MANAGEMENT]
JOURNAL OF MARKETING RESEARCH,0022-2437,1547-7193,[BUSINESS]
JOURNAL OF BUSINESS VENTURING,0883-9026,1873-2003,[BUSINESS]
BUSINESS HORIZONS,0007-6813,1873-6068,[BUSINESS]
Asia Pacific Journal of Marketing and Logistics,1355-5855,1758-4248,[BUSINESS]
Journal of Business Economics and Management,1611-1699,2029-4433,"[BUSINESS, ECONOMICS]"
Journal of Enterprising Communities-People and Places in the Global Economy,1750-6204,1750-6212,[BUSINESS]
Review of International Business and Strategy,2059-6014,1758-8529,[BUSINESS]
Society and Business Review,1746-5680,1746-5699,[BUSINESS]
ENTERPRISE & SOCIETY,1467-2227,1467-2235,[BUSINESS]
Management & Marketing,1842-0206,2069-8887,[BUSINESS]
AMERICAN BUSINESS LAW JOURNAL,0002-7766,1744-1714,[BUSINESS]
Foreign Trade Review,0015-7325,0971-7625,"[BUSINESS, ECONOMICS]"
Revista de Gestao e Projetos,2236-0972,2236-0972,[BUSINESS]
LANDSCAPE AND URBAN PLANNING,0169-2046,1872-6062,"[ECOLOGY, ENVIRONMENTAL STUDIES, GEOGRAPHY, URBAN STUDIES]"
GLOBAL ENVIRONMENTAL CHANGE-HUMAN AND POLICY DIMENSIONS,0959-3780,1872-9495,"[ENVIRONMENTAL STUDIES, GEOGRAPHY]"
COMPUTERS ENVIRONMENT AND URBAN SYSTEMS,0198-9715,1873-7587,"[ENVIRONMENTAL STUDIES, GEOGRAPHY]"
ENVIRONMENT AND PLANNING D-SOCIETY & SPACE,0263-7758,1472-3433,"[ENVIRONMENTAL STUDIES, GEOGRAPHY]"
Letters in Spatial and Resource Sciences,1864-4031,1864-404X,[GEOGRAPHY]
Cuadernos Geograficos,0210-5462,2340-0129,[GEOGRAPHY]
ERDE,0013-9998,0013-9998,[GEOGRAPHY]
Journal of Spatial Information Science,1948-660X,1948-660X,[GEOGRAPHY]
Investigaciones Geograficas-Spain,0213-4691,1989-9890,[GEOGRAPHY]
Geoconservation Research,2645-4661,2588-7343,[GEOGRAPHY]
Revista Geoaraguaia,1809-094X,2236-9716,[GEOGRAPHY]
JOURNAL OF POPULATION ECONOMICS,0933-1433,1432-1475,"[DEMOGRAPHY, ECONOMICS]"
POPULATION,0032-4663,1957-7966,[DEMOGRAPHY]
RACE & CLASS,0306-3968,1741-3125,[ETHNIC STUDIES]
Critical Philosophy of Race,2165-8684,2165-8692,[ETHNIC STUDIES]
Forest Policy and Economics,1389-9341,1872-7050,"[ECONOMICS, ENVIRONMENTAL STUDIES, FORESTRY]"
JOURNAL OF LABOR ECONOMICS,0734-306X,1537-5307,"[ECONOMICS, INDUSTRIAL RELATIONS & LABOR]"
BROOKINGS PAPERS ON ECONOMIC ACTIVITY,0007-2303,1533-4465,[ECONOMICS]
ECONOMY AND SOCIETY,0308-5147,1469-5766,[ECONOMICS]
ECONOMIC THEORY,0938-2259,1432-0479,[ECONOMICS]
China Agricultural Economic Review,1756-137X,1756-1388,"[AGRICULTURAL ECONOMICS & POLICY, ECONOMICS]"
JOURNAL OF MATHEMATICAL ECONOMICS,0304-4068,1873-1538,[ECONOMICS]
Journal of Behavioral and Experimental Economics,2214-8043,2214-8051,[ECONOMICS]
AMERICAN JOURNAL OF ECONOMICS AND SOCIOLOGY,0002-9246,1536-7150,[ECONOMICS]
Astin Bulletin-The Journal of the International Actuarial Association,0515-0361,1783-1350,[ECONOMICS]
Spatial Economic Analysis,1742-1772,1742-1780,[ECONOMICS]
Journal of Economic and Administrative Sciences,1026-4116,2054-6246,[ECONOMICS]
World Development Perspectives,2452-2929,2452-2929,"[DEVELOPMENT STUDIES, ECONOMICS]"
Mineral Economics,2191-2203,2191-2211,[ECONOMICS]
Marine Resource Economics,0738-1360,2334-5985,"[ECONOMICS, ENVIRONMENTAL STUDIES]"
Education Finance and Policy,1557-3060,1557-3079,[ECONOMICS]
Economics-The Open Access Open-Assessment E-Journal,1864-6042,1864-6042,[ECONOMICS]
Econometrics and Statistics,2468-0389,2452-3062,[ECONOMICS]
German Economic Review,1465-6485,1468-0475,[ECONOMICS]
JAPANESE ECONOMIC REVIEW,1352-4739,1468-5876,[ECONOMICS]
Economics of Governance,1435-6104,1435-8131,[ECONOMICS]
Montenegrin Journal of Economics,1800-5845,1800-6698,[ECONOMICS]
American Law and Economics Review,1465-7252,1465-7260,[ECONOMICS]
Journal of Neuroscience Psychology and Economics,1937-321X,2151-318X,[ECONOMICS]
International Journal of Management and Economics,2299-9701,2543-5361,[ECONOMICS]
Prague Economic Papers,1210-0455,2336-730X,[ECONOMICS]
Revista de Historia Economica-Journal of Iberian and Latin American Economic History,0212-6109,2041-3335,[ECONOMICS]
Indian Journal of Economics and Development,2277-5412,2322-0430,[ECONOMICS]
EGE ACADEMIC REVIEW,1303-099X,1303-099X,[ECONOMICS]
Journal of Southeast Asian Economies,2339-5095,2339-5206,[ECONOMICS]
Asian-Pacific Economic Literature,0818-9935,1467-8411,[ECONOMICS]
International Journal of Economic Sciences,N/A,1804-9796,[ECONOMICS]
International Journal of Economic Theory,1742-7355,1742-7363,[ECONOMICS]
Investigaciones de Historia Economica,1698-6989,2340-3373,[ECONOMICS]
International Journal of Economic Policy Studies,2524-4892,1881-4387,[ECONOMICS]
PROBLEMAS DEL DESARROLLO,2007-8951,2007-8951,"[DEVELOPMENT STUDIES, ECONOMICS]"
Ledger,N/A,2379-5980,[ECONOMICS]
Review of Economic Analysis,1973-3909,1973-3909,[ECONOMICS]
JOURNAL OF SAFETY RESEARCH,0022-4375,1879-1247,[TRANSPORTATION]
Traffic Injury Prevention,1538-9588,1538-957X,[TRANSPORTATION]
International Journal of Transportation Science and Technology,2046-0430,2046-0449,[TRANSPORTATION]
Transportmetrica B-Transport Dynamics,2168-0566,2168-0582,[TRANSPORTATION]
Pomorstvo-Scientific Journal of Maritime Research,1332-0718,1846-8438,[TRANSPORTATION]
URBAN STUDIES,0042-0980,1360-063X,"[ENVIRONMENTAL STUDIES, URBAN STUDIES]"
Environmental Innovation and Societal Transitions,2210-4224,2210-4232,[ENVIRONMENTAL STUDIES]
Environmental Communication-A Journal of Nature and Culture,1752-4032,1752-4040,"[COMMUNICATION, ENVIRONMENTAL STUDIES]"
Progress in Disaster Science,2590-0617,2590-0617,[ENVIRONMENTAL STUDIES]
Journal of Political Ecology,1073-0451,1073-0451,[ENVIRONMENTAL STUDIES]
Environmental Justice,1939-4071,1937-5174,[ENVIRONMENTAL STUDIES]
PLOS Sustainability and Transformation,N/A,2767-3197,[ENVIRONMENTAL STUDIES]
Sustainability and Climate Change,N/A,2692-2932,[ENVIRONMENTAL STUDIES]
MODERN ASIAN STUDIES,0026-749X,1469-8099,[AREA STUDIES]
AFRICAN AFFAIRS,0001-9909,1468-2621,[AREA STUDIES]
Southeast European and Black Sea Studies,1468-3857,1743-9639,[AREA STUDIES]
Economy of Region,2072-6414,2411-1406,[AREA STUDIES]
GERMAN POLITICS AND SOCIETY,1045-0300,1558-5441,[AREA STUDIES]
Insight on Africa,0975-0878,0976-3465,[AREA STUDIES]
Northern Review,0820-0300,0820-0300,[AREA STUDIES]
SOUTHEASTERN EUROPE,0094-4467,1876-3332,[AREA STUDIES]
Europolity-Continuity and Change in European Governance,2344-2255,2247-7721,[AREA STUDIES]
E-Latina-Revista Electronica de Estudios Latinoamericanos,1666-9606,1666-9606,[AREA STUDIES]
Progress in Development Studies,1464-9934,1477-027X,[DEVELOPMENT STUDIES]
