baseline_rank,source_idx,source_name,F,a_p,v_0110,v_1000,v_1111,r_1000,r_1111
29,102949365,Strategic Management Journal,,478.000000,4.308703,5.360409,3.680466,1.244089,0.854193
30,117778295,Academy of Management Journal,,307.000000,4.177942,5.810030,3.737271,1.390644,0.894525
31,1008349740,Foundations and Trends® in Accounting,,13.000000,4.079749,4.797176,4.189724,1.175851,1.026956
32,199447588,Journal of Public Economics,,634.000000,3.916862,4.220299,3.126838,1.077470,0.798302
33,111116695,Journal of Accounting Research,,203.000000,3.885023,4.005866,3.140778,1.031105,0.808432
34,183802457,The Journal of Operational Risk,,4.000000,3.839133,8.574225,7.026527,2.233376,1.830238
35,4210200923,Annual Review of Organizational Psychology and Organizational Behavior,,86.000000,3.751490,4.249799,3.248202,1.132830,0.865843
36,92709572,Journal of Interactive Marketing,,74.000000,3.737409,5.000043,3.779362,1.337837,1.011225
37,2736251538,The Review of Corporate Finance Studies,,129.000000,3.686616,3.790156,3.124988,1.028086,0.847658
38,11853582,Review of Accounting Studies,,340.000000,3.630033,3.449374,2.903328,0.950232,0.799808
39,163534328,Marketing Science,,327.000000,3.626164,4.210988,2.913353,1.161279,0.803426
40,133599136,Organizational Research Methods,,117.000000,3.463164,5.134760,3.435087,1.482679,0.991893
41,127742747,Journal of Econometrics,,793.000000,3.311239,4.440762,2.808749,1.341118,0.848247
42,156003414,Quantitative Economics,,174.000000,3.247063,4.645735,2.755112,1.430750,0.848494
43,122767448,Journal of Management,,461.000000,3.233184,3.995001,2.897959,1.235624,0.896318
44,49857371,European Finance Review,,234.000000,3.221353,3.740558,2.806643,1.161176,0.871262
45,6711363,Journal of Monetary Economics,E,376.000000,3.165974,3.841559,2.601394,1.213389,0.821673
46,187626162,Entrepreneurship Theory and Practice,B,265.000000,3.164295,3.380774,2.800941,1.068413,0.885171
47,206124708,Organization Science,,517.000000,3.112846,3.950663,2.614798,1.269148,0.840002
48,116184629,National Tax Journal,,23.000000,3.109463,5.152623,3.374663,1.657078,1.085288
49,79007945,Business Ethics A European Review,,34.000000,3.090297,5.361937,3.767977,1.735088,1.219293
50,198098467,Journal of International Economics,E,428.000000,3.082119,3.326935,2.469903,1.079431,0.801365
51,4210170931,Annual Review of Financial Economics,,101.000000,3.070926,3.468374,2.573198,1.129423,0.837923
52,97320426,Journal of Supply Chain Management,B,90.000000,3.062185,2.956682,2.739848,0.965547,0.894736
53,147692640,Journal of Urban Economics,,225.000000,3.023889,3.089993,2.370332,1.021861,0.783869
54,33323087,Management Science,,2055.000000,2.996009,3.108426,2.370864,1.037522,0.791341
55,160506855,The Accounting Review,,495.000000,2.970095,2.832718,2.358560,0.953747,0.794103
56,152304618,The Leadership Quarterly,,180.000000,2.953996,4.309861,2.851950,1.458994,0.965455
57,4210188400,The Journal of Energy Markets,,5.000000,2.944622,6.850586,5.558849,2.326474,1.887797
58,119950638,Journal of Marketing Research,,36.000000,2.905539,5.206368,3.292134,1.791877,1.133055
59,140842003,Review of Environmental Economics and Policy,,83.000000,2.889133,2.799333,2.540726,0.968918,0.879407
60,4210200284,The Japanese Accounting Review,,5.000000,2.870870,6.794056,5.498880,2.366550,1.915406
61,198892436,Accounting Organizations and Society,,166.000000,2.816602,2.865504,2.415727,1.017362,0.857674
62,38024979,Journal of International Business Studies,,435.000000,2.783963,3.311998,2.507167,1.189670,0.900575
63,165087003,Journal of the European Economic Association,,283.000000,2.770506,4.190238,2.476703,1.512445,0.893953
64,145429826,Journal of Consumer Research,,206.000000,2.764914,3.713378,2.539994,1.343036,0.918652
65,127060114,NBER Macroeconomics Annual,E,73.000000,2.760085,4.174175,2.570030,1.512336,0.931142
66,31690342,Strategic Entrepreneurship Journal,B,162.000000,2.688505,2.886808,2.358352,1.073760,0.877198
67,4210230127,management revue,,6.000000,2.670476,5.827816,4.783435,2.182314,1.791230
68,8557221,Journal of Labor Economics,,172.000000,2.617309,3.684785,2.297383,1.407852,0.877765
69,66201313,Journal of Business Venturing,,228.000000,2.584068,2.704175,2.269009,1.046480,0.878076
70,21260181,IMF Economic Review,E,153.000000,2.551084,2.557392,2.103937,1.002473,0.824723
71,125608309,Journal of Service Research,,205.000000,2.547879,2.979599,2.399322,1.169443,0.941694
72,81410195,Manufacturing & Service Operations Management,,587.000000,2.547214,1.987079,1.878572,0.780099,0.737501
73,4210219378,Journal of Financial Reporting,,59.000000,2.539529,2.716630,2.246493,1.069738,0.884610
74,152282257,Journal of Corporate Finance,,817.000000,2.480436,2.198640,2.113792,0.886393,0.852186
75,935516450,Foundations and Trends® in Econometrics,,8.000000,2.479185,4.785286,3.944347,1.930185,1.590986
76,151705444,Journal of Management Studies,B,497.000000,2.463850,2.818807,2.154090,1.144066,0.874278
77,143995394,Journal of World Business,,242.000000,2.451415,3.036302,2.325849,1.238591,0.948778
78,2764691195,Journal of Accounting and Management Information Systems,,6.000000,2.440646,5.745499,4.644122,2.354090,1.902825
79,4210183760,Strategy Science,B,133.000000,2.436300,2.772940,2.009849,1.138177,0.824960
80,159120381,Journal of Retailing,,183.000000,2.415764,2.781000,2.239241,1.151189,0.926929
81,4210172557,Journal of Business and Economic Studies,,6.000000,2.406421,5.690079,4.602086,2.364540,1.912419
82,2737963727,Indonesian Capital Market Review,,6.000000,2.403216,5.664126,4.590118,2.356894,1.909990
83,163499366,Review of Economic Dynamics,,248.000000,2.390272,2.870156,1.959200,1.200765,0.819656
84,92522684,Journal of the Academy of Marketing Science,,346.000000,2.383867,2.624942,2.145865,1.101128,0.900161
85,72880728,The Journal of Economic Perspectives,E,39.000000,2.383622,2.648852,2.164691,1.111272,0.908152
86,166002381,Journal of Applied Psychology,,366.000000,2.377558,3.363134,2.196922,1.414533,0.924024
87,45992627,The Economic Journal,E,500.000000,2.347926,3.170704,2.057295,1.350427,0.876218
88,180061323,The Review of Economics and Statistics,E,552.000000,2.346642,2.773922,1.921495,1.182082,0.818827
89,4210214325,Journal of Global Economic Analysis,,22.000000,2.311463,4.143160,2.934535,1.792440,1.269557
90,4210186510,Journal of International Business Policy,,139.000000,2.288302,2.497601,2.073528,1.091465,0.906143
91,4210173595,American Journal of Health Economics,,23.000000,2.273080,3.057741,2.442007,1.345198,1.074317
92,33741590,Academy of Management Perspectives,B,138.000000,2.245663,2.444444,1.949126,1.088518,0.867951
93,196919950,Family Business Review,,87.000000,2.243883,2.894362,2.279405,1.289890,1.015830
94,2735550652,Journal of the Association of Environmental and Resource Economists,,43.000000,2.235941,2.815321,2.140345,1.259122,0.957246
95,106098198,Oxford Review of Economic Policy,E,207.000000,2.225352,2.181002,1.799539,0.980071,0.808654
96,65924262,Contemporary Accounting Research,,376.000000,2.176031,2.053632,1.795622,0.943751,0.825182
97,14567820,The Journal of developing areas,,7.000000,2.175283,4.989280,4.058230,2.293623,1.865610
98,4210226497,Critical Finance Review,,67.000000,2.172378,2.548738,1.950538,1.173248,0.897882
99,9731383,Research Policy,,729.000000,2.169791,1.827452,1.765970,0.842225,0.813890
100,2765008422,Global Strategy Journal,B,126.000000,2.157143,2.491432,1.982618,1.154969,0.919094
101,141600920,Fiscal Studies,,137.000000,2.128217,2.000407,1.700356,0.939945,0.798958
102,87745625,International Journal of Management Reviews,B,145.000000,2.065021,2.213410,1.897939,1.071858,0.919089
103,4210181162,Journal of Service Management Research,,9.000000,2.060788,4.403076,3.537626,2.136599,1.716638
104,4210173453,AMS Review,,120.000000,2.053309,2.121046,1.853496,1.032989,0.902687
105,142306484,Journal of Operations Management,B,220.000000,2.037627,1.748006,1.685823,0.857864,0.827346
106,172782825,California Management Review,,130.000000,2.026682,2.138738,1.841608,1.055290,0.908681
107,998097505,The Journal of Law and Economics,,133.000000,2.026134,2.630901,1.763740,1.298483,0.870495
108,193228710,Journal of Financial and Quantitative Analysis,,335.000000,2.021481,2.373015,1.790807,1.173899,0.885889
109,22315241,FinanzArchiv Public Finance Analysis,,8.000000,2.015294,4.467312,3.635378,2.216705,1.803895
110,119908498,Journal of International Marketing,,15.000000,2.011952,3.205319,2.717871,1.593139,1.350863
111,76844451,Annual Review of Resource Economics,,115.000000,2.007617,1.555127,1.645284,0.774613,0.819521
112,11394615,Strategic Organization,B,170.000000,1.993326,2.348052,1.780308,1.177957,0.893134
113,149131268,Journal of Economic Theory,,532.000000,1.985173,3.073684,1.721845,1.548321,0.867353
114,62957338,The Journal of Human Resources,,157.000000,1.970616,2.491598,1.682616,1.264376,0.853853
115,28882882,Organization Studies,,408.000000,1.958995,2.576580,1.751401,1.315256,0.894030
116,4210171086,The Journal of Risk,,12.000000,1.957122,4.618978,3.391981,2.360086,1.733147
117,166621295,Journal of Health Economics,,374.000000,1.946166,1.911630,1.579531,0.982254,0.811612
118,37376905,Journal of Public Policy & Marketing,,17.000000,1.900467,3.049355,2.540365,1.604529,1.336706
119,4210213798,AEA Papers and Proceedings,,539.000000,1.894817,2.272215,1.528735,1.199174,0.806798
120,101209419,Journal of Development Economics,,598.000000,1.879247,2.239294,1.616295,1.191591,0.860076
121,103311983,Journal of Advertising,,226.000000,1.877124,1.707882,1.591943,0.909840,0.848076
122,2058785,Journal of money credit and banking,E,119.000000,1.850086,2.031229,1.597592,1.097911,0.863523
123,956737788,BuR - Business Research,B,29.000000,1.849004,2.259592,2.069311,1.222059,1.119149
124,93666758,Journal of Economic Issues,,78.000000,1.848977,2.466580,1.748387,1.334024,0.945597
125,11810700,International Journal of Research in Marketing,,271.000000,1.847314,2.017011,1.640421,1.091862,0.888003
126,2764434733,Low Carbon Economy,,12.000000,1.842913,3.691975,2.865631,2.003336,1.554946
127,107183665,Journal of service management,,217.000000,1.835507,1.865507,1.681127,1.016344,0.915893
128,179979277,International Economic Review,E,244.000000,1.833335,2.615099,1.627412,1.426416,0.887678
129,185253248,Human Resource Management Review,,156.000000,1.812999,2.113757,1.714754,1.165890,0.945811
130,5984737,Journal of Financial Intermediation,,116.000000,1.802365,1.695861,1.527020,0.940909,0.847232
131,959550399,New Perspectives on Political Economy,,8.000000,1.796700,4.264083,3.444682,2.373286,1.917227
132,4210206015,Quantitative Marketing and Economics,,59.000000,1.790976,2.740412,1.740092,1.530123,0.971589
133,125775545,Operations Research,,746.000000,1.780186,1.500742,1.301538,0.843025,0.731125
134,61446109,Human Relations,,308.000000,1.772269,2.142576,1.611239,1.208945,0.909139
135,202812398,Information Systems Research,,480.000000,1.750602,1.602143,1.387532,0.915196,0.792603
136,2764940387,Organizational Psychology Review,,88.000000,1.743021,2.066942,1.615803,1.185839,0.927013
137,38350834,Journal of Business Logistics,B,148.000000,1.727731,1.447800,1.475691,0.837978,0.854121
138,106686155,Journal of Risk and Uncertainty,,121.000000,1.716318,1.640360,1.436023,0.955744,0.836688
139,75845752,Auditing A Journal of Practice & Theory,B,174.000000,1.697155,1.545923,1.428523,0.910891,0.841717
140,2875300,Review of International Political Economy,,330.000000,1.695643,1.582606,1.430470,0.933337,0.843615
141,181171746,Journal of Economic Growth,,66.000000,1.694503,2.411207,1.687209,1.422958,0.995696
142,38825547,Economic Geography,,115.000000,1.679581,1.507852,1.469195,0.897755,0.874739
143,7006481,Margin The Journal of Applied Economic Research,E,10.000000,1.635633,3.670342,2.980241,2.243989,1.822073
144,118119388,Journal of Family Business Strategy,,133.000000,1.635158,1.756456,1.559134,1.074181,0.953507
145,160573970,Journal of Organizational Behavior,,358.000000,1.628418,1.799689,1.418506,1.105176,0.871094
146,113497174,Human Resource Management Journal,,265.000000,1.626736,1.695602,1.443449,1.042334,0.887329
147,25250876,Economy and Society,,66.000000,1.611763,1.767014,1.534740,1.096324,0.952212
148,4210237103,Indonesian Management and Accounting Research,B,9.000000,1.607600,3.777789,3.064991,2.349956,1.906563
149,114140714,Management Accounting Research,,70.000000,1.601407,1.725252,1.549694,1.077335,0.967708
150,2764594977,European Journal of Management,,9.000000,1.595733,3.775596,3.055219,2.366057,1.914618
151,4210202650,Academy of Management Discoveries,B,156.000000,1.593284,1.895066,1.397110,1.189409,0.876874
152,133335107,Mathematical Finance,,133.000000,1.588939,1.368097,1.285187,0.861013,0.808833
153,49389958,Econometric Theory,,174.000000,1.585782,2.389408,1.449522,1.506770,0.914074
154,31748134,Industrial Marketing Management,,933.000000,1.567486,1.472115,1.398042,0.939156,0.891901
155,23343376,International Business Review,,406.000000,1.560764,1.529445,1.399159,0.979934,0.896458
156,66510378,Critical Perspectives on Accounting,,248.000000,1.557968,1.622313,1.405890,1.041300,0.902387
157,93284759,Journal of Business Research,,3504.000000,1.547604,1.464260,1.383397,0.946146,0.893896
158,21668869,Strategic Direction,,12.000000,1.542449,3.018956,2.569014,1.957248,1.665542
159,33519306,Econometrics Journal,,126.000000,1.533559,1.578877,1.275575,1.029551,0.831774
160,200872515,Journal of Environmental Economics and Management,,444.000000,1.532268,1.340205,1.244767,0.874654,0.812369
161,122073985,The Journal of Economic History,,201.000000,1.528957,1.848175,1.291027,1.208781,0.844384
162,179517972,Canadian Journal of Agricultural Economics/Revue canadienne d agroeconomie,,139.000000,1.526670,1.301072,1.364959,0.852229,0.894076
163,124549413,Journal of Economic Surveys,E,265.000000,1.526099,1.372663,1.300818,0.899459,0.852381
164,69338747,European Economic Review,E,792.000000,1.519114,1.592148,1.262590,1.048077,0.831136
165,91071628,Journal of East European Management Studies,,10.000000,1.514971,3.454614,2.820268,2.280317,1.861598
166,44376543,Business & Society,,261.000000,1.513490,1.448172,1.312733,0.956843,0.867355
167,4210211425,Annals of Corporate Governance,B,12.000000,1.511973,3.081958,2.539379,2.038368,1.679513
168,4210207936,Schmalenbach Business Review,,22.000000,1.500348,2.784165,2.165369,1.855679,1.443245
169,997943089,Foundations and Trends® in Marketing,,17.000000,1.497232,2.708367,2.108089,1.808916,1.407991
170,73201759,Foundations and Trends® in Entrepreneurship,,31.000000,1.494692,2.117499,1.778502,1.416679,1.189879
171,2765030839,Journal of Economic and Social Measurement,,12.000000,1.490005,3.043389,2.512077,2.042536,1.685953
172,146268463,Journal of Institutional Economics,,231.000000,1.486225,1.374748,1.256429,0.924993,0.845382
173,23010633,Asian Economic Policy Review,,127.000000,1.478274,1.014700,1.221519,0.686408,0.826314
174,117685085,The World Bank Research Observer,,39.000000,1.470359,2.074560,1.635691,1.410921,1.112444
175,116483603,Journal of Risk & Insurance,,137.000000,1.469455,1.309883,1.225542,0.891407,0.834011
176,2876017,Journal of Banking & Finance,,890.000000,1.467109,1.173494,1.180207,0.799868,0.804444
177,169221615,Information Economics and Policy,,98.000000,1.466858,1.803294,1.369695,1.229359,0.933762
178,93630570,Journal of Product Innovation Management,,205.000000,1.461399,1.281874,1.263148,0.877155,0.864342
179,2898242091,Journal of Business Venturing Insights,B,301.000000,1.450357,1.363442,1.267124,0.940073,0.873664
180,4210223648,Business Management and Education,,12.000000,1.441570,3.049056,2.514942,2.115094,1.744585
181,18095783,Journal of Business and Economic Statistics,,433.000000,1.437405,1.923062,1.233281,1.337871,0.857992
182,85739584,Journal of Applied Econometrics,E,273.000000,1.433035,1.466336,1.190535,1.023238,0.830779
183,165973286,The Journal of Computational Finance,,14.000000,1.410247,2.662502,2.235443,1.887969,1.585143
184,149070780,Production and Operations Management,,1137.000000,1.407263,1.037029,1.061385,0.736912,0.754219
185,134094273,Human Resource Management,,226.000000,1.388236,1.552659,1.271370,1.118441,0.915817
186,4210198154,Algorithmic Finance,,13.000000,1.384320,2.852100,2.344365,2.060290,1.693514
187,9435936,Long Range Planning,,217.000000,1.373177,1.478856,1.259476,1.076960,0.917199
188,4210187713,NMIMS Management Review,,11.000000,1.372267,3.129166,2.553169,2.280289,1.860548
189,146242404,New Political Economy,,262.000000,1.371686,1.218565,1.146885,0.888370,0.836113
190,84664706,Personnel Psychology,,193.000000,1.363760,1.967317,1.317902,1.442569,0.966374
191,41869786,Small Business Economics,,637.000000,1.363321,1.180836,1.162627,0.866147,0.852790
192,39841227,International Journal of Forecasting,,441.000000,1.361076,1.120326,1.123142,0.823118,0.825187
193,164321952,International Journal of Operations & Production Management,B,451.000000,1.345412,1.085226,1.141918,0.806612,0.848749
194,2735010472,Journal of the Association for Consumer Research,,24.000000,1.338849,2.303714,1.802106,1.720668,1.346011
195,74620885,"Accounting auditing & accountability journal/Accounting, auditing & accountability journal",,11.000000,1.337568,3.104454,2.518883,2.320970,1.883182
196,145471836,Explorations in Economic History,,127.000000,1.333620,1.555069,1.151390,1.166051,0.863356
197,97316453,Cambridge Journal of Regions Economy and Society,,188.000000,1.333353,0.864674,1.028455,0.648496,0.771330
198,17986141,Journal of Management Inquiry,,124.000000,1.332290,1.671954,1.262271,1.254947,0.947445
199,45682993,Academy of Management Learning and Education,,214.000000,1.332004,1.478687,1.186892,1.110122,0.891057
200,125977778,International Journal of Contemporary Hospitality Management,,985.000000,1.331209,1.231478,1.192035,0.925082,0.895453
201,4210168091,The Journal of Law Economics and Organization,,129.000000,1.331118,1.750501,1.193598,1.315061,0.896688
202,4210224324,Accounting Auditing & Accountability Journal,,478.000000,1.329120,1.232073,1.154130,0.926984,0.868341
203,121634618,Journal of Financial Stability,,352.000000,1.326180,1.025654,1.099115,0.773389,0.828783
204,163774179,Labour Economics,,488.000000,1.325572,1.518019,1.123059,1.145181,0.847226
205,94552155,Organization & Environment,,91.000000,1.319717,1.286692,1.222527,0.974976,0.926355
206,323237,Accounting and Business Research,,161.000000,1.316620,1.066997,1.079189,0.810406,0.819666
207,177792750,Decision Sciences,,180.000000,1.312598,1.169528,1.161094,0.891002,0.884577
208,579031,Economic Theory,,343.000000,1.307545,1.393200,1.052224,1.065509,0.804733
209,129086836,Real Estate Economics,,168.000000,1.304714,1.073467,1.042703,0.822760,0.799181
210,76633192,Journal of Business Ethics,,1412.000000,1.303785,1.199829,1.108172,0.920266,0.849966
211,1650206,Milbank Quarterly,,212.000000,1.299137,0.832704,1.003762,0.640967,0.772637
212,2764884217,Technology Innovation Management Review,,22.000000,1.297998,2.989068,2.117439,2.302829,1.631311
213,181356434,Accounting Horizons,,226.000000,1.289981,1.310567,1.129171,1.015958,0.875339
214,157946625,Financial Management,,133.000000,1.287566,1.292832,1.135096,1.004090,0.881583
215,148909191,Marketing Letters,,242.000000,1.286073,1.165431,1.048841,0.906194,0.815538
216,4210172902,Journal of Institutional and Theoretical Economics JITE,,16.000000,1.285036,2.570086,2.064099,2.000011,1.606258
217,87933477,Environment and Planning A Economy and Space,,510.000000,1.273576,0.860357,0.966111,0.675544,0.758581
218,118298121,Journal of Hospitality Marketing & Management,,207.000000,1.272280,1.345462,1.244928,1.057521,0.978502
219,99606308,Economic Policy,E,142.000000,1.268425,1.256549,1.084412,0.990638,0.854928
220,43019230,PharmacoEconomics,,459.000000,1.268219,0.861361,1.222520,0.679189,0.963966
221,171424506,European Accounting Review,,269.000000,1.265659,1.093705,1.071073,0.864139,0.846257
222,4210208962,AIS Educator Journal,,15.000000,1.263746,3.860620,2.463505,3.054902,1.949367
223,137360237,Contributions to Political Economy,,61.000000,1.255121,1.474268,1.239833,1.174603,0.987819
224,46039370,Journal of Economic Geography,,181.000000,1.254124,1.151169,1.050811,0.917907,0.837885
225,95314075,Leadership,,162.000000,1.251003,1.425315,1.148838,1.139338,0.918334
226,107859553,International Small Business Journal Researching Entrepreneurship,,211.000000,1.248393,1.213685,1.152271,0.972198,0.923003
227,138645024,Journal of Comparative Economics,,236.000000,1.248037,1.197219,1.065482,0.959282,0.853726
228,71564990,Frontiers of Business Research in China,,34.000000,1.246195,2.043169,1.648904,1.639526,1.323151
229,148599315,International Journal of Hospitality Management,,1145.000000,1.243518,1.160665,1.121582,0.933372,0.901942
230,78792899,Journal of Small Business Management,B,346.000000,1.237481,1.063048,1.079461,0.859042,0.872305
231,3207870907,Journal of Inter-Organizational Relationships,B,15.000000,1.230422,2.495725,2.049776,2.028348,1.665913
232,102896891,Psychology and Marketing,,762.000000,1.227728,1.110978,1.063831,0.904906,0.866504
233,37660120,Human Resource Development Review,,111.000000,1.225084,1.081433,1.089971,0.882742,0.889711
234,11782782,Australasian Marketing Journal (AMJ),,203.000000,1.224720,1.209861,1.144893,0.987868,0.934821
235,6144335,The Journal of Strategic Information Systems,,109.000000,1.215793,1.329132,1.178379,1.093222,0.969227
236,18436875,International Journal of Electronic Commerce,,83.000000,1.214953,1.666277,1.308994,1.371474,1.077403
237,19358283,International Journal of Advertising,,329.000000,1.214378,1.011546,1.023515,0.832975,0.842830
238,205793605,Business Strategy and the Environment,,1538.000000,1.210783,0.960407,1.065954,0.793211,0.880384
239,72915307,Organization,,293.000000,1.206866,1.396184,1.080845,1.156867,0.895579
240,172526255,Finance and Stochastics,,97.000000,1.206551,0.928964,0.984090,0.769934,0.815622
241,48254654,Journal of Business Finance &amp Accounting,,324.000000,1.199443,0.934955,0.984840,0.779491,0.821081
242,91754907,American Journal of Agricultural Economics,,271.000000,1.198637,0.859515,0.939095,0.717078,0.783469
243,168717511,The Journal of Applied Behavioral Science,,167.000000,1.197332,1.246459,1.078398,1.041031,0.900668
244,202144432,Science Technology and Society,,15.000000,1.195725,2.483142,2.034370,2.076683,1.701369
245,4210201861,Applied Economic Perspectives and Policy,,357.000000,1.195268,0.729379,0.916370,0.610222,0.766665
246,107631327,Regional Science and Urban Economics,,277.000000,1.193498,1.022290,0.961273,0.856549,0.805425
247,4210234043,Journal of Management Research,,12.000000,1.192628,2.834964,2.290865,2.377072,1.920854
248,4210183927,Istanbul Journal of Economics / İstanbul İktisat Dergisi,E,12.000000,1.191366,2.826662,2.286713,2.372623,1.919404
249,4210225012,Journal of Entrepreneurship and Business Innovation,,12.000000,1.190179,2.825722,2.285662,2.374199,1.920435
250,55239356,Journal of Purchasing and Supply Management,B,146.000000,1.186649,1.017920,1.069662,0.857810,0.901414
251,145507837,Industrial and Corporate Change,,293.000000,1.179995,1.041852,0.992479,0.882930,0.841088
252,2736872555,Croatian Economic Survey,,13.000000,1.178052,2.682770,2.187362,2.277292,1.856762
253,2764509274,China Finance Review International,,133.000000,1.176324,1.044914,1.099124,0.888288,0.934372
254,176820844,European Review of Economic History,,115.000000,1.170895,1.400737,1.082168,1.196296,0.924223
255,3035068822,Journal of Organization Design,,100.000000,1.167394,1.167369,1.009039,0.999979,0.864352
256,2764736659,Journal of Economic and Administrative Sciences,,14.000000,1.166218,2.561853,2.106810,2.196718,1.806531
257,38901890,International Journal of Accounting Information Systems,,108.000000,1.164562,1.200095,1.121221,1.030512,0.962783
258,99768379,Management Learning,,218.000000,1.163770,1.311262,1.045076,1.126736,0.898009
259,2735620406,Journal of Professions and Organization,,102.000000,1.159626,1.372333,1.098258,1.183427,0.947079
260,59007373,Supply Chain Management An International Journal,B,248.000000,1.158811,1.100740,1.087231,0.949887,0.938230
261,25235501,Journal of Retailing and Consumer Services,,1669.000000,1.158588,1.139758,1.074653,0.983748,0.927554
262,86762183,Journal of Accounting and Public Policy,,266.000000,1.153274,1.018301,1.000067,0.882966,0.867155
263,38613568,Journal of Change Management,,87.000000,1.140797,1.138250,1.080894,0.997767,0.947490
264,184126201,British Journal of Management,,463.000000,1.139806,1.024950,0.980043,0.899231,0.859832
265,194824457,The Geneva Risk and Insurance Review,,54.000000,1.139042,1.271721,1.149619,1.116484,1.009286
266,153861934,Journal of Marketing Education,,112.000000,1.138253,1.231005,1.130818,1.081487,0.993469
267,4210186350,Journal of Competition Law & Economics,,33.000000,1.136997,1.628834,1.352394,1.432576,1.189444
268,184816971,International Journal of Production Economics,,1230.000000,1.133057,0.942393,0.997895,0.831726,0.880711
269,99067594,Journal of Industrial Economics,,149.000000,1.125934,1.559113,1.049934,1.384729,0.932500
270,6450948,Issues in Accounting Education,,178.000000,1.120802,1.197768,1.019620,1.068671,0.909724
271,114571967,National Institute Economic Review,E,101.000000,1.117826,1.061204,1.006065,0.949346,0.900020
272,140059072,Human Resource Development International,,185.000000,1.117027,0.941313,0.967408,0.842695,0.866056
273,195188575,Marketing Theory,,173.000000,1.116460,1.334475,1.058797,1.195274,0.948352
274,90027464,Journal of Time Series Econometrics,,26.000000,1.112757,1.561031,1.394358,1.402850,1.253066
275,960608072,Journal of International Management,,277.000000,1.112605,1.203429,1.048851,1.081632,0.942698
276,2764399430,Journal of Responsible Innovation,,195.000000,1.111933,0.754096,0.937524,0.678185,0.843147
277,173807628,International Journal of Consumer Studies,,464.000000,1.110096,0.986409,0.998403,0.888580,0.899384
278,39307421,Technological Forecasting and Social Change,,3023.000000,1.109199,0.895181,0.974445,0.807051,0.878513
279,4210191553,Journal of Law Finance and Accounting,,25.000000,1.107146,1.932255,1.574984,1.745257,1.422561
280,94499970,Energy Economics,,2609.000000,1.106670,0.748327,0.911105,0.676197,0.823286
281,165057322,Production Planning & Control,,530.000000,1.105733,1.005116,1.018263,0.909005,0.920894
282,2764372386,Journal of Behavioral and Experimental Finance,,406.000000,1.102003,0.927829,0.984208,0.841947,0.893108
283,89389284,European Journal of Marketing,,576.000000,1.100475,1.041502,0.970806,0.946411,0.882170
