source_id,dd_name,incites_name,journal_name,ISSN,categories,Categories_1
https://openalex.org/S72915307,ORGANIZATION,ORGANIZATION,Organization,1350-5084,[MANAGEMENT],
https://openalex.org/S130699561,TECHNOLOGY ANALYSIS & STRATEGIC MANAGEMENT,TECHNOLOGY ANALYSIS & STRATEGIC MANAGEMENT,Technology Analysis and Strategic Management,0953-7325,[MANAGEMENT],
https://openalex.org/S206124708,ORGANIZATION SCIENCE,ORGANIZATION SCIENCE,Organization Science,1047-7039,[MANAGEMENT],
https://openalex.org/S115237062,JOURNAL OF ECONOMICS & MANAGEMENT STRATEGY,JOURNAL OF ECONOMICS & MANAGEMENT STRATEGY,Journal of Economics & Management Strategy,1058-6407,"[ECONOMICS, MANAGEMENT]",
https://openalex.org/S197396629,British Accounting Review,BRITISH ACCOUNTING REVIEW,The British Accounting Review,0890-8389,"['BUSINESS, FINANCE']",
https://openalex.org/S4210168091,JOURNAL OF LAW ECONOMICS & ORGANIZATION,JOURNAL OF LAW ECONOMICS & ORGANIZATION,The Journal of Law Economics and Organization,8756-6222,[ECONOMICS],
https://openalex.org/S185905316,JOURNAL OF TECHNOLOGY TRANSFER,JOURNAL OF TECHNOLOGY TRANSFER,The Journal of Technology Transfer,0892-9912,[MANAGEMENT],
https://openalex.org/S97320426,Journal of Supply Chain Management,JOURNAL OF SUPPLY CHAIN MANAGEMENT,Journal of Supply Chain Management,1523-2409,[MANAGEMENT],
https://openalex.org/S58171247,Journal of Product and Brand Management,JOURNAL OF PRODUCT AND BRAND MANAGEMENT,Journal of Product & Brand Management,1061-0421,"[BUSINESS, MANAGEMENT]",
https://openalex.org/S34542846,EMPLOYEE RELATIONS,EMPLOYEE RELATIONS,Employee Relations,0142-5455,"[INDUSTRIAL RELATIONS & LABOR, MANAGEMENT]",
https://openalex.org/S203860005,QUARTERLY JOURNAL OF ECONOMICS,QUARTERLY JOURNAL OF ECONOMICS,The Quarterly Journal of Economics,0033-5533,[ECONOMICS],
https://openalex.org/S16296580,SOUTHERN ECONOMIC JOURNAL,SOUTHERN ECONOMIC JOURNAL,Southern Economic Journal,0038-4038,[ECONOMICS],
https://openalex.org/S29817978,Marketing Intelligence & Planning,MARKETING INTELLIGENCE & PLANNING,Marketing Intelligence & Planning,0263-4503,[BUSINESS],
https://openalex.org/S86125002,ENVIRONMENTAL & RESOURCE ECONOMICS,ENVIRONMENTAL & RESOURCE ECONOMICS,Environmental and Resource Economics,0924-6460,"[ECONOMICS, ENVIRONMENTAL STUDIES]",
https://openalex.org/S152282257,JOURNAL OF CORPORATE FINANCE,JOURNAL OF CORPORATE FINANCE,Journal of Corporate Finance,0929-1199,"['BUSINESS, FINANCE']",
https://openalex.org/S113497174,Human Resource Management Journal,HUMAN RESOURCE MANAGEMENT JOURNAL,Human Resource Management Journal,0954-5395,"[INDUSTRIAL RELATIONS & LABOR, MANAGEMENT]",
https://openalex.org/S145507837,INDUSTRIAL AND CORPORATE CHANGE,INDUSTRIAL AND CORPORATE CHANGE,Industrial and Corporate Change,0960-6491,"[BUSINESS, ECONOMICS, MANAGEMENT]",
https://openalex.org/S136661304,Managerial Auditing Journal,MANAGERIAL AUDITING JOURNAL,Managerial Auditing Journal,0268-6902,"['BUSINESS, FINANCE', MANAGEMENT]",
https://openalex.org/S4210171086,Journal of Risk,JOURNAL OF RISK,The Journal of Risk,1465-1211,"['BUSINESS, FINANCE']",
https://openalex.org/S177092143,AUSTRALIAN JOURNAL OF MANAGEMENT,AUSTRALIAN JOURNAL OF MANAGEMENT,Australian Journal of Management,0312-8962,"[BUSINESS, MANAGEMENT]",
https://openalex.org/S33235364,Decision Analysis,DECISION ANALYSIS,Decision Analysis,1545-8490,[MANAGEMENT],
https://openalex.org/S10997704,Theoretical Economics,THEORETICAL ECONOMICS,Theoretical Economics,1933-6837,[ECONOMICS],
https://openalex.org/S100711025,Review of Derivatives Research,REVIEW OF DERIVATIVES RESEARCH,Review of Derivatives Research,1380-6645,"['BUSINESS, FINANCE', ECONOMICS]",
https://openalex.org/S4210224898,Journal of Service Theory and Practice,JOURNAL OF SERVICE THEORY AND PRACTICE,Journal of Service Theory and Practice,2055-6225,"[BUSINESS, MANAGEMENT]",
https://openalex.org/S200768828,Cepal Review,CEPAL REVIEW,CEPAL review,0251-2920,[ECONOMICS],
https://openalex.org/S196564809,B E Journal of Macroeconomics,B E JOURNAL OF MACROECONOMICS,The B E Journal of Macroeconomics,2194-6116,[ECONOMICS],
https://openalex.org/S2913545599,Spanish Journal of Finance and Accounting-Revista Espanola de Financiacion y Contabilidad,SPANISH JOURNAL OF FINANCE AND ACCOUNTING-REVISTA ESPANOLA DE FINANCIACION Y CONTABILIDAD,Spanish Journal of Finance and Accounting / Revista Española de Financiación y Contabilidad,0210-2412,"['BUSINESS, FINANCE']",
https://openalex.org/S16146169,International Journal of Economic Theory,INTERNATIONAL JOURNAL OF ECONOMIC THEORY,International Journal of Economic Theory,1742-7355,[ECONOMICS],
https://openalex.org/S148909191,MARKETING LETTERS,MARKETING LETTERS,Marketing Letters,0923-0645,[BUSINESS],
https://openalex.org/S196715598,Annual Review of Economics,ANNUAL REVIEW OF ECONOMICS,Annual Review of Economics,1941-1383,[ECONOMICS],
https://openalex.org/S960608072,Journal of International Management,JOURNAL OF INTERNATIONAL MANAGEMENT,Journal of International Management,1075-4253,[MANAGEMENT],
https://openalex.org/S38901890,International Journal of Accounting Information Systems,INTERNATIONAL JOURNAL OF ACCOUNTING INFORMATION SYSTEMS,International Journal of Accounting Information Systems,1467-0895,"[BUSINESS, 'BUSINESS, FINANCE', MANAGEMENT]",
https://openalex.org/S15976965,REVUE D ETUDES COMPARATIVES EST-OUEST,REVUE D ETUDES COMPARATIVES EST-OUEST,Revue d’études comparatives Est-Ouest,0338-0599,[ECONOMICS],
https://openalex.org/S4394735553,Annals of Public and Cooperative Economics,ANNALS OF PUBLIC AND COOPERATIVE ECONOMICS,Annals of Public and Cooperative Economics,1370-4788,[ECONOMICS],
https://openalex.org/S160393188,JOURNAL OF THE JAPANESE AND INTERNATIONAL ECONOMIES,JOURNAL OF THE JAPANESE AND INTERNATIONAL ECONOMIES,Journal of the Japanese and International Economies,0889-1583,[ECONOMICS],
https://openalex.org/S183939566,Sustainability Accounting Management and Policy Journal,SUSTAINABILITY ACCOUNTING MANAGEMENT AND POLICY JOURNAL,Sustainability Accounting Management and Policy Journal,2040-8021,"['BUSINESS, FINANCE', ENVIRONMENTAL STUDIES, MANAGEMENT]",
https://openalex.org/S127708089,JOURNAL OF ECONOMIC LITERATURE,JOURNAL OF ECONOMIC LITERATURE,Journal of Economic Literature,0022-0515,[ECONOMICS],
https://openalex.org/S184126201,BRITISH JOURNAL OF MANAGEMENT,BRITISH JOURNAL OF MANAGEMENT,British Journal of Management,1045-3172,"[BUSINESS, MANAGEMENT]",
https://openalex.org/S1076045,Culture and Organization,CULTURE AND ORGANIZATION,Culture and Organization,1475-9551,[MANAGEMENT],
https://openalex.org/S181356434,Accounting Horizons,ACCOUNTING HORIZONS,Accounting Horizons,0888-7993,"['BUSINESS, FINANCE']",
https://openalex.org/S2764690196,Journal of Choice Modelling,JOURNAL OF CHOICE MODELLING,Journal of Choice Modelling,1755-5345,[ECONOMICS],
https://openalex.org/S23254222,AMERICAN ECONOMIC REVIEW,AMERICAN ECONOMIC REVIEW,American Economic Review,0002-8282,[ECONOMICS],
https://openalex.org/S118119388,Journal of Family Business Strategy,JOURNAL OF FAMILY BUSINESS STRATEGY,Journal of Family Business Strategy,1877-8585,"[BUSINESS, MANAGEMENT]",
https://openalex.org/S141600920,FISCAL STUDIES,FISCAL STUDIES,Fiscal Studies,0143-5671,"['BUSINESS, FINANCE', ECONOMICS]",
https://openalex.org/S192056284,Economics of Innovation and New Technology,ECONOMICS OF INNOVATION AND NEW TECHNOLOGY,Economics of Innovation and New Technology,1043-8599,[ECONOMICS],
https://openalex.org/S11394615,Strategic Organization,STRATEGIC ORGANIZATION,Strategic Organization,1476-1270,"[BUSINESS, MANAGEMENT]",
https://openalex.org/S61446109,HUMAN RELATIONS,HUMAN RELATIONS,Human Relations,0018-7267,[MANAGEMENT],
https://openalex.org/S75845752,AUDITING-A JOURNAL OF PRACTICE & THEORY,AUDITING-A JOURNAL OF PRACTICE & THEORY,Auditing A Journal of Practice & Theory,0278-0380,"['BUSINESS, FINANCE']",
https://openalex.org/S90477801,JOURNAL OF TRANSPORT ECONOMICS AND POLICY,JOURNAL OF TRANSPORT ECONOMICS AND POLICY,Journal of transport economics and policy,0022-5258,"[ECONOMICS, TRANSPORTATION]",
https://openalex.org/S195188575,Marketing Theory,MARKETING THEORY,Marketing Theory,1470-5931,[BUSINESS],
https://openalex.org/S27632631,Journal of Brand Management,JOURNAL OF BRAND MANAGEMENT,Journal of Brand Management,1350-231X,"[BUSINESS, MANAGEMENT]",
https://openalex.org/S173901576,Journal of Derivatives,JOURNAL OF DERIVATIVES,The Journal of Derivatives,1074-1240,"['BUSINESS, FINANCE']",
https://openalex.org/S62126747,SINGAPORE ECONOMIC REVIEW,SINGAPORE ECONOMIC REVIEW,The Singapore Economic Review,0217-5908,[ECONOMICS],
https://openalex.org/S39263009,Research in Transportation Economics,RESEARCH IN TRANSPORTATION ECONOMICS,Research in Transportation Economics,0739-8859,"[ECONOMICS, TRANSPORTATION]",
https://openalex.org/S2738677470,Oeconomia Copernicana,OECONOMIA COPERNICANA,Oeconomia Copernicana,2083-1277,[ECONOMICS],
https://openalex.org/S4210235487,BETRIEBSWIRTSCHAFTLICHE FORSCHUNG UND PRAXIS,BETRIEBSWIRTSCHAFTLICHE FORSCHUNG UND PRAXIS,Betriebswirtschaftliche Forschung und Praxis,0340-5370,"[BUSINESS, MANAGEMENT]",
https://openalex.org/S131296671,Accounting Forum,ACCOUNTING FORUM,Accounting Forum,0155-9982,"['BUSINESS, FINANCE']",
https://openalex.org/S132210109,INTERNATIONAL JOURNAL OF GAME THEORY,INTERNATIONAL JOURNAL OF GAME THEORY,International Journal of Game Theory,0020-7276,[ECONOMICS],
https://openalex.org/S2764792399,Investment Analysts Journal,INVESTMENT ANALYSTS JOURNAL,Investment Analysts Journal,1029-3523,"['BUSINESS, FINANCE']",
https://openalex.org/S76844451,Annual Review of Resource Economics,ANNUAL REVIEW OF RESOURCE ECONOMICS,Annual Review of Resource Economics,1941-1340,"[AGRICULTURAL ECONOMICS & POLICY, ECONOMICS, ENVIRONMENTAL STUDIES]",
https://openalex.org/S2898409089,BRQ-Business Research Quarterly,BRQ-BUSINESS RESEARCH QUARTERLY,BRQ Business Research Quarterly,2340-9444,"[BUSINESS, MANAGEMENT]",
https://openalex.org/S36588791,JOURNAL OF AFRICAN ECONOMIES,JOURNAL OF AFRICAN ECONOMIES,Journal of African Economies,0963-8024,[ECONOMICS],
https://openalex.org/S14468722,JOURNAL OF AGRICULTURAL ECONOMICS,JOURNAL OF AGRICULTURAL ECONOMICS,Journal of Agricultural Economics,0021-857X,"[AGRICULTURAL ECONOMICS & POLICY, ECONOMICS]",
https://openalex.org/S116345831,International Journal of Emerging Markets,INTERNATIONAL JOURNAL OF EMERGING MARKETS,International Journal of Emerging Markets,1746-8809,"[BUSINESS, ECONOMICS, MANAGEMENT]",
https://openalex.org/S196716848,Journal of Human Capital,JOURNAL OF HUMAN CAPITAL,Journal of Human Capital,1932-8575,[ECONOMICS],
https://openalex.org/S948502762,Hacienda Publica Espanola-Review of Public Economics,HACIENDA PUBLICA ESPANOLA-REVIEW OF PUBLIC ECONOMICS,Revista Hacienda Pública Española,0210-1173,[ECONOMICS],
https://openalex.org/S27614628,Academy of Management Annals,ACADEMY OF MANAGEMENT ANNALS,Academy of Management Annals,1941-6520,"[BUSINESS, MANAGEMENT]",
https://openalex.org/S107033909,Journal of Economics,JOURNAL OF ECONOMICS,Journal of Economics,0931-8658,[ECONOMICS],
https://openalex.org/S154010748,MANAGEMENT DECISION,MANAGEMENT DECISION,Management Decision,0025-1747,"[BUSINESS, MANAGEMENT]",
https://openalex.org/S31748134,INDUSTRIAL MARKETING MANAGEMENT,INDUSTRIAL MARKETING MANAGEMENT,Industrial Marketing Management,0019-8501,"[BUSINESS, MANAGEMENT]",
https://openalex.org/S4210190745,Asia-Pacific Journal of Financial Studies,ASIA-PACIFIC JOURNAL OF FINANCIAL STUDIES,Asia-Pacific Journal of Financial Studies,2041-9945,"['BUSINESS, FINANCE']",
https://openalex.org/S187788904,Journal of Hospitality and Tourism Management,JOURNAL OF HOSPITALITY AND TOURISM MANAGEMENT,Journal of Hospitality and Tourism Management,1447-6770,[MANAGEMENT],
https://openalex.org/S98984247,Computational Economics,COMPUTATIONAL ECONOMICS,Computational Economics,0927-7099,"[ECONOMICS, MANAGEMENT]",
https://openalex.org/S205929853,Electronic Commerce Research,ELECTRONIC COMMERCE RESEARCH,Electronic Commerce Research,1389-5753,"[BUSINESS, MANAGEMENT]",
https://openalex.org/S72258428,Review of Economic Design,REVIEW OF ECONOMIC DESIGN,Review of Economic Design,1434-4742,[ECONOMICS],
https://openalex.org/S2898237991,Economics of Transportation,ECONOMICS OF TRANSPORTATION,Economics of Transportation,2212-0122,"[ECONOMICS, TRANSPORTATION]",
https://openalex.org/S4210218449,Business Ethics the Environment & Responsibility,BUSINESS ETHICS THE ENVIRONMENT & RESPONSIBILITY,Business Ethics the Environment & Responsibility,2694-6416,[BUSINESS],
https://openalex.org/S102949365,STRATEGIC MANAGEMENT JOURNAL,STRATEGIC MANAGEMENT JOURNAL,Strategic Management Journal,0143-2095,"[BUSINESS, MANAGEMENT]",
https://openalex.org/S142990027,JOURNAL OF MARKETING,JOURNAL OF MARKETING,Journal of Marketing,0022-2429,[BUSINESS],
https://openalex.org/S136211407,ECOLOGICAL ECONOMICS,ECOLOGICAL ECONOMICS,Ecological Economics,0921-8009,"[ECOLOGY, ECONOMICS, ENVIRONMENTAL STUDIES]",
https://openalex.org/S62201805,JOURNAL OF ECONOMIC BEHAVIOR & ORGANIZATION,JOURNAL OF ECONOMIC BEHAVIOR & ORGANIZATION,Journal of Economic Behavior & Organization,0167-2681,[ECONOMICS],
https://openalex.org/S94044085,GAMES AND ECONOMIC BEHAVIOR,GAMES AND ECONOMIC BEHAVIOR,Games and Economic Behavior,0899-8256,[ECONOMICS],
https://openalex.org/S93666758,JOURNAL OF ECONOMIC ISSUES,JOURNAL OF ECONOMIC ISSUES,Journal of Economic Issues,0021-3624,[ECONOMICS],
https://openalex.org/S133335107,MATHEMATICAL FINANCE,MATHEMATICAL FINANCE,Mathematical Finance,0960-1627,"['BUSINESS, FINANCE', ECONOMICS]",
https://openalex.org/S103311983,JOURNAL OF ADVERTISING,JOURNAL OF ADVERTISING,Journal of Advertising,0091-3367,"[BUSINESS, COMMUNICATION]",
https://openalex.org/S57862637,JOURNAL OF HOUSING ECONOMICS,JOURNAL OF HOUSING ECONOMICS,Journal of Housing Economics,1051-1377,"[ECONOMICS, URBAN STUDIES]",
https://openalex.org/S133770707,Empirica,EMPIRICA,Empirica,0340-8744,[ECONOMICS],
https://openalex.org/S151491554,GENEVA PAPERS ON RISK AND INSURANCE-ISSUES AND PRACTICE,GENEVA PAPERS ON RISK AND INSURANCE-ISSUES AND PRACTICE,The Geneva Papers on Risk and Insurance Issues and Practice,1018-5895,"['BUSINESS, FINANCE']",
https://openalex.org/S34941771,Venture Capital,VENTURE CAPITAL,Venture Capital,1369-1066,"['BUSINESS, FINANCE']",
https://openalex.org/S94083415,Journal of Behavioral Finance,JOURNAL OF BEHAVIORAL FINANCE,Journal of Behavioral Finance,1542-7560,"['BUSINESS, FINANCE', ECONOMICS]",
https://openalex.org/S73680622,Journal of Pension Economics & Finance,JOURNAL OF PENSION ECONOMICS & FINANCE,Journal of Pensions Economics and Finance,1474-7472,"['BUSINESS, FINANCE', ECONOMICS]",
https://openalex.org/S118637542,European Journal of International Management,EUROPEAN JOURNAL OF INTERNATIONAL MANAGEMENT,European J of International Management,1751-6757,[MANAGEMENT],
https://openalex.org/S18284184,JOURNAL OF POPULATION ECONOMICS,JOURNAL OF POPULATION ECONOMICS,Journal of Population Economics,0933-1433,"[DEMOGRAPHY, ECONOMICS]",
https://openalex.org/S182336501,Career Development International,CAREER DEVELOPMENT INTERNATIONAL,Career Development International,1362-0436,[MANAGEMENT],
https://openalex.org/S170166683,American Economic Journal-Macroeconomics,AMERICAN ECONOMIC JOURNAL-MACROECONOMICS,American Economic Journal Macroeconomics,1945-7707,[ECONOMICS],
https://openalex.org/S125608309,JOURNAL OF SERVICE RESEARCH,JOURNAL OF SERVICE RESEARCH,Journal of Service Research,1094-6705,[BUSINESS],
https://openalex.org/S267729,International Transactions in Operational Research,INTERNATIONAL TRANSACTIONS IN OPERATIONAL RESEARCH,International Transactions in Operational Research,0969-6016,"[MANAGEMENT, OPERATIONS RESEARCH & MANAGEMENT SCIENCE]",
https://openalex.org/S152972827,International Journal of Lean Six Sigma,INTERNATIONAL JOURNAL OF LEAN SIX SIGMA,International Journal of Lean Six Sigma,2040-4166,[MANAGEMENT],
https://openalex.org/S172526255,FINANCE AND STOCHASTICS,FINANCE AND STOCHASTICS,Finance and Stochastics,0949-2984,"['BUSINESS, FINANCE']",
https://openalex.org/S11853582,REVIEW OF ACCOUNTING STUDIES,REVIEW OF ACCOUNTING STUDIES,Review of Accounting Studies,1380-6653,"['BUSINESS, FINANCE']",
https://openalex.org/S4210173904,BROOKINGS PAPERS ON ECONOMIC ACTIVITY,BROOKINGS PAPERS ON ECONOMIC ACTIVITY,Brookings Papers on Economic Activity,0007-2303,[ECONOMICS],
https://openalex.org/S206927904,Asia Pacific Journal of Human Resources,ASIA PACIFIC JOURNAL OF HUMAN RESOURCES,Asia Pacific Journal of Human Resources,1038-4111,"[INDUSTRIAL RELATIONS & LABOR, MANAGEMENT]",
https://openalex.org/S90873577,Journal of Economic Inequality,JOURNAL OF ECONOMIC INEQUALITY,The Journal of Economic Inequality,1569-1721,[ECONOMICS],
https://openalex.org/S4210173643,International Journal of Health Economics and Management,INTERNATIONAL JOURNAL OF HEALTH ECONOMICS AND MANAGEMENT,International Journal of Health Economics and Management,2199-9023,"['BUSINESS, FINANCE', ECONOMICS, HEALTH POLICY & SERVICES]",
https://openalex.org/S4210186250,Journal of Competitiveness,JOURNAL OF COMPETITIVENESS,Journal of Competitiveness,1804-171X,"[BUSINESS, ECONOMICS, MANAGEMENT]",
https://openalex.org/S45682993,Academy of Management Learning & Education,ACADEMY OF MANAGEMENT LEARNING & EDUCATION,Academy of Management Learning and Education,1537-260X,[MANAGEMENT],
https://openalex.org/S45224653,Journal of Research in Interactive Marketing,JOURNAL OF RESEARCH IN INTERACTIVE MARKETING,Journal of Research in Interactive Marketing,2040-7122,[BUSINESS],
https://openalex.org/S4210201861,Applied Economic Perspectives and Policy,APPLIED ECONOMIC PERSPECTIVES AND POLICY,Applied Economic Perspectives and Policy,2040-5790,"[AGRICULTURAL ECONOMICS & POLICY, ECONOMICS]",
https://openalex.org/S136745531,MACROECONOMIC DYNAMICS,MACROECONOMIC DYNAMICS,Macroeconomic Dynamics,1365-1005,[ECONOMICS],
https://openalex.org/S107036887,Asia Pacific Journal of Management,ASIA PACIFIC JOURNAL OF MANAGEMENT,Asia Pacific Journal of Management,0217-4561,[MANAGEMENT],
https://openalex.org/S115091506,Technological and Economic Development of Economy,TECHNOLOGICAL AND ECONOMIC DEVELOPMENT OF ECONOMY,Technological and Economic Development of Economy,2029-4913,[ECONOMICS],
https://openalex.org/S159120381,JOURNAL OF RETAILING,JOURNAL OF RETAILING,Journal of Retailing,0022-4359,[BUSINESS],
https://openalex.org/S34139249,RAND JOURNAL OF ECONOMICS,RAND JOURNAL OF ECONOMICS,The RAND Journal of Economics,0741-6261,[ECONOMICS],
https://openalex.org/S138645024,JOURNAL OF COMPARATIVE ECONOMICS,JOURNAL OF COMPARATIVE ECONOMICS,Journal of Comparative Economics,0147-5967,[ECONOMICS],
https://openalex.org/S59042063,Asian-Pacific Economic Literature,ASIAN-PACIFIC ECONOMIC LITERATURE,Asian-Pacific Economic Literature,0818-9935,[ECONOMICS],
https://openalex.org/S205793605,Business Strategy and the Environment,BUSINESS STRATEGY AND THE ENVIRONMENT,Business Strategy and the Environment,0964-4733,"[BUSINESS, ENVIRONMENTAL STUDIES, MANAGEMENT]",
https://openalex.org/S92565720,OXFORD BULLETIN OF ECONOMICS AND STATISTICS,OXFORD BULLETIN OF ECONOMICS AND STATISTICS,Oxford Bulletin of Economics and Statistics,0305-9049,[ECONOMICS],
https://openalex.org/S185253248,HUMAN RESOURCE MANAGEMENT REVIEW,HUMAN RESOURCE MANAGEMENT REVIEW,Human Resource Management Review,1053-4822,[MANAGEMENT],
https://openalex.org/S4210215964,South African Journal of Business Management,SOUTH AFRICAN JOURNAL OF BUSINESS MANAGEMENT,South African Journal of Business Management,2078-5585,"[BUSINESS, MANAGEMENT]",
https://openalex.org/S2764892107,Multinational Business Review,MULTINATIONAL BUSINESS REVIEW,Multinational Business Review,1525-383X,[BUSINESS],
https://openalex.org/S71783669,Review of International Economics,REVIEW OF INTERNATIONAL ECONOMICS,Review of International Economics,0965-7576,[ECONOMICS],
https://openalex.org/S153485742,SOCIO-ECONOMIC PLANNING SCIENCES,SOCIO-ECONOMIC PLANNING SCIENCES,Socio-Economic Planning Sciences,0038-0121,"[ECONOMICS, MANAGEMENT, OPERATIONS RESEARCH & MANAGEMENT SCIENCE]",
https://openalex.org/S25235501,Journal of Retailing and Consumer Services,JOURNAL OF RETAILING AND CONSUMER SERVICES,Journal of Retailing and Consumer Services,0969-6989,[BUSINESS],
https://openalex.org/S192266589,GROUP & ORGANIZATION MANAGEMENT,GROUP & ORGANIZATION MANAGEMENT,Group & Organization Management,1059-6011,[MANAGEMENT],
https://openalex.org/S201533460,APPLIED ECONOMICS,APPLIED ECONOMICS,Applied Economics,0003-6846,[ECONOMICS],
https://openalex.org/S31225034,Journal of Cultural Economics,JOURNAL OF CULTURAL ECONOMICS,Journal of Cultural Economics,0885-2545,[ECONOMICS],
https://openalex.org/S140842003,Review of Environmental Economics and Policy,REVIEW OF ENVIRONMENTAL ECONOMICS AND POLICY,Review of Environmental Economics and Policy,1750-6816,"[ECONOMICS, ENVIRONMENTAL STUDIES]",
https://openalex.org/S23218617,Journal of International Trade & Economic Development,JOURNAL OF INTERNATIONAL TRADE & ECONOMIC DEVELOPMENT,Journal of International Trade & Economic Development,0963-8199,[ECONOMICS],
https://openalex.org/S200274427,Pacific Economic Review,PACIFIC ECONOMIC REVIEW,Pacific Economic Review,1361-374X,[ECONOMICS],
https://openalex.org/S171031257,China Agricultural Economic Review,CHINA AGRICULTURAL ECONOMIC REVIEW,China Agricultural Economic Review,1756-137X,"[AGRICULTURAL ECONOMICS & POLICY, ECONOMICS]",
https://openalex.org/S194824457,Geneva Risk and Insurance Review,GENEVA RISK AND INSURANCE REVIEW,The Geneva Risk and Insurance Review,1554-964X,"['BUSINESS, FINANCE', ECONOMICS]",
https://openalex.org/S2764655866,Review of Keynesian Economics,REVIEW OF KEYNESIAN ECONOMICS,Review of Keynesian Economics,2049-5323,[ECONOMICS],
https://openalex.org/S2494413385,Economic Computation and Economic Cybernetics Studies and Research,ECONOMIC COMPUTATION AND ECONOMIC CYBERNETICS STUDIES AND RESEARCH,ECONOMIC COMPUTATION AND ECONOMIC CYBERNETICS STUDIES AND RESEARCH,0424-267X,[ECONOMICS],
https://openalex.org/S92223472,Astin Bulletin-The Journal of the International Actuarial Association,ASTIN BULLETIN-THE JOURNAL OF THE INTERNATIONAL ACTUARIAL ASSOCIATION,Astin Bulletin,0515-0361,[ECONOMICS],
https://openalex.org/S5984737,JOURNAL OF FINANCIAL INTERMEDIATION,JOURNAL OF FINANCIAL INTERMEDIATION,Journal of Financial Intermediation,1042-9573,"['BUSINESS, FINANCE']",
https://openalex.org/S148397273,FEMINIST ECONOMICS,FEMINIST ECONOMICS,Feminist Economics,1354-5701,[ECONOMICS],
https://openalex.org/S72880728,JOURNAL OF ECONOMIC PERSPECTIVES,JOURNAL OF ECONOMIC PERSPECTIVES,The Journal of Economic Perspectives,0895-3309,[ECONOMICS],
https://openalex.org/S61992289,JOURNAL OF ADVERTISING RESEARCH,JOURNAL OF ADVERTISING RESEARCH,Journal of Advertising Research,0021-8499,"[BUSINESS, COMMUNICATION]",
https://openalex.org/S92709572,JOURNAL OF INTERACTIVE MARKETING,JOURNAL OF INTERACTIVE MARKETING,Journal of Interactive Marketing,1094-9968,[BUSINESS],
https://openalex.org/S83145862,HISTORY OF POLITICAL ECONOMY,HISTORY OF POLITICAL ECONOMY,History of Political Economy,0018-2702,[ECONOMICS],
https://openalex.org/S99768379,MANAGEMENT LEARNING,MANAGEMENT LEARNING,Management Learning,1350-5076,[MANAGEMENT],
https://openalex.org/S4210233753,Journal of Behavioral and Experimental Economics,JOURNAL OF BEHAVIORAL AND EXPERIMENTAL ECONOMICS,Journal of Behavioral and Experimental Economics,2214-8043,[ECONOMICS],
https://openalex.org/S131852005,European Financial Management,EUROPEAN FINANCIAL MANAGEMENT,European Financial Management,1354-7798,"['BUSINESS, FINANCE']",
https://openalex.org/S165058066,RESOURCE AND ENERGY ECONOMICS,RESOURCE AND ENERGY ECONOMICS,Resource and Energy Economics,0928-7655,"[ECONOMICS, ENVIRONMENTAL STUDIES]",
https://openalex.org/S206007305,Economic Systems,ECONOMIC SYSTEMS,Economic Systems,0939-3625,[ECONOMICS],
https://openalex.org/S9551102,International Journal of Central Banking,INTERNATIONAL JOURNAL OF CENTRAL BANKING,International journal of central banking,1815-4654,"['BUSINESS, FINANCE']",
