journal,source_id,journal_name,ISSN,verified
TECHNOLOGICAL AND ECONOMIC DEVELOPMENT OF ECONOMY,https://openalex.org/S115091506,Technological and Economic Development of Economy,2029-4913,True
JOURNAL OF ECONOMICS & MANAGEMENT STRATEGY,https://openalex.org/S115237062,Journal of Economics & Management Strategy,1058-6407,True
NATIONAL TAX JOURNAL,https://openalex.org/S116184629,National Tax Journal,0028-0283,True
INTERNATIONAL JOURNAL OF EMERGING MARKETS,https://openalex.org/S116345831,International Journal of Emerging Markets,1746-8809,True
JOURNAL OF RISK AND INSURANCE,https://openalex.org/S116483603,Journal of Risk & Insurance,0022-4367,True
ASIAN ECONOMIC JOURNAL,https://openalex.org/S116662517,Asian Economic Journal,1351-3958,True
ASIAN JOURNAL OF TECHNOLOGY INNOVATION,https://openalex.org/S116778711,Asian Journal of Technology Innovation,1976-1597,True
ASIA PACIFIC BUSINESS REVIEW,https://openalex.org/S117460449,Asia Pacific Business Review,1360-2381,True
JOURNAL OF CONTINGENCIES AND CRISIS MANAGEMENT,https://openalex.org/S117541660,Journal of Contingencies and Crisis Management,0966-0879,True
WORLD BANK RESEARCH OBSERVER,https://openalex.org/S117685085,The World Bank Research Observer,0257-3032,True
ACADEMY OF MANAGEMENT JOURNAL,https://openalex.org/S117778295,Academy of Management Journal,0001-4273,True
INTERNATIONAL JOURNAL OF RESEARCH IN MARKETING,https://openalex.org/S11810700,International Journal of Research in Marketing,0167-8116,True
JOURNAL OF FAMILY BUSINESS STRATEGY,https://openalex.org/S118119388,Journal of Family Business Strategy,1877-8585,True
JOURNAL OF HOSPITALITY MARKETING & MANAGEMENT,https://openalex.org/S118298121,Journal of Hospitality Marketing & Management,1936-8623,True
REVIEW OF ACCOUNTING STUDIES,https://openalex.org/S11853582,Review of Accounting Studies,1380-6653,True
EUROPEAN JOURNAL OF INTERNATIONAL MANAGEMENT,https://openalex.org/S118637542,European J of International Management,1751-6757,True
JOURNAL OF BUSINESS & INDUSTRIAL MARKETING,https://openalex.org/S119587767,Journal of Business and Industrial Marketing,0885-8624,True
JOURNAL OF INTERNATIONAL MARKETING,https://openalex.org/S119908498,Journal of International Marketing,1069-031X,True
JOURNAL OF MARKETING RESEARCH,https://openalex.org/S119950638,Journal of Marketing Research,0022-2437,True
ENGINEERING CONSTRUCTION AND ARCHITECTURAL MANAGEMENT,https://openalex.org/S120049674,Engineering Construction & Architectural Management,0969-9988,True
REVIEW OF ECONOMICS OF THE HOUSEHOLD,https://openalex.org/S120253869,Review of Economics of the Household,1569-5239,True
JOURNAL OF EVOLUTIONARY ECONOMICS,https://openalex.org/S121026525,Journal of Evolutionary Economics,0936-9937,True
INTERNATIONAL REVIEW OF LAW AND ECONOMICS,https://openalex.org/S121409115,International Review of Law and Economics,0144-8188,True
JOURNAL OF FINANCIAL STABILITY,https://openalex.org/S121634618,Journal of Financial Stability,1572-3089,True
JOURNAL OF ECONOMIC HISTORY,https://openalex.org/S122073985,The Journal of Economic History,0022-0507,True
JOURNAL OF FORECASTING,https://openalex.org/S122161766,Journal of Forecasting,0277-6693,True
JCMS-JOURNAL OF COMMON MARKET STUDIES,https://openalex.org/S122406424,JCMS Journal of Common Market Studies,0021-9886,True
JOURNAL OF MANAGEMENT,https://openalex.org/S122767448,Journal of Management,0149-2063,True
INFORMATION TECHNOLOGY & MANAGEMENT,https://openalex.org/S122922407,Information Technology and Management,1385-951X,True
MATHEMATICS AND FINANCIAL ECONOMICS,https://openalex.org/S124412575,Mathematics and Financial Economics,1862-9679,True
JOURNAL OF ECONOMIC SURVEYS,https://openalex.org/S124549413,Journal of Economic Surveys,0950-0804,True
QUARTERLY REVIEW OF ECONOMICS AND FINANCE,https://openalex.org/S125273398,The Quarterly Review of Economics and Finance,1062-9769,True
JOURNAL OF SERVICE RESEARCH,https://openalex.org/S125608309,Journal of Service Research,1094-6705,True
INVESTIGACION ECONOMICA,https://openalex.org/S125733402,Investigación Económica,0185-1667,True
SYSTEMS RESEARCH AND BEHAVIORAL SCIENCE,https://openalex.org/S126013225,Systems Research and Behavioral Science,1092-7026,True
NBER MACROECONOMICS ANNUAL,https://openalex.org/S127060114,NBER Macroeconomics Annual,0889-3365,True
JOURNAL OF FINANCIAL MARKETS,https://openalex.org/S127646213,Journal of Financial Markets,1386-4181,True
JOURNAL OF ECONOMIC LITERATURE,https://openalex.org/S127708089,Journal of Economic Literature,0022-0515,True
JOURNAL OF ECONOMETRICS,https://openalex.org/S127742747,Journal of Econometrics,0304-4076,True
DEVELOPING ECONOMIES,https://openalex.org/S128035191,The Developing Economies,0012-1533,True
CORPORATE SOCIAL RESPONSIBILITY AND ENVIRONMENTAL MANAGEMENT,https://openalex.org/S12818680,Corporate Social Responsibility and Environmental Management,1535-3958,True
ECONOMICS AND PHILOSOPHY,https://openalex.org/S128223704,Economics and Philosophy,0266-2671,True
MANAGEMENT INTERNATIONAL REVIEW,https://openalex.org/S128478731,Management International Review,0938-8249,True
JOURNAL OF ECONOMIC EDUCATION,https://openalex.org/S128621090,The Journal of Economic Education,0022-0485,True
REAL ESTATE ECONOMICS,https://openalex.org/S129086836,Real Estate Economics,1080-8620,True
OPEN ECONOMIES REVIEW,https://openalex.org/S129650269,Open Economies Review,0923-7992,True
ECONOMIC RECORD,https://openalex.org/S130179515,Economic Record,0013-0249,True
FUTURES,https://openalex.org/S130638383,Futures,0016-3287,True
TECHNOLOGY ANALYSIS & STRATEGIC MANAGEMENT,https://openalex.org/S130699561,Technology Analysis and Strategic Management,0953-7325,True
REVIEW OF FINANCE,https://openalex.org/S131117787,Review of Finance,1572-3097,True
ACCOUNTING FORUM,https://openalex.org/S131296671,Accounting Forum,0155-9982,True
EUROPEAN FINANCIAL MANAGEMENT,https://openalex.org/S131852005,European Financial Management,1354-7798,True
INTERNATIONAL JOURNAL OF GAME THEORY,https://openalex.org/S132210109,International Journal of Game Theory,0020-7276,True
CREATIVITY AND INNOVATION MANAGEMENT,https://openalex.org/S132285554,Creativity and Innovation Management,0963-1690,True
MATHEMATICAL FINANCE,https://openalex.org/S133335107,Mathematical Finance,0960-1627,True
ORGANIZATIONAL RESEARCH METHODS,https://openalex.org/S133599136,Organizational Research Methods,1094-4281,True
EMPIRICA,https://openalex.org/S133770707,Empirica,0340-8744,True
HUMAN RESOURCE MANAGEMENT,https://openalex.org/S134094273,Human Resource Management,0090-4848,True
THEORY AND DECISION,https://openalex.org/S134979503,Theory and Decision,0040-5833,True
ECONOMETRIC REVIEWS,https://openalex.org/S134988049,Econometric Reviews,0747-4938,True
ECOLOGICAL ECONOMICS,https://openalex.org/S136211407,Ecological Economics,0921-8009,True
JOURNAL OF FUTURES MARKETS,https://openalex.org/S136612413,Journal of Futures Markets,0270-7314,True
MANAGERIAL AUDITING JOURNAL,https://openalex.org/S136661304,Managerial Auditing Journal,0268-6902,True
GERMAN ECONOMIC REVIEW,https://openalex.org/S13669392,German Economic Review,1465-6485,True
MACROECONOMIC DYNAMICS,https://openalex.org/S136745531,Macroeconomic Dynamics,1365-1005,True
ELECTRONIC MARKETS,https://openalex.org/S137519996,Electronic Markets,1019-6781,True
MANAGERIAL AND DECISION ECONOMICS,https://openalex.org/S138400101,Managerial and Decision Economics,0143-6570,True
JOURNAL OF COMPARATIVE ECONOMICS,https://openalex.org/S138645024,Journal of Comparative Economics,0147-5967,True
JOURNAL OF BUSINESS-TO-BUSINESS MARKETING,https://openalex.org/S139478629,Journal of Business-to-Business Marketing,1051-712X,True
REVISTA DE ECONOMIA MUNDIAL,https://openalex.org/S140389752,Revista de Economía Mundial,1576-0162,True
CORNELL HOSPITALITY QUARTERLY,https://openalex.org/S140551370,Cornell Hospitality Quarterly,1938-9655,True
REVIEW OF ENVIRONMENTAL ECONOMICS AND POLICY,https://openalex.org/S140842003,Review of Environmental Economics and Policy,1750-6816,True
ECONOMIC MODELLING,https://openalex.org/S141184754,Economic Modelling,0264-9993,True
FISCAL STUDIES,https://openalex.org/S141600920,Fiscal Studies,0143-5671,True
JOURNAL OF OPERATIONS MANAGEMENT,https://openalex.org/S142306484,Journal of Operations Management,0272-6963,True
JOURNAL OF CONTEMPORARY ACCOUNTING & ECONOMICS,https://openalex.org/S142725411,Journal of Contemporary Accounting & Economics,1815-5669,True
JOURNAL OF MARKETING MANAGEMENT,https://openalex.org/S14291815,Journal of Marketing Management,0267-257X,True
JOURNAL OF MARKETING,https://openalex.org/S142990027,Journal of Marketing,0022-2429,True
ADMINISTRATIVE SCIENCE QUARTERLY,https://openalex.org/S143668711,Administrative Science Quarterly,0001-8392,True
JOURNAL OF PORTFOLIO MANAGEMENT,https://openalex.org/S143806524,The Journal of Portfolio Management,0095-4918,True
JOURNAL OF WORLD BUSINESS,https://openalex.org/S143995394,Journal of World Business,1090-9516,True
JOURNAL OF AGRICULTURAL ECONOMICS,https://openalex.org/S14468722,Journal of Agricultural Economics,0021-857X,True
AUSTRALIAN ACCOUNTING REVIEW,https://openalex.org/S144747835,Australian Accounting Review,1035-6908,True
HEALTH ECONOMICS,https://openalex.org/S145200904,Health Economics,1057-9230,True
JOURNAL OF CONSUMER RESEARCH,https://openalex.org/S145429826,Journal of Consumer Research,0093-5301,True
EXPLORATIONS IN ECONOMIC HISTORY,https://openalex.org/S145471836,Explorations in Economic History,0014-4983,True
INDUSTRIAL AND CORPORATE CHANGE,https://openalex.org/S145507837,Industrial and Corporate Change,0960-6491,True
INTERNATIONAL REVIEW OF FINANCIAL ANALYSIS,https://openalex.org/S145572626,International Review of Financial Analysis,1057-5219,True
JOURNAL OF EMPIRICAL FINANCE,https://openalex.org/S145875555,Journal of Empirical Finance,0927-5398,True
INTERNATIONAL JOURNAL OF FINANCE & ECONOMICS,https://openalex.org/S146099957,International Journal of Finance & Economics,1076-9307,True
NEW POLITICAL ECONOMY,https://openalex.org/S146242404,New Political Economy,1356-3467,True
JOURNAL OF INSTITUTIONAL ECONOMICS,https://openalex.org/S146268463,Journal of Institutional Economics,1744-1374,True
JOURNAL OF ECONOMIC INTERACTION AND COORDINATION,https://openalex.org/S146534985,Journal of Economic Interaction and Coordination,1860-711X,True
PANOECONOMICUS,https://openalex.org/S147126554,Panoeconomicus,1452-595X,True
JOURNAL OF URBAN ECONOMICS,https://openalex.org/S147692640,Journal of Urban Economics,0094-1190,True
FEMINIST ECONOMICS,https://openalex.org/S148397273,Feminist Economics,1354-5701,True
MARKETING LETTERS,https://openalex.org/S148909191,Marketing Letters,0923-0645,True
JOURNAL OF ECONOMIC THEORY,https://openalex.org/S149131268,Journal of Economic Theory,0022-0531,True
CHINESE MANAGEMENT STUDIES,https://openalex.org/S149205526,Chinese Management Studies,1750-614X,True
JOURNAL OF FINANCIAL ECONOMICS,https://openalex.org/S149240962,Journal of Financial Economics,0304-405X,True
EASTERN EUROPEAN ECONOMICS,https://openalex.org/S149339240,Eastern European Economics,0012-8775,True
AUSTRALIAN ECONOMIC REVIEW,https://openalex.org/S149486094,Australian Economic Review,0004-9018,True
GROUP DECISION AND NEGOTIATION,https://openalex.org/S149709236,Group Decision and Negotiation,0926-2644,True
GLOBAL FINANCE JOURNAL,https://openalex.org/S150702451,Global Finance Journal,1044-0283,True
POST-COMMUNIST ECONOMIES,https://openalex.org/S151220816,Post-Communist Economies,1463-1377,True
JOURNAL OF POST KEYNESIAN ECONOMICS,https://openalex.org/S151404345,Journal of Post Keynesian Economics,0160-3477,True
GENEVA PAPERS ON RISK AND INSURANCE-ISSUES AND PRACTICE,https://openalex.org/S151491554,The Geneva Papers on Risk and Insurance Issues and Practice,1018-5895,True
JOURNAL OF MANAGEMENT STUDIES,https://openalex.org/S151705444,Journal of Management Studies,0022-2380,True
JOURNAL OF CORPORATE FINANCE,https://openalex.org/S152282257,Journal of Corporate Finance,0929-1199,True
LEADERSHIP QUARTERLY,https://openalex.org/S152304618,The Leadership Quarterly,1048-9843,True
INTERNATIONAL JOURNAL OF AUDITING,https://openalex.org/S152372256,International Journal of Auditing,1090-6738,True
RESEARCH-TECHNOLOGY MANAGEMENT,https://openalex.org/S152897404,Research-Technology Management,0895-6308,True
INTERNATIONAL JOURNAL OF LEAN SIX SIGMA,https://openalex.org/S152972827,International Journal of Lean Six Sigma,2040-4166,True
SOCIO-ECONOMIC PLANNING SCIENCES,https://openalex.org/S153485742,Socio-Economic Planning Sciences,0038-0121,True
BALTIC JOURNAL OF MANAGEMENT,https://openalex.org/S153849593,Baltic Journal of Management,1746-5265,True
INTERNATIONAL JOURNAL OF TRANSPORT ECONOMICS,https://openalex.org/S153975964,Rivista Internazionale di Economia dei Trasporti,0303-5247,True
MANAGEMENT DECISION,https://openalex.org/S154010748,Management Decision,0025-1747,True
IEEE TRANSACTIONS ON ENGINEERING MANAGEMENT,https://openalex.org/S154533451,IEEE Transactions on Engineering Management,0018-9391,True
AGRICULTURAL ECONOMICS,https://openalex.org/S154775064,Agricultural Economics,0169-5150,True
MARINE RESOURCE ECONOMICS,https://openalex.org/S155153587,Marine Resource Economics,0738-1360,True
NORTH AMERICAN JOURNAL OF ECONOMICS AND FINANCE,https://openalex.org/S155526628,The North American Journal of Economics and Finance,1062-9408,True
QUANTITATIVE ECONOMICS,https://openalex.org/S156003414,Quantitative Economics,1759-7323,True
ECONOMICS OF GOVERNANCE,https://openalex.org/S156716048,Economics of Governance,1435-6104,True
SOUTH AFRICAN JOURNAL OF ECONOMIC AND MANAGEMENT SCIENCES,https://openalex.org/S157344451,South African Journal of Economic and Management Sciences,1015-8812,True
INTERNATIONAL JOURNAL OF ISLAMIC AND MIDDLE EASTERN FINANCE AND MANAGEMENT,https://openalex.org/S157427695,International Journal of Islamic and Middle Eastern Finance and Management,1753-8394,True
FINANCIAL MANAGEMENT,https://openalex.org/S157946625,Financial Management,0046-3892,True
AMERICAN ECONOMIC JOURNAL-ECONOMIC POLICY,https://openalex.org/S158011328,American Economic Journal Economic Policy,1945-7731,True
JOURNAL OF RETAILING,https://openalex.org/S159120381,Journal of Retailing,0022-4359,True
ECONOMIC AND LABOUR RELATIONS REVIEW,https://openalex.org/S159137118,The Economic and Labour Relations Review,1035-3046,True
REVUE D ETUDES COMPARATIVES EST-OUEST,https://openalex.org/S15976965,Revue d’études comparatives Est-Ouest,0338-0599,True
ENTERPRISE & SOCIETY,https://openalex.org/S16035445,Enterprise & Society,1467-2227,True
JOURNAL OF THE JAPANESE AND INTERNATIONAL ECONOMIES,https://openalex.org/S160393188,Journal of the Japanese and International Economies,0889-1583,True
ACCOUNTING REVIEW,https://openalex.org/S160506855,The Accounting Review,0001-4826,True
ABACUS-A JOURNAL OF ACCOUNTING FINANCE AND BUSINESS STUDIES,https://openalex.org/S161221442,Abacus,0001-3072,True
INTERNATIONAL JOURNAL OF ECONOMIC THEORY,https://openalex.org/S16146169,International Journal of Economic Theory,1742-7355,True
FINANCIAL ANALYSTS JOURNAL,https://openalex.org/S162525099,Financial Analysts Journal,0015-198X,True
INTERNATIONAL JOURNAL OF MARKET RESEARCH,https://openalex.org/S162526994,International Journal of Market Research,1470-7853,True
SOUTHERN ECONOMIC JOURNAL,https://openalex.org/S16296580,Southern Economic Journal,0038-4038,True
REVIEW OF ECONOMIC DYNAMICS,https://openalex.org/S163499366,Review of Economic Dynamics,1094-2025,True
MARKETING SCIENCE,https://openalex.org/S163534328,Marketing Science,0732-2399,True
LABOUR ECONOMICS,https://openalex.org/S163774179,Labour Economics,0927-5371,True
INTERNATIONAL JOURNAL OF OPERATIONS & PRODUCTION MANAGEMENT,https://openalex.org/S164321952,International Journal of Operations & Production Management,0144-3577,True
JOURNAL OF WORLD ENERGY LAW & BUSINESS,https://openalex.org/S164333781,The Journal of World Energy Law & Business,1754-9957,True
ENVIRONMENT AND DEVELOPMENT ECONOMICS,https://openalex.org/S164923136,Environment and Development Economics,1355-770X,True
RESOURCE AND ENERGY ECONOMICS,https://openalex.org/S165058066,Resource and Energy Economics,0928-7655,True
JOURNAL OF THE EUROPEAN ECONOMIC ASSOCIATION,https://openalex.org/S165087003,Journal of the European Economic Association,1542-4766,True
SCANDINAVIAN JOURNAL OF ECONOMICS,https://openalex.org/S165253824,Scandinavian Journal of Economics,0347-0520,True
EUROPEAN JOURNAL OF HEALTH ECONOMICS,https://openalex.org/S16530434,The European Journal of Health Economics,1618-7598,True
ECONOMIC HISTORY REVIEW,https://openalex.org/S165492527,The Economic History Review,0013-0117,True
B E JOURNAL OF THEORETICAL ECONOMICS,https://openalex.org/S165881774,The B E Journal of Theoretical Economics,2194-6124,True
JOURNAL OF COMPUTATIONAL FINANCE,https://openalex.org/S165973286,The Journal of Computational Finance,1460-1559,True
EMERGING MARKETS FINANCE AND TRADE,https://openalex.org/S166264140,Emerging Markets Finance and Trade,1540-496X,True
JOURNAL OF HEALTH ECONOMICS,https://openalex.org/S166621295,Journal of Health Economics,0167-6296,True
INTERNATIONAL REVIEW OF ECONOMICS & FINANCE,https://openalex.org/S168273071,International Review of Economics & Finance,1059-0560,True
ANNALS OF ECONOMICS AND FINANCE,https://openalex.org/S168680943,Annals of economics and finance,1529-7373,True
MANAGEMENT & ORGANIZATIONAL HISTORY,https://openalex.org/S168697966,Management & Organizational History,1744-9359,True
INFORMATION ECONOMICS AND POLICY,https://openalex.org/S169221615,Information Economics and Policy,0167-6245,True
JOURNAL OF AGRARIAN CHANGE,https://openalex.org/S17004734,Journal of Agrarian Change,1471-0358,True
REVIEW OF FINANCIAL STUDIES,https://openalex.org/S170137484,Review of Financial Studies,0893-9454,True
AMERICAN ECONOMIC JOURNAL-MACROECONOMICS,https://openalex.org/S170166683,American Economic Journal Macroeconomics,1945-7707,True
JOURNAL OF AUSTRALIAN POLITICAL ECONOMY,https://openalex.org/S170200280,Journal of Australian political economy,0156-5826,True
INTERNATIONAL JOURNAL OF ENTREPRENEURIAL BEHAVIOR & RESEARCH,https://openalex.org/S170231156,International Journal of Entrepreneurial Behaviour & Research,1355-2554,True
INTERNATIONAL JOURNAL OF BANK MARKETING,https://openalex.org/S170810187,International Journal of Bank Marketing,0265-2323,True
BULLETIN OF ECONOMIC RESEARCH,https://openalex.org/S170913539,Bulletin of Economic Research,0307-3378,True
CHINA AGRICULTURAL ECONOMIC REVIEW,https://openalex.org/S171031257,China Agricultural Economic Review,1756-137X,True
EUROPEAN ACCOUNTING REVIEW,https://openalex.org/S171424506,European Accounting Review,0963-8180,True
INTERNATIONAL JOURNAL OF TECHNOLOGY MANAGEMENT,https://openalex.org/S171720814,International Journal of Technology Management,0267-5730,True
METROECONOMICA,https://openalex.org/S171812798,Metroeconomica,0026-1386,True
SCANDINAVIAN JOURNAL OF MANAGEMENT,https://openalex.org/S171971387,Scandinavian Journal of Management,0956-5221,True
FINANCE AND STOCHASTICS,https://openalex.org/S172526255,Finance and Stochastics,0949-2984,True
CALIFORNIA MANAGEMENT REVIEW,https://openalex.org/S172782825,California Management Review,0008-1256,True
INTERNATIONAL JOURNAL OF CONSUMER STUDIES,https://openalex.org/S173807628,International Journal of Consumer Studies,1470-6423,True
JOURNAL OF DERIVATIVES,https://openalex.org/S173901576,The Journal of Derivatives,1074-1240,True
REVIEW OF INCOME AND WEALTH,https://openalex.org/S174413665,Review of Income and Wealth,0034-6586,True
GENDER IN MANAGEMENT,https://openalex.org/S175013504,Gender in Management An International Journal,1754-2413,True
ARGUMENTA OECONOMICA,https://openalex.org/S175723052,Argumenta Oeconomica,1233-5835,True
NEW TECHNOLOGY WORK AND EMPLOYMENT,https://openalex.org/S175747132,New Technology Work and Employment,0268-1072,True
ECONOMIC DEVELOPMENT QUARTERLY,https://openalex.org/S175759345,Economic Development Quarterly,0891-2424,True
TRIMESTRE ECONOMICO,https://openalex.org/S175963831,El Trimestre Económico,0041-3011,True
MANAGEMENT COMMUNICATION QUARTERLY,https://openalex.org/S176497116,Management Communication Quarterly,0893-3189,True
JOURNAL OF MACROECONOMICS,https://openalex.org/S176795851,Journal of Macroeconomics,0164-0704,True
EUROPEAN REVIEW OF ECONOMIC HISTORY,https://openalex.org/S176820844,European Review of Economic History,1361-4916,True
AUSTRALIAN JOURNAL OF MANAGEMENT,https://openalex.org/S177092143,Australian Journal of Management,0312-8962,True
DECISION SCIENCES,https://openalex.org/S177792750,Decision Sciences,0011-7315,True
EMPIRICAL ECONOMICS,https://openalex.org/S178258306,Empirical Economics,0377-7332,True
CANADIAN JOURNAL OF AGRICULTURAL ECONOMICS-REVUE CANADIENNE D AGROECONOMIE,https://openalex.org/S179517972,Canadian Journal of Agricultural Economics/Revue canadienne d agroeconomie,0008-3976,True
JOURNAL OF MANAGEMENT INQUIRY,https://openalex.org/S17986141,Journal of Management Inquiry,1056-4926,True
INTERNATIONAL ECONOMIC REVIEW,https://openalex.org/S179979277,International Economic Review,0020-6598,True
REVIEW OF ECONOMICS AND STATISTICS,https://openalex.org/S180061323,The Review of Economics and Statistics,0034-6535,True
JOURNAL OF SERVICES MARKETING,https://openalex.org/S180851279,Journal of Services Marketing,0887-6045,True
JOURNAL OF BUSINESS & ECONOMIC STATISTICS,https://openalex.org/S18095783,Journal of Business and Economic Statistics,0735-0015,True
JOURNAL OF ECONOMIC GROWTH,https://openalex.org/S181171746,Journal of Economic Growth,1381-4338,True
ACCOUNTING HORIZONS,https://openalex.org/S181356434,Accounting Horizons,0888-7993,True
EXPERIMENTAL ECONOMICS,https://openalex.org/S181493553,Experimental Economics,1386-4157,True
CAREER DEVELOPMENT INTERNATIONAL,https://openalex.org/S182336501,Career Development International,1362-0436,True
ECONOMIC SYSTEMS RESEARCH,https://openalex.org/S182651638,Economic Systems Research,0953-5314,True
QUANTITATIVE FINANCE,https://openalex.org/S182689569,Quantitative Finance,1469-7688,True
JOURNAL OF POPULATION ECONOMICS,https://openalex.org/S18284184,Journal of Population Economics,0933-1433,True
INTERNATIONAL JOURNAL OF INDUSTRIAL ORGANIZATION,https://openalex.org/S183232449,International Journal of Industrial Organization,0167-7187,True
JOURNAL OF OPERATIONAL RISK,https://openalex.org/S183802457,The Journal of Operational Risk,1744-6740,True
SUSTAINABILITY ACCOUNTING MANAGEMENT AND POLICY JOURNAL,https://openalex.org/S183939566,Sustainability Accounting Management and Policy Journal,2040-8021,True
BRITISH JOURNAL OF MANAGEMENT,https://openalex.org/S184126201,British Journal of Management,1045-3172,True
INTERNATIONAL JOURNAL OF ELECTRONIC COMMERCE,https://openalex.org/S18436875,International Journal of Electronic Commerce,1086-4415,True
JOURNAL OF PUBLIC ECONOMIC THEORY,https://openalex.org/S184446198,Journal of Public Economic Theory,1097-3923,True
INTERNATIONAL JOURNAL OF HUMAN RESOURCE MANAGEMENT,https://openalex.org/S184846731,The International Journal of Human Resource Management,0958-5192,True
HUMAN RESOURCE MANAGEMENT REVIEW,https://openalex.org/S185253248,Human Resource Management Review,1053-4822,True
JOURNAL OF KOREA TRADE,https://openalex.org/S185325801,Journal of Korea Trade,1229-828X,True
JOURNAL OF AGRICULTURAL AND RESOURCE ECONOMICS,https://openalex.org/S185653637,Journal of agricultural and resource economics,1068-5502,True
JOURNAL OF TECHNOLOGY TRANSFER,https://openalex.org/S185905316,The Journal of Technology Transfer,0892-9912,True
CONTEMPORARY ECONOMIC POLICY,https://openalex.org/S185930956,Contemporary Economic Policy,1074-3529,True
COMPETITION & CHANGE,https://openalex.org/S187200255,Competition & Change,1024-5294,True
ENTREPRENEURSHIP THEORY AND PRACTICE,https://openalex.org/S187626162,Entrepreneurship Theory and Practice,1042-2587,True
ELECTRONIC COMMERCE RESEARCH AND APPLICATIONS,https://openalex.org/S187709482,Electronic Commerce Research and Applications,1567-4223,True
